experiment,best_epoch,best_iter,trn_OAcc,val_OAcc
FCN32s-3*1*24-NZ32km2_iter_5000,5,4900,0.935,0.923
FCN16s-3*1*24-NZ32km2_iter_5000,5,4900,0.936,0.928
FCN8s-3*1*24-NZ32km2_iter_5000,5,4650,0.938,0.928
UNet-3*1*24-NZ32km2_iter_5000,5,4900,0.941,0.934
SegNet-3*1*24-NZ32km2_iter_5000,5,4950,0.9621,0.946
ResUNet-3*1*24-NZ32km2_iter_5000,5,4750,0.958,0.943
MCFCN-3*1*24-NZ32km2_iter_5000,5,4500,0.959,0.949
BRNet-3*1*24-NZ32km2_iter_5000,5,4750,0.96,0.947
FPN-3*1*24-NZ32km2_iter_5000,5,5000,0.961,0.945
FCN32s-3*6*24-Vaihingen_iter_5000,150,4800,0.933,0.742
FCN16s-3*6*24-Vaihingen_iter_5000,136,4350,0.934,0.735
FCN8s-3*6*24-Vaihingen_iter_5000,157,5000,0.941,0.733
UNet-3*6*24-Vaihingen_iter_5000,82,2600,0.877,0.777
SegNet-3*6*24-Vaihingen_iter_5000,124,3950,0.986,0.803
ResUNet-3*6*24-Vaihingen_iter_5000,107,3400,0.978,0.788
MCFCN-3*6*24-Vaihingen_iter_5000,149,4750,0.985,0.793
BRNet-3*6*24-Vaihingen_iter_5000,127,4050,0.978,0.791
FPN-3*6*24-Vaihingen_iter_5000,58,1850,0.945,0.791
