epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,50,0.578,0.809,16.424,73.066,0.399,0.847,46.073,259.417
1,100,0.283,0.864,14.791,81.13,0.29,0.884,46.482,257.132
1,150,0.182,0.88,14.987,80.069,0.268,0.889,47.318,252.589
1,200,0.16,0.893,15.106,79.437,0.24,0.907,47.482,251.714
1,250,0.153,0.898,15.046,79.754,0.238,0.911,47.596,251.115
1,300,0.146,0.901,15.16,79.156,0.26,0.891,47.462,251.823
1,350,0.153,0.897,15.249,78.696,0.227,0.91,47.611,251.035
1,400,0.136,0.911,15.191,78.996,0.224,0.91,47.503,251.603
1,450,0.137,0.91,15.09,79.524,0.212,0.916,47.714,250.491
1,500,0.129,0.915,15.111,79.414,0.203,0.921,47.7,250.567
1,550,0.126,0.918,15.095,79.498,0.194,0.925,47.543,251.394
1,600,0.125,0.92,15.146,79.228,0.243,0.9,47.781,250.142
1,650,0.13,0.916,15.153,79.19,0.218,0.914,47.552,251.345
1,700,0.127,0.917,15.259,78.643,0.217,0.915,47.821,249.93
1,750,0.126,0.919,15.15,79.21,0.187,0.927,47.563,251.288
1,800,0.118,0.924,15.317,78.346,0.195,0.923,47.762,250.243
1,850,0.117,0.925,15.283,78.517,0.218,0.915,47.855,249.756
1,900,0.112,0.929,15.251,78.685,0.185,0.929,47.85,249.781
1,950,0.113,0.927,15.188,79.009,0.178,0.93,47.707,250.529
1,1000,0.111,0.929,15.298,78.441,0.181,0.93,47.945,249.285
1,1050,0.114,0.928,15.273,78.571,0.191,0.928,47.959,249.211
1,1100,0.11,0.93,15.239,78.743,0.174,0.933,48.033,248.826
1,1150,0.111,0.93,15.228,78.802,0.169,0.934,47.953,249.243
2,1200,0.106,0.932,15.409,77.875,0.177,0.93,48.09,248.534
2,1250,0.106,0.932,15.166,79.123,0.17,0.934,48.108,248.444
2,1300,0.106,0.933,15.299,78.436,0.202,0.919,48.073,248.62
2,1350,0.11,0.932,15.451,77.664,0.166,0.936,48.095,248.509
2,1400,0.108,0.931,15.296,78.45,0.168,0.934,47.929,249.368
2,1450,0.102,0.936,15.39,77.971,0.17,0.934,48.237,247.778
2,1500,0.098,0.938,15.301,78.429,0.16,0.938,48.192,248.008
2,1550,0.111,0.929,15.284,78.513,0.171,0.931,48.208,247.926
2,1600,0.103,0.935,15.425,77.798,0.174,0.93,48.122,248.368
2,1650,0.101,0.937,15.389,77.977,0.162,0.937,48.008,248.959
2,1700,0.098,0.938,15.384,78.005,0.157,0.938,48.239,247.766
2,1750,0.102,0.935,15.361,78.122,0.156,0.939,48.121,248.375
2,1800,0.097,0.939,15.342,78.215,0.163,0.937,47.825,249.911
2,1850,0.095,0.942,15.377,78.038,0.167,0.936,48.132,248.315
2,1900,0.099,0.939,15.285,78.509,0.158,0.939,48.041,248.789
2,1950,0.095,0.942,15.326,78.297,0.151,0.941,48.034,248.824
2,2000,0.094,0.941,15.386,77.992,0.156,0.939,47.884,249.601
2,2050,0.101,0.937,15.373,78.061,0.166,0.935,48.001,248.994
2,2100,0.095,0.94,15.31,78.381,0.159,0.938,48.491,246.479
2,2150,0.098,0.938,15.226,78.814,0.15,0.942,47.783,250.13
2,2200,0.098,0.939,15.346,78.194,0.15,0.942,47.938,249.323
2,2250,0.102,0.936,15.27,78.586,0.153,0.941,47.901,249.512
2,2300,0.096,0.941,15.354,78.155,0.153,0.94,47.883,249.608
3,2350,0.094,0.942,15.508,77.379,0.158,0.939,47.7,250.567
3,2400,0.087,0.947,15.247,78.705,0.148,0.943,47.745,250.33
3,2450,0.089,0.946,15.283,78.521,0.142,0.945,47.89,249.571
3,2500,0.096,0.941,15.261,78.632,0.157,0.939,47.844,249.812
3,2550,0.091,0.944,15.29,78.483,0.144,0.944,48.399,246.95
3,2600,0.09,0.945,15.254,78.666,0.151,0.944,47.94,249.313
3,2650,0.095,0.941,15.217,78.859,0.146,0.943,47.975,249.131
3,2700,0.091,0.944,15.323,78.314,0.147,0.943,48.019,248.899
3,2750,0.091,0.943,15.311,78.376,0.142,0.946,48.12,248.38
3,2800,0.09,0.946,15.238,78.751,0.148,0.943,47.927,249.377
3,2850,0.097,0.939,15.477,77.535,0.151,0.942,48.086,248.554
3,2900,0.091,0.942,15.321,78.326,0.151,0.941,48.023,248.882
3,2950,0.092,0.943,15.285,78.509,0.139,0.947,48.094,248.515
3,3000,0.092,0.944,15.423,77.808,0.143,0.945,48.209,247.921
3,3050,0.089,0.946,15.333,78.26,0.15,0.942,48.15,248.223
3,3100,0.091,0.945,15.45,77.668,0.15,0.941,48.01,248.95
3,3150,0.094,0.941,15.364,78.103,0.141,0.945,48.139,248.28
3,3200,0.088,0.946,15.204,78.928,0.14,0.946,47.976,249.126
3,3250,0.089,0.945,15.266,78.607,0.162,0.94,48.065,248.661
3,3300,0.086,0.948,15.142,79.249,0.133,0.948,47.948,249.271
3,3350,0.087,0.947,15.291,78.478,0.143,0.945,47.874,249.656
3,3400,0.087,0.947,15.381,78.02,0.143,0.944,48.027,248.861
3,3450,0.087,0.947,15.272,78.574,0.137,0.946,47.874,249.657
4,3500,0.087,0.946,15.516,77.339,0.137,0.946,47.945,249.286
4,3550,0.083,0.95,15.195,78.975,0.139,0.946,47.863,249.714
4,3600,0.086,0.949,15.327,78.291,0.148,0.944,47.949,249.265
4,3650,0.087,0.947,15.157,79.172,0.143,0.945,47.874,249.658
4,3700,0.085,0.948,15.275,78.561,0.141,0.946,47.688,250.629
4,3750,0.087,0.948,15.324,78.309,0.146,0.947,47.875,249.651
4,3800,0.087,0.947,15.225,78.819,0.134,0.948,47.721,250.457
4,3850,0.084,0.95,15.19,78.999,0.138,0.946,47.778,250.156
4,3900,0.085,0.948,15.254,78.666,0.134,0.947,47.88,249.627
4,3950,0.083,0.949,15.194,78.981,0.131,0.95,47.653,250.812
4,4000,0.085,0.948,15.282,78.523,0.15,0.942,47.746,250.324
4,4050,0.083,0.949,15.172,79.091,0.136,0.948,47.765,250.223
4,4100,0.082,0.951,15.203,78.93,0.136,0.949,47.79,250.096
4,4150,0.085,0.948,15.135,79.285,0.144,0.946,47.809,249.997
4,4200,0.086,0.948,15.179,79.056,0.136,0.947,47.788,250.104
4,4250,0.085,0.949,15.104,79.448,0.137,0.949,47.894,249.551
4,4300,0.084,0.949,15.178,79.061,0.133,0.949,47.64,250.881
4,4350,0.084,0.949,15.202,78.939,0.148,0.943,47.574,251.229
4,4400,0.084,0.949,15.247,78.704,0.132,0.948,47.681,250.668
4,4450,0.085,0.948,15.256,78.656,0.152,0.94,47.681,250.664
4,4500,0.082,0.951,15.18,79.05,0.143,0.943,47.715,250.489
4,4550,0.083,0.95,15.196,78.97,0.132,0.949,47.671,250.716
4,4600,0.085,0.948,15.245,78.716,0.126,0.952,47.762,250.24
4,4650,0.081,0.952,15.145,79.234,0.125,0.952,47.784,250.124
5,4700,0.081,0.952,15.321,78.324,0.133,0.948,47.708,250.524
5,4750,0.08,0.953,15.176,79.073,0.131,0.949,47.834,249.865
5,4800,0.077,0.953,15.156,79.178,0.126,0.951,47.773,250.182
5,4850,0.081,0.951,15.382,78.015,0.126,0.952,47.862,249.72
5,4900,0.081,0.951,15.166,79.124,0.131,0.949,47.985,249.077
5,4950,0.079,0.953,15.22,78.843,0.128,0.951,47.917,249.434
5,5000,0.077,0.955,15.217,78.859,0.13,0.952,47.818,249.947
