epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.887,0.798,114.534,0.718,0.625,606.603
1,100,0.765,0.884,163.124,0.365,0.895,613.361
1,150,0.728,0.895,160.922,0.350,0.897,620.310
1,200,0.705,0.904,162.560,0.356,0.895,620.803
1,250,0.681,0.911,161.798,0.331,0.904,616.489
1,300,0.667,0.912,162.483,0.311,0.903,620.412
1,350,0.643,0.916,162.223,0.306,0.906,611.168
1,400,0.623,0.923,162.662,0.306,0.902,623.663
1,450,0.604,0.925,162.263,0.290,0.911,614.311
1,500,0.596,0.922,162.443,0.274,0.922,618.123
1,550,0.583,0.924,162.382,0.272,0.919,617.002
1,600,0.567,0.925,161.981,0.251,0.923,618.612
1,650,0.547,0.930,162.084,0.248,0.925,614.483
1,700,0.536,0.929,163.253,0.268,0.910,614.441
1,750,0.518,0.932,163.343,0.234,0.929,620.340
1,800,0.508,0.931,162.728,0.239,0.924,616.481
1,850,0.498,0.932,162.814,0.235,0.922,620.707
1,900,0.478,0.936,162.613,0.228,0.924,619.938
1,950,0.474,0.934,162.462,0.221,0.929,614.393
1,1000,0.465,0.932,162.940,0.213,0.928,612.059
1,1050,0.442,0.938,162.889,0.204,0.933,618.386
2,1100,0.428,0.940,140.828,0.227,0.924,611.519
2,1150,0.415,0.941,163.447,0.216,0.926,613.163
2,1200,0.410,0.938,162.981,0.205,0.931,620.974
2,1250,0.399,0.939,162.768,0.199,0.932,617.239
2,1300,0.390,0.938,163.834,0.200,0.932,620.204
2,1350,0.371,0.944,163.693,0.203,0.930,626.443
2,1400,0.369,0.941,162.744,0.206,0.929,620.835
2,1450,0.356,0.943,163.227,0.193,0.931,613.356
2,1500,0.345,0.944,163.091,0.189,0.932,622.980
2,1550,0.342,0.941,163.589,0.187,0.933,625.979
2,1600,0.332,0.942,162.844,0.193,0.929,611.607
2,1650,0.331,0.938,162.658,0.190,0.932,626.109
2,1700,0.312,0.945,163.194,0.188,0.931,614.902
2,1750,0.312,0.941,162.305,0.216,0.920,620.392
2,1800,0.292,0.947,162.643,0.182,0.933,624.382
2,1850,0.292,0.945,163.152,0.171,0.938,620.687
2,1900,0.280,0.948,162.950,0.195,0.925,620.834
2,1950,0.283,0.943,162.549,0.195,0.926,622.246
2,2000,0.275,0.944,163.917,0.176,0.935,620.382
2,2050,0.261,0.947,163.420,0.189,0.930,613.953
2,2100,0.263,0.945,164.023,0.189,0.930,617.090
2,2150,0.252,0.948,163.234,0.173,0.936,625.755
3,2200,0.256,0.943,153.805,0.175,0.933,624.120
3,2250,0.242,0.948,163.089,0.166,0.938,615.948
3,2300,0.237,0.948,162.951,0.163,0.939,612.001
3,2350,0.235,0.947,161.857,0.171,0.937,618.597
3,2400,0.226,0.950,162.688,0.165,0.938,617.891
3,2450,0.220,0.951,163.041,0.169,0.936,617.395
3,2500,0.215,0.951,161.835,0.164,0.939,617.256
3,2550,0.220,0.947,162.873,0.176,0.934,620.952
3,2600,0.211,0.950,163.072,0.172,0.935,612.955
3,2650,0.204,0.951,162.940,0.158,0.940,617.311
3,2700,0.206,0.950,162.469,0.159,0.939,615.998
3,2750,0.209,0.949,161.757,0.169,0.934,618.851
3,2800,0.200,0.951,162.125,0.163,0.937,628.187
3,2850,0.196,0.951,163.162,0.160,0.939,613.786
3,2900,0.186,0.954,162.762,0.160,0.939,618.277
3,2950,0.194,0.950,162.046,0.163,0.938,613.324
3,3000,0.194,0.950,162.946,0.160,0.940,611.227
3,3050,0.182,0.952,163.392,0.151,0.942,619.997
3,3100,0.186,0.952,161.848,0.153,0.941,615.403
3,3150,0.193,0.947,162.065,0.166,0.936,612.830
3,3200,0.179,0.952,163.682,0.154,0.940,620.389
3,3250,0.181,0.951,162.372,0.183,0.928,619.473
4,3300,0.180,0.950,152.601,0.169,0.937,617.094
4,3350,0.170,0.954,163.523,0.160,0.938,611.084
4,3400,0.169,0.954,161.815,0.167,0.934,620.467
4,3450,0.164,0.956,163.153,0.152,0.942,616.809
4,3500,0.168,0.954,164.029,0.152,0.943,625.580
4,3550,0.166,0.955,163.214,0.155,0.940,620.776
4,3600,0.169,0.953,162.168,0.151,0.941,616.132
4,3650,0.165,0.954,161.713,0.148,0.943,620.745
4,3700,0.173,0.951,161.947,0.151,0.942,622.269
4,3750,0.160,0.955,162.743,0.148,0.943,611.970
4,3800,0.155,0.957,163.560,0.147,0.943,613.283
4,3850,0.158,0.955,162.783,0.150,0.943,617.985
4,3900,0.158,0.955,162.465,0.154,0.941,621.774
4,3950,0.153,0.957,162.012,0.150,0.942,614.773
4,4000,0.150,0.957,162.333,0.146,0.943,617.753
4,4050,0.149,0.957,162.478,0.153,0.940,619.371
4,4100,0.157,0.954,162.765,0.154,0.940,621.427
4,4150,0.154,0.956,161.480,0.144,0.945,616.205
4,4200,0.155,0.955,162.855,0.141,0.946,611.864
4,4250,0.153,0.955,162.301,0.146,0.944,619.852
4,4300,0.151,0.956,161.134,0.154,0.941,617.267
4,4350,0.155,0.955,161.666,0.142,0.946,615.590
5,4400,0.146,0.958,152.551,0.139,0.946,619.024
5,4450,0.140,0.960,163.072,0.139,0.947,623.401
5,4500,0.151,0.956,161.354,0.146,0.944,620.280
5,4550,0.147,0.957,162.699,0.141,0.946,617.036
5,4600,0.152,0.956,162.980,0.142,0.946,615.235
5,4650,0.142,0.959,162.438,0.143,0.944,619.979
5,4700,0.142,0.958,162.741,0.142,0.945,614.509
5,4750,0.136,0.960,162.705,0.138,0.947,622.245
5,4800,0.143,0.958,161.628,0.142,0.945,617.294
5,4850,0.143,0.957,163.055,0.149,0.942,619.854
5,4900,0.150,0.956,162.483,0.153,0.939,621.843
5,4950,0.148,0.955,163.757,0.148,0.942,625.917
5,5000,0.138,0.959,162.242,0.147,0.943,623.918
