epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,2.635,0.437,117.061,1.708,0.454,378.457
1,100,2.579,0.539,167.234,1.647,0.540,401.498
1,150,2.548,0.579,167.249,1.620,0.591,403.040
1,200,2.529,0.593,167.969,1.591,0.635,387.470
1,250,2.502,0.611,167.299,1.592,0.641,389.856
1,300,2.471,0.636,166.522,1.568,0.646,387.901
1,350,2.448,0.642,166.520,1.559,0.645,395.948
1,400,2.431,0.636,167.105,1.525,0.683,379.191
1,450,2.396,0.660,167.128,1.510,0.691,379.246
1,500,2.370,0.669,167.978,1.504,0.689,400.025
1,550,2.351,0.667,168.153,1.491,0.680,386.918
2,600,2.338,0.656,148.418,1.465,0.724,366.507
2,650,2.312,0.669,166.701,1.466,0.709,373.168
2,700,2.282,0.682,166.836,1.453,0.710,382.921
2,750,2.274,0.668,167.312,1.464,0.678,397.424
2,800,2.253,0.676,165.841,1.421,0.732,394.160
2,850,2.235,0.675,166.365,1.410,0.722,418.115
2,900,2.214,0.688,166.311,1.404,0.738,383.598
2,950,2.204,0.687,166.306,1.398,0.737,367.935
2,1000,2.204,0.671,166.835,1.388,0.731,395.384
2,1050,2.185,0.681,168.275,1.378,0.737,389.245
2,1100,2.169,0.689,167.625,1.376,0.743,395.662
3,1150,2.156,0.696,151.575,1.374,0.736,388.054
3,1200,2.146,0.695,168.243,1.356,0.759,393.945
3,1250,2.143,0.689,166.460,1.385,0.725,378.371
3,1300,2.111,0.716,164.983,1.355,0.753,389.554
3,1350,2.096,0.719,168.129,1.342,0.765,389.333
3,1400,2.087,0.714,167.923,1.340,0.766,404.801
3,1450,2.070,0.720,166.041,1.349,0.749,401.046
3,1500,2.051,0.727,165.646,1.344,0.756,397.545
3,1550,2.051,0.716,168.327,1.339,0.755,376.009
3,1600,2.039,0.718,166.406,1.329,0.758,375.967
3,1650,2.030,0.722,166.334,1.319,0.771,405.486
4,1700,2.024,0.721,156.574,1.304,0.777,394.027
4,1750,1.996,0.746,168.466,1.324,0.759,369.618
4,1800,1.995,0.740,166.987,1.311,0.773,375.320
4,1850,1.993,0.738,167.513,1.312,0.770,389.369
4,1900,1.988,0.736,168.226,1.316,0.776,417.320
4,1950,1.989,0.729,167.811,1.321,0.762,397.548
4,2000,1.957,0.758,166.645,1.299,0.781,398.873
4,2050,1.943,0.764,167.697,1.301,0.777,379.016
4,2100,1.952,0.745,166.210,1.296,0.784,363.429
4,2150,1.945,0.745,165.307,1.309,0.765,385.942
4,2200,1.925,0.758,166.141,1.301,0.779,384.769
5,2250,1.926,0.751,151.460,1.300,0.780,403.368
5,2300,1.918,0.752,167.712,1.276,0.794,390.904
5,2350,1.910,0.755,167.037,1.295,0.777,347.828
5,2400,1.898,0.758,165.138,1.290,0.778,409.583
5,2450,1.898,0.755,165.598,1.285,0.783,400.504
5,2500,1.891,0.753,167.792,1.290,0.777,361.122
5,2550,1.877,0.764,167.718,1.275,0.792,405.996
5,2600,1.878,0.758,166.841,1.275,0.788,413.222
5,2650,1.870,0.762,167.660,1.268,0.793,407.121
5,2700,1.864,0.762,166.632,1.269,0.789,383.046
5,2750,1.852,0.771,167.200,1.283,0.776,380.187
6,2800,1.848,0.772,155.605,1.271,0.787,407.661
6,2850,1.857,0.759,166.560,1.267,0.789,393.533
6,2900,1.850,0.763,167.911,1.263,0.792,388.334
6,2950,1.837,0.774,167.982,1.274,0.780,356.111
6,3000,1.848,0.759,167.406,1.284,0.770,392.404
6,3050,1.840,0.764,169.014,1.281,0.772,380.342
6,3100,1.845,0.758,167.383,1.258,0.795,397.927
6,3150,1.837,0.764,167.931,1.253,0.798,399.693
6,3200,1.815,0.784,168.517,1.258,0.794,413.711
6,3250,1.832,0.772,165.130,1.307,0.743,357.880
6,3300,1.833,0.766,167.116,1.272,0.779,376.966
7,3350,1.814,0.782,156.462,1.280,0.770,405.549
7,3400,1.817,0.776,167.630,1.255,0.795,414.304
7,3450,1.806,0.786,167.363,1.254,0.796,394.083
7,3500,1.826,0.766,166.885,1.262,0.788,382.231
7,3550,1.813,0.776,167.398,1.254,0.795,379.111
7,3600,1.814,0.775,167.596,1.254,0.795,401.745
7,3650,1.800,0.789,167.207,1.238,0.811,393.375
7,3700,1.804,0.783,167.645,1.264,0.783,368.973
7,3750,1.820,0.766,166.063,1.259,0.789,396.963
7,3800,1.805,0.781,166.938,1.244,0.804,404.668
7,3850,1.806,0.778,166.168,1.254,0.794,384.502
8,3900,1.814,0.772,155.475,1.247,0.800,377.609
8,3950,1.796,0.789,168.056,1.246,0.801,372.203
8,4000,1.786,0.798,168.447,1.273,0.774,417.024
8,4050,1.800,0.783,166.769,1.238,0.810,380.298
8,4100,1.786,0.797,167.314,1.240,0.807,384.914
8,4150,1.793,0.789,168.221,1.234,0.813,378.812
8,4200,1.797,0.784,167.659,1.236,0.811,403.930
8,4250,1.792,0.789,167.994,1.246,0.801,376.392
8,4300,1.787,0.795,168.536,1.238,0.808,393.573
8,4350,1.788,0.792,166.959,1.247,0.799,389.805
8,4400,1.798,0.782,168.033,1.243,0.804,382.589
9,4450,1.801,0.779,156.272,1.245,0.801,371.261
9,4500,1.791,0.789,166.910,1.234,0.812,369.656
9,4550,1.788,0.792,169.055,1.235,0.811,383.184
9,4600,1.794,0.785,166.841,1.233,0.812,400.822
9,4650,1.786,0.793,165.732,1.242,0.803,398.847
9,4700,1.795,0.784,167.846,1.249,0.796,382.908
9,4750,1.781,0.797,168.105,1.242,0.803,389.251
9,4800,1.778,0.800,167.538,1.237,0.808,409.240
9,4850,1.775,0.803,166.772,1.236,0.809,389.834
9,4900,1.782,0.796,167.353,1.237,0.808,381.090
9,4950,1.777,0.800,168.733,1.227,0.818,398.904
10,5000,1.792,0.785,154.531,1.252,0.792,399.116
