epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,2.638,0.417,113.998,1.741,0.342,369.620
1,100,2.573,0.564,166.377,1.618,0.673,417.008
1,150,2.539,0.618,167.157,1.593,0.689,402.293
1,200,2.523,0.606,168.023,1.568,0.696,372.044
1,250,2.496,0.623,167.273,1.565,0.672,376.143
1,300,2.467,0.641,168.474,1.544,0.692,391.322
1,350,2.445,0.642,166.664,1.541,0.705,392.671
1,400,2.426,0.641,167.810,1.506,0.704,401.466
1,450,2.393,0.664,166.870,1.501,0.715,424.474
1,500,2.370,0.669,167.729,1.473,0.732,359.257
1,550,2.350,0.669,167.968,1.444,0.734,380.395
2,600,2.340,0.656,145.837,1.452,0.726,400.999
2,650,2.313,0.667,167.961,1.467,0.708,399.271
2,700,2.292,0.670,167.102,1.434,0.735,362.733
2,750,2.272,0.675,166.156,1.437,0.714,363.377
2,800,2.257,0.675,167.478,1.415,0.735,381.554
2,850,2.242,0.671,168.348,1.387,0.740,371.441
2,900,2.223,0.679,167.309,1.407,0.725,405.824
2,950,2.215,0.674,167.249,1.391,0.732,402.339
2,1000,2.207,0.669,166.881,1.405,0.702,400.697
2,1050,2.193,0.669,167.130,1.397,0.712,375.212
2,1100,2.174,0.684,166.607,1.411,0.689,382.063
3,1150,2.170,0.678,153.766,1.360,0.750,378.906
3,1200,2.154,0.682,164.879,1.386,0.719,396.696
3,1250,2.150,0.683,165.557,1.396,0.697,397.103
3,1300,2.129,0.704,167.859,1.358,0.744,393.456
3,1350,2.111,0.713,167.869,1.353,0.755,358.915
3,1400,2.102,0.711,167.365,1.373,0.735,379.611
3,1450,2.087,0.717,166.894,1.385,0.711,375.390
3,1500,2.069,0.718,167.922,1.350,0.752,390.415
3,1550,2.059,0.718,167.492,1.319,0.779,402.918
3,1600,2.046,0.721,167.974,1.318,0.772,401.523
3,1650,2.038,0.721,168.139,1.338,0.747,358.918
4,1700,2.040,0.708,156.889,1.348,0.728,396.785
4,1750,2.014,0.729,167.303,1.310,0.771,406.623
4,1800,2.006,0.731,165.685,1.323,0.755,391.411
4,1850,2.003,0.726,167.885,1.305,0.771,377.666
4,1900,1.997,0.730,168.216,1.326,0.743,365.753
4,1950,2.000,0.720,167.473,1.323,0.755,382.624
4,2000,1.974,0.746,166.425,1.296,0.783,353.214
4,2050,1.969,0.747,168.559,1.298,0.779,416.290
4,2100,1.971,0.738,167.978,1.316,0.760,406.151
4,2150,1.972,0.733,167.992,1.306,0.769,375.161
4,2200,1.948,0.750,166.919,1.302,0.776,381.168
5,2250,1.954,0.736,153.784,1.320,0.763,381.458
5,2300,1.948,0.736,167.227,1.280,0.790,372.881
5,2350,1.940,0.738,167.181,1.308,0.771,406.427
5,2400,1.920,0.751,167.738,1.312,0.763,405.004
5,2450,1.921,0.745,166.117,1.304,0.769,398.497
5,2500,1.912,0.745,167.741,1.294,0.777,378.643
5,2550,1.899,0.753,166.768,1.275,0.792,376.810
5,2600,1.895,0.752,167.043,1.318,0.747,384.861
5,2650,1.885,0.757,168.914,1.276,0.788,400.019
5,2700,1.885,0.750,167.736,1.305,0.757,399.760
5,2750,1.865,0.767,167.490,1.281,0.778,389.017
6,2800,1.867,0.759,152.054,1.264,0.797,378.528
6,2850,1.866,0.758,167.179,1.268,0.790,402.302
6,2900,1.861,0.759,167.884,1.270,0.787,409.155
6,2950,1.851,0.766,167.850,1.280,0.776,404.326
6,3000,1.860,0.752,166.387,1.275,0.780,380.349
6,3050,1.852,0.757,167.918,1.266,0.789,386.734
6,3100,1.854,0.754,166.688,1.267,0.787,381.585
6,3150,1.850,0.757,167.414,1.272,0.782,379.096
6,3200,1.833,0.771,166.284,1.260,0.792,393.508
6,3250,1.840,0.761,166.929,1.267,0.786,399.301
6,3300,1.829,0.769,166.232,1.257,0.795,406.207
7,3350,1.824,0.776,155.180,1.256,0.796,392.669
7,3400,1.826,0.770,168.468,1.254,0.796,405.747
7,3450,1.814,0.780,167.846,1.255,0.795,410.348
7,3500,1.835,0.758,166.833,1.252,0.798,402.849
7,3550,1.822,0.770,168.354,1.249,0.800,398.441
7,3600,1.816,0.775,167.835,1.261,0.788,415.089
7,3650,1.811,0.779,167.913,1.256,0.792,399.113
7,3700,1.820,0.768,168.269,1.249,0.799,394.678
7,3750,1.820,0.767,165.499,1.272,0.777,398.259
7,3800,1.813,0.774,166.020,1.255,0.793,412.245
7,3850,1.812,0.774,166.028,1.252,0.796,395.542
8,3900,1.822,0.763,151.712,1.244,0.804,403.728
8,3950,1.802,0.783,166.800,1.249,0.799,389.109
8,4000,1.796,0.789,166.881,1.256,0.791,412.908
8,4050,1.807,0.777,167.018,1.245,0.802,408.902
8,4100,1.796,0.787,167.748,1.264,0.783,380.193
8,4150,1.802,0.780,167.727,1.243,0.804,376.368
8,4200,1.806,0.776,168.374,1.246,0.800,386.277
8,4250,1.799,0.783,168.613,1.248,0.798,397.343
8,4300,1.796,0.786,167.145,1.245,0.801,404.780
8,4350,1.802,0.779,166.366,1.235,0.811,410.390
8,4400,1.802,0.778,167.656,1.249,0.797,366.793
9,4450,1.807,0.774,153.895,1.252,0.794,368.275
9,4500,1.800,0.780,167.620,1.237,0.808,401.015
9,4550,1.798,0.782,166.874,1.254,0.791,394.111
9,4600,1.801,0.778,167.069,1.246,0.799,393.513
9,4650,1.794,0.785,167.402,1.233,0.812,399.223
9,4700,1.796,0.783,166.532,1.252,0.794,399.342
9,4750,1.786,0.793,166.708,1.246,0.799,362.319
9,4800,1.781,0.797,167.640,1.235,0.810,382.569
9,4850,1.783,0.795,166.901,1.234,0.811,387.491
9,4900,1.787,0.791,165.732,1.238,0.807,391.322
9,4950,1.782,0.796,166.753,1.238,0.807,396.409
10,5000,1.800,0.777,155.183,1.242,0.803,402.859
