epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,2.595,0.598,101.104,1.705,0.571,208.680
4,100,2.508,0.768,144.050,1.578,0.729,248.475
5,150,2.466,0.792,153.434,1.572,0.723,222.261
7,200,2.433,0.811,142.991,1.546,0.750,242.384
8,250,2.405,0.821,155.737,1.524,0.771,240.364
10,300,2.374,0.832,144.135,1.504,0.782,225.479
11,350,2.349,0.832,154.334,1.488,0.770,232.089
13,400,2.316,0.845,144.227,1.475,0.767,256.026
15,450,2.287,0.852,141.942,1.452,0.778,233.554
16,500,2.256,0.863,155.211,1.442,0.784,251.013
18,550,2.224,0.875,138.951,1.435,0.775,235.411
19,600,2.198,0.876,152.766,1.413,0.793,239.003
21,650,2.167,0.887,142.210,1.405,0.783,223.116
22,700,2.136,0.901,153.092,1.389,0.790,238.687
24,750,2.116,0.897,141.500,1.390,0.778,207.091
25,800,2.094,0.901,154.964,1.412,0.738,235.869
27,850,2.071,0.906,143.572,1.377,0.769,253.287
29,900,2.050,0.911,142.689,1.371,0.770,228.212
30,950,2.035,0.913,152.126,1.358,0.772,252.726
32,1000,2.017,0.917,141.927,1.344,0.783,248.359
33,1050,2.002,0.919,151.303,1.339,0.780,236.767
35,1100,1.990,0.920,143.192,1.333,0.779,247.779
36,1150,1.980,0.922,150.821,1.332,0.775,251.905
38,1200,1.963,0.930,144.321,1.316,0.788,260.355
40,1250,1.947,0.940,139.349,1.316,0.784,270.462
41,1300,1.942,0.939,154.222,1.316,0.779,208.893
43,1350,1.933,0.943,143.881,1.306,0.789,226.184
44,1400,1.920,0.948,154.344,1.302,0.788,226.150
46,1450,1.918,0.947,144.032,1.306,0.780,230.694
47,1500,1.910,0.947,149.534,1.306,0.778,258.937
49,1550,1.899,0.951,141.641,1.308,0.776,255.949
50,1600,1.892,0.947,154.368,1.308,0.779,241.319
52,1650,1.869,0.950,144.125,1.310,0.776,244.743
54,1700,1.853,0.954,140.621,1.302,0.780,260.167
55,1750,1.837,0.956,152.072,1.295,0.784,245.740
57,1800,1.827,0.958,139.903,1.286,0.790,219.216
58,1850,1.816,0.962,152.768,1.284,0.790,215.668
60,1900,1.813,0.959,144.483,1.294,0.776,239.350
61,1950,1.807,0.958,155.164,1.294,0.774,242.696
63,2000,1.796,0.964,139.634,1.283,0.785,237.274
65,2050,1.793,0.963,141.430,1.283,0.783,239.861
66,2100,1.785,0.966,153.840,1.281,0.783,231.982
68,2150,1.781,0.966,142.094,1.282,0.780,248.932
69,2200,1.780,0.966,154.701,1.275,0.787,255.124
71,2250,1.773,0.967,142.621,1.274,0.786,235.438
72,2300,1.771,0.967,156.253,1.271,0.789,257.236
74,2350,1.768,0.968,140.869,1.280,0.779,239.689
75,2400,1.765,0.969,157.891,1.273,0.785,258.952
77,2450,1.760,0.971,144.492,1.275,0.783,233.247
79,2500,1.757,0.971,144.467,1.278,0.785,269.641
80,2550,1.739,0.972,156.178,1.281,0.783,237.386
82,2600,1.728,0.968,142.836,1.282,0.780,252.799
83,2650,1.717,0.968,152.565,1.283,0.781,265.825
85,2700,1.705,0.971,140.227,1.288,0.772,250.985
86,2750,1.705,0.962,156.573,1.285,0.773,253.492
88,2800,1.696,0.962,142.978,1.283,0.775,215.266
90,2850,1.686,0.964,143.937,1.277,0.780,230.645
91,2900,1.672,0.972,155.971,1.270,0.785,254.646
93,2950,1.666,0.974,140.927,1.274,0.780,240.060
94,3000,1.660,0.974,154.707,1.266,0.788,243.230
96,3050,1.654,0.975,143.114,1.268,0.785,256.302
97,3100,1.648,0.976,154.214,1.278,0.773,213.448
99,3150,1.645,0.975,139.570,1.272,0.779,233.650
100,3200,1.646,0.971,154.338,1.269,0.782,228.060
102,3250,1.641,0.973,139.524,1.266,0.784,209.062
104,3300,1.644,0.968,141.425,1.273,0.776,234.481
105,3350,1.636,0.973,152.393,1.262,0.786,233.879
107,3400,1.631,0.975,142.418,1.269,0.779,243.669
108,3450,1.629,0.976,150.184,1.267,0.781,252.582
110,3500,1.631,0.973,144.076,1.264,0.784,215.522
111,3550,1.625,0.976,155.471,1.262,0.785,247.716
113,3600,1.621,0.979,142.262,1.265,0.782,240.245
115,3650,1.619,0.979,144.365,1.269,0.778,250.842
116,3700,1.632,0.967,152.313,1.312,0.734,233.840
118,3750,1.665,0.931,146.443,1.272,0.774,256.651
119,3800,1.633,0.962,155.897,1.268,0.779,284.159
121,3850,1.624,0.970,145.852,1.265,0.781,244.777
122,3900,1.618,0.975,155.103,1.258,0.788,215.584
124,3950,1.617,0.975,144.369,1.261,0.785,203.716
125,4000,1.615,0.977,152.546,1.256,0.790,253.194
127,4050,1.612,0.979,141.221,1.259,0.786,253.392
129,4100,1.610,0.981,144.446,1.256,0.789,244.182
130,4150,1.609,0.981,154.166,1.261,0.785,261.197
132,4200,1.608,0.981,142.882,1.256,0.790,263.486
133,4250,1.607,0.982,153.701,1.257,0.788,252.772
135,4300,1.605,0.983,143.450,1.256,0.789,215.732
136,4350,1.606,0.982,154.867,1.259,0.787,224.071
138,4400,1.605,0.982,142.301,1.264,0.781,226.004
140,4450,1.605,0.982,143.996,1.259,0.786,210.338
141,4500,1.603,0.984,153.212,1.258,0.787,246.954
143,4550,1.604,0.983,140.200,1.260,0.785,233.327
144,4600,1.602,0.983,153.758,1.260,0.785,251.943
146,4650,1.603,0.983,142.186,1.262,0.783,230.025
147,4700,1.602,0.983,151.035,1.257,0.788,253.315
149,4750,1.603,0.983,138.416,1.261,0.784,255.846
150,4800,1.601,0.984,157.658,1.259,0.785,241.130
152,4850,1.601,0.984,142.925,1.255,0.789,247.263
154,4900,1.600,0.984,141.408,1.260,0.784,238.148
155,4950,1.600,0.985,152.739,1.258,0.786,226.290
157,5000,1.599,0.985,139.015,1.255,0.789,234.416
