epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,1.729,0.262,63.755,1.719,0.257,178.730
4,100,1.712,0.274,90.123,1.718,0.258,255.010
5,150,1.716,0.255,91.706,1.716,0.255,272.215
7,200,1.713,0.267,90.195,1.717,0.255,259.392
8,250,1.708,0.270,92.023,1.687,0.252,258.377
10,300,1.600,0.438,89.590,1.550,0.490,265.375
11,350,1.578,0.462,91.855,1.542,0.499,251.188
13,400,1.520,0.509,89.480,1.488,0.544,262.549
15,450,1.481,0.552,89.030,1.520,0.512,256.923
16,500,1.461,0.575,91.563,1.430,0.606,262.866
18,550,1.421,0.617,89.337,1.430,0.606,253.049
19,600,1.396,0.643,91.324,1.390,0.648,253.428
21,650,1.365,0.675,88.779,1.393,0.645,284.136
22,700,1.350,0.690,92.242,1.365,0.673,260.459
24,750,1.330,0.711,88.788,1.371,0.667,260.897
25,800,1.328,0.713,92.135,1.351,0.689,264.371
27,850,1.306,0.734,88.763,1.357,0.682,272.277
29,900,1.303,0.738,88.428,1.347,0.692,279.735
30,950,1.292,0.749,92.381,1.363,0.677,264.629
32,1000,1.285,0.756,88.458,1.339,0.701,257.873
33,1050,1.276,0.766,92.252,1.342,0.698,269.141
35,1100,1.261,0.781,90.007,1.327,0.712,282.952
36,1150,1.257,0.785,92.309,1.361,0.678,263.840
38,1200,1.249,0.793,88.642,1.333,0.707,267.333
40,1250,1.241,0.801,88.327,1.321,0.720,267.273
41,1300,1.223,0.819,91.430,1.328,0.711,259.968
43,1350,1.219,0.823,88.918,1.338,0.702,259.971
44,1400,1.205,0.838,91.865,1.327,0.713,259.561
46,1450,1.200,0.843,89.378,1.321,0.719,249.409
47,1500,1.189,0.855,92.194,1.331,0.710,267.274
49,1550,1.179,0.864,89.514,1.330,0.709,254.376
50,1600,1.174,0.869,92.734,1.319,0.721,260.592
52,1650,1.169,0.874,88.178,1.326,0.714,251.441
54,1700,1.161,0.883,89.546,1.323,0.718,266.057
55,1750,1.157,0.887,91.567,1.322,0.718,255.042
57,1800,1.149,0.894,88.428,1.330,0.710,248.836
58,1850,1.146,0.898,91.446,1.326,0.714,256.656
60,1900,1.144,0.899,89.549,1.325,0.716,268.745
61,1950,1.140,0.903,91.707,1.324,0.717,258.571
63,2000,1.137,0.906,89.709,1.326,0.714,260.548
65,2050,1.139,0.904,90.091,1.337,0.703,256.519
66,2100,1.136,0.907,91.756,1.325,0.715,267.985
68,2150,1.132,0.911,90.013,1.324,0.717,270.160
69,2200,1.132,0.911,91.608,1.332,0.709,271.007
71,2250,1.134,0.909,88.532,1.322,0.718,267.468
72,2300,1.129,0.915,91.653,1.322,0.719,269.936
74,2350,1.127,0.916,89.853,1.322,0.719,274.961
75,2400,1.126,0.918,93.144,1.321,0.720,252.182
77,2450,1.123,0.920,88.580,1.319,0.722,265.661
79,2500,1.124,0.920,89.152,1.327,0.714,266.053
80,2550,1.121,0.922,91.043,1.319,0.722,270.347
82,2600,1.122,0.921,88.609,1.323,0.718,283.629
83,2650,1.120,0.923,91.515,1.318,0.723,266.384
85,2700,1.120,0.923,88.921,1.321,0.720,260.367
86,2750,1.118,0.925,92.125,1.325,0.716,261.482
88,2800,1.117,0.926,89.365,1.321,0.720,269.480
90,2850,1.119,0.924,89.189,1.322,0.719,268.734
91,2900,1.117,0.926,92.477,1.318,0.724,281.252
93,2950,1.117,0.926,89.156,1.322,0.719,284.753
94,3000,1.116,0.927,90.909,1.319,0.722,263.408
96,3050,1.116,0.928,88.819,1.318,0.724,253.940
97,3100,1.115,0.928,91.639,1.325,0.717,254.964
99,3150,1.115,0.929,89.415,1.328,0.713,255.205
100,3200,1.114,0.929,92.964,1.314,0.727,264.879
102,3250,1.113,0.930,88.262,1.322,0.719,255.179
104,3300,1.114,0.929,88.689,1.316,0.725,266.113
105,3350,1.111,0.932,92.391,1.322,0.719,258.725
107,3400,1.113,0.931,89.202,1.317,0.725,279.050
108,3450,1.112,0.931,92.468,1.323,0.719,273.101
110,3500,1.112,0.931,89.562,1.318,0.723,268.643
111,3550,1.111,0.932,92.013,1.320,0.721,267.322
113,3600,1.112,0.931,89.119,1.316,0.726,229.198
115,3650,1.110,0.933,89.205,1.318,0.724,266.003
116,3700,1.110,0.933,92.443,1.319,0.722,263.584
118,3750,1.110,0.934,88.830,1.320,0.721,252.997
119,3800,1.109,0.934,92.044,1.317,0.725,268.626
121,3850,1.111,0.932,89.381,1.325,0.717,275.232
122,3900,1.110,0.934,91.282,1.319,0.723,259.684
124,3950,1.111,0.932,88.788,1.321,0.720,266.159
125,4000,1.108,0.935,92.650,1.326,0.715,252.601
127,4050,1.108,0.935,88.927,1.322,0.720,268.328
129,4100,1.108,0.935,89.614,1.319,0.722,282.024
130,4150,1.107,0.936,92.013,1.318,0.723,255.958
132,4200,1.107,0.936,89.428,1.322,0.719,262.026
133,4250,1.108,0.935,91.930,1.319,0.723,267.207
135,4300,1.106,0.937,88.240,1.322,0.720,263.549
136,4350,1.107,0.936,91.892,1.315,0.726,263.411
138,4400,1.106,0.937,88.376,1.316,0.726,256.106
140,4450,1.105,0.938,89.166,1.322,0.720,261.675
