epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.728,0.281,70.785,1.685,0.363,365.986
1,100,1.720,0.275,95.212,1.699,0.362,379.618
1,150,1.714,0.269,95.352,1.707,0.156,382.877
1,200,1.717,0.274,95.332,1.711,0.156,378.149
1,250,1.708,0.297,95.254,1.704,0.362,378.423
1,300,1.717,0.277,95.327,1.710,0.156,377.839
1,350,1.711,0.296,95.340,1.691,0.363,381.683
1,400,1.709,0.300,95.167,1.698,0.363,378.143
1,450,1.708,0.295,95.325,1.705,0.363,380.236
1,500,1.716,0.260,95.326,1.709,0.363,380.411
1,550,1.707,0.300,95.453,1.683,0.362,375.713
2,600,1.717,0.274,85.855,1.696,0.362,381.269
2,650,1.713,0.284,95.314,1.690,0.362,378.770
2,700,1.713,0.285,95.252,1.699,0.363,378.513
2,750,1.710,0.297,95.403,1.689,0.362,378.674
2,800,1.715,0.280,95.338,1.688,0.362,379.846
2,850,1.708,0.294,95.375,1.699,0.363,379.567
2,900,1.702,0.313,95.408,1.695,0.363,380.122
2,950,1.709,0.296,95.318,1.711,0.362,379.334
2,1000,1.715,0.270,95.327,1.707,0.362,378.416
2,1050,1.711,0.291,95.275,1.685,0.362,381.269
2,1100,1.718,0.273,95.275,1.708,0.363,380.296
3,1150,1.713,0.275,93.410,1.697,0.362,381.577
3,1200,1.706,0.300,95.396,1.701,0.362,377.163
3,1250,1.708,0.297,95.366,1.703,0.362,380.735
3,1300,1.716,0.263,95.440,1.702,0.362,381.479
3,1350,1.714,0.288,95.228,1.692,0.362,377.053
3,1400,1.711,0.292,95.352,1.685,0.363,377.526
3,1450,1.708,0.296,95.480,1.692,0.362,380.560
3,1500,1.711,0.289,95.367,1.700,0.363,377.289
3,1550,1.715,0.284,95.415,1.697,0.363,381.688
3,1600,1.716,0.289,95.444,1.695,0.362,382.445
3,1650,1.709,0.295,95.321,1.693,0.362,378.391
4,1700,1.708,0.299,93.234,1.700,0.362,378.633
4,1750,1.717,0.278,95.443,1.709,0.362,381.940
4,1800,1.714,0.288,95.410,1.692,0.362,381.342
4,1850,1.706,0.312,95.510,1.682,0.363,381.661
4,1900,1.712,0.288,95.409,1.689,0.362,381.336
4,1950,1.716,0.275,95.389,1.706,0.363,379.733
4,2000,1.706,0.296,95.296,1.699,0.363,381.507
4,2050,1.718,0.262,95.474,1.706,0.362,380.539
4,2100,1.712,0.292,95.552,1.701,0.362,379.789
4,2150,1.705,0.307,95.269,1.703,0.363,375.961
4,2200,1.708,0.298,95.435,1.689,0.362,378.654
5,2250,1.715,0.287,91.359,1.693,0.362,380.860
5,2300,1.709,0.296,95.438,1.693,0.362,375.495
5,2350,1.718,0.277,95.266,1.694,0.363,381.401
5,2400,1.707,0.308,95.557,1.688,0.362,382.698
5,2450,1.709,0.291,95.435,1.702,0.363,380.501
5,2500,1.703,0.303,95.549,1.700,0.362,380.291
5,2550,1.710,0.297,95.435,1.701,0.363,382.322
5,2600,1.713,0.295,95.389,1.687,0.363,381.247
5,2650,1.716,0.275,95.481,1.699,0.362,376.364
5,2700,1.710,0.291,95.522,1.701,0.362,378.930
5,2750,1.714,0.283,95.540,1.701,0.363,378.067
6,2800,1.716,0.265,92.977,1.699,0.363,379.576
6,2850,1.713,0.275,95.515,1.708,0.363,378.821
6,2900,1.711,0.292,95.487,1.690,0.362,378.977
6,2950,1.714,0.283,95.526,1.695,0.363,378.614
6,3000,1.712,0.289,95.614,1.698,0.362,380.725
6,3050,1.709,0.300,95.533,1.695,0.362,381.097
6,3100,1.714,0.267,95.616,1.710,0.363,380.041
6,3150,1.713,0.299,95.634,1.686,0.362,376.297
6,3200,1.712,0.291,95.668,1.686,0.362,382.313
6,3250,1.705,0.306,95.536,1.695,0.362,380.148
6,3300,1.709,0.289,95.391,1.705,0.362,376.910
7,3350,1.713,0.277,92.264,1.705,0.362,374.613
7,3400,1.708,0.303,95.528,1.692,0.363,378.107
7,3450,1.714,0.285,95.385,1.701,0.362,376.529
7,3500,1.707,0.304,95.610,1.692,0.362,376.137
7,3550,1.710,0.300,95.171,1.693,0.362,380.671
7,3600,1.710,0.289,95.569,1.695,0.362,381.302
7,3650,1.717,0.272,95.348,1.699,0.362,378.567
7,3700,1.710,0.290,95.463,1.701,0.362,380.115
7,3750,1.711,0.275,95.507,1.709,0.362,375.785
7,3800,1.711,0.302,95.702,1.693,0.363,379.790
7,3850,1.708,0.294,95.626,1.695,0.363,380.437
8,3900,1.708,0.298,92.042,1.694,0.362,379.189
8,3950,1.711,0.285,95.445,1.699,0.363,379.573
8,4000,1.711,0.289,95.712,1.701,0.363,381.137
8,4050,1.712,0.288,95.764,1.703,0.362,377.936
8,4100,1.714,0.287,95.659,1.695,0.363,382.057
8,4150,1.711,0.293,95.587,1.692,0.363,378.780
8,4200,1.715,0.279,95.799,1.701,0.362,380.817
8,4250,1.714,0.286,95.408,1.698,0.362,383.251
8,4300,1.712,0.290,95.660,1.694,0.362,379.577
8,4350,1.708,0.303,95.491,1.685,0.362,378.845
8,4400,1.706,0.298,95.717,1.697,0.363,381.993
9,4450,1.718,0.279,92.589,1.697,0.362,378.941
9,4500,1.707,0.292,95.464,1.695,0.363,378.063
9,4550,1.715,0.289,95.559,1.696,0.363,380.135
9,4600,1.710,0.289,95.533,1.700,0.362,379.211
9,4650,1.713,0.281,95.570,1.698,0.362,379.602
9,4700,1.709,0.297,95.577,1.695,0.362,382.272
9,4750,1.712,0.288,95.703,1.696,0.362,380.922
9,4800,1.710,0.293,95.545,1.694,0.362,380.559
9,4850,1.712,0.288,95.517,1.695,0.362,378.112
9,4900,1.710,0.299,95.520,1.696,0.363,379.164
9,4950,1.713,0.284,95.479,1.696,0.363,381.735
10,5000,1.716,0.273,93.279,1.707,0.362,377.698
