epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.664,0.625,51.753,0.672,0.603,359.543
1,100,0.665,0.616,62.324,0.663,0.619,362.623
1,150,0.609,0.675,62.189,0.554,0.729,361.197
1,200,0.476,0.781,62.248,0.424,0.810,364.428
1,250,0.389,0.829,62.289,0.360,0.842,368.473
1,300,0.331,0.857,62.317,0.352,0.846,360.420
1,350,0.332,0.855,62.318,0.360,0.842,363.907
1,400,0.320,0.860,62.332,0.325,0.859,364.031
1,450,0.302,0.869,62.307,0.301,0.872,363.795
1,500,0.289,0.876,62.389,0.294,0.874,361.613
1,550,0.304,0.870,62.381,0.306,0.868,367.652
1,600,0.297,0.873,62.361,0.299,0.873,364.763
1,650,0.283,0.880,62.332,0.311,0.866,365.385
1,700,0.275,0.884,62.333,0.287,0.878,360.888
1,750,0.273,0.885,62.350,0.274,0.886,361.797
1,800,0.257,0.893,62.289,0.277,0.884,366.147
1,850,0.260,0.891,62.363,0.271,0.885,361.142
1,900,0.238,0.901,62.308,0.272,0.886,364.961
1,950,0.250,0.896,62.339,0.280,0.885,363.115
1,1000,0.252,0.896,62.356,0.264,0.891,364.295
1,1050,0.243,0.899,62.323,0.273,0.889,364.999
2,1100,0.246,0.897,58.106,0.257,0.893,365.716
2,1150,0.237,0.904,62.386,0.261,0.892,367.286
2,1200,0.229,0.908,62.374,0.243,0.901,367.118
2,1250,0.230,0.906,62.376,0.285,0.879,366.042
2,1300,0.249,0.898,62.220,0.258,0.892,363.854
2,1350,0.234,0.905,62.333,0.240,0.902,364.697
2,1400,0.233,0.905,62.305,0.253,0.895,365.865
2,1450,0.227,0.907,62.328,0.267,0.889,366.941
2,1500,0.225,0.908,62.292,0.241,0.901,366.628
2,1550,0.216,0.913,62.321,0.236,0.904,367.917
2,1600,0.223,0.910,62.311,0.245,0.901,365.773
2,1650,0.220,0.910,62.338,0.235,0.904,362.342
2,1700,0.219,0.910,62.345,0.227,0.907,366.741
2,1750,0.235,0.903,62.377,0.236,0.905,363.080
2,1800,0.214,0.914,62.448,0.232,0.905,367.261
2,1850,0.210,0.915,62.350,0.228,0.907,364.470
2,1900,0.202,0.919,62.458,0.231,0.907,367.605
2,1950,0.210,0.915,62.396,0.226,0.909,367.059
2,2000,0.217,0.912,62.353,0.230,0.905,369.285
2,2050,0.202,0.919,62.488,0.243,0.900,364.229
2,2100,0.206,0.918,62.242,0.223,0.909,363.077
2,2150,0.205,0.918,62.282,0.245,0.899,363.534
3,2200,0.204,0.917,61.176,0.223,0.909,365.228
3,2250,0.192,0.924,62.288,0.231,0.905,364.411
3,2300,0.199,0.921,62.293,0.219,0.912,365.187
3,2350,0.202,0.919,62.271,0.230,0.906,363.457
3,2400,0.201,0.919,62.315,0.220,0.911,366.302
3,2450,0.198,0.922,62.338,0.217,0.910,361.188
3,2500,0.194,0.922,62.366,0.217,0.912,365.177
3,2550,0.206,0.917,62.342,0.243,0.900,365.087
3,2600,0.196,0.921,62.387,0.218,0.911,361.425
3,2650,0.190,0.922,62.347,0.210,0.915,363.416
3,2700,0.190,0.925,62.356,0.209,0.916,365.305
3,2750,0.189,0.925,62.302,0.213,0.913,364.910
3,2800,0.185,0.927,62.300,0.210,0.914,365.121
3,2850,0.186,0.925,62.291,0.223,0.910,361.421
3,2900,0.194,0.922,62.377,0.229,0.906,365.534
3,2950,0.192,0.922,62.357,0.226,0.907,366.692
3,3000,0.188,0.924,62.376,0.212,0.915,363.049
3,3050,0.178,0.929,62.387,0.204,0.917,363.400
3,3100,0.182,0.927,62.297,0.203,0.918,361.340
3,3150,0.176,0.929,62.316,0.207,0.917,365.757
3,3200,0.192,0.923,62.288,0.212,0.915,366.103
3,3250,0.186,0.926,62.356,0.208,0.917,365.846
4,3300,0.189,0.924,61.124,0.214,0.914,366.743
4,3350,0.182,0.928,62.423,0.202,0.919,369.161
4,3400,0.174,0.931,62.478,0.203,0.920,367.348
4,3450,0.179,0.929,62.391,0.203,0.918,365.368
4,3500,0.172,0.932,62.357,0.195,0.921,366.013
4,3550,0.183,0.927,62.434,0.202,0.918,363.862
4,3600,0.183,0.927,62.481,0.195,0.921,366.637
4,3650,0.177,0.929,62.483,0.214,0.913,365.876
4,3700,0.177,0.929,62.413,0.213,0.914,364.557
4,3750,0.175,0.929,62.419,0.201,0.919,362.817
4,3800,0.173,0.931,62.466,0.201,0.918,368.692
4,3850,0.172,0.932,62.360,0.196,0.922,365.638
4,3900,0.174,0.931,62.464,0.203,0.919,366.539
4,3950,0.179,0.929,62.430,0.212,0.916,366.078
4,4000,0.179,0.929,62.471,0.191,0.923,367.450
4,4050,0.178,0.928,62.413,0.194,0.922,364.908
4,4100,0.165,0.935,62.350,0.190,0.924,365.395
4,4150,0.158,0.938,62.424,0.187,0.925,367.102
4,4200,0.165,0.935,62.490,0.188,0.924,366.591
4,4250,0.161,0.936,62.398,0.189,0.923,366.330
4,4300,0.161,0.936,62.413,0.195,0.921,368.179
4,4350,0.161,0.936,62.428,0.189,0.924,365.304
5,4400,0.174,0.931,61.656,0.192,0.924,365.602
5,4450,0.165,0.934,62.442,0.199,0.920,367.245
5,4500,0.166,0.935,62.396,0.186,0.925,366.239
5,4550,0.155,0.939,62.358,0.199,0.921,366.582
5,4600,0.168,0.932,62.457,0.190,0.925,365.779
5,4650,0.156,0.938,62.456,0.183,0.928,364.864
5,4700,0.156,0.938,62.441,0.190,0.923,361.980
5,4750,0.161,0.937,62.474,0.182,0.927,363.350
5,4800,0.169,0.933,62.490,0.197,0.921,366.491
5,4850,0.155,0.938,62.452,0.185,0.925,366.215
5,4900,0.161,0.935,62.486,0.187,0.924,366.873
5,4950,0.158,0.937,62.412,0.184,0.927,365.257
5,5000,0.159,0.936,62.466,0.185,0.926,362.398
