epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.731,0.264,70.505,1.692,0.362,361.292
1,100,1.711,0.298,95.122,1.691,0.362,373.881
1,150,1.698,0.324,95.106,1.614,0.424,377.199
1,200,1.599,0.442,95.003,1.585,0.458,379.354
1,250,1.590,0.452,95.000,1.576,0.466,377.265
1,300,1.575,0.467,94.867,1.582,0.460,375.672
1,350,1.583,0.459,95.012,1.579,0.464,376.737
1,400,1.568,0.474,94.989,1.570,0.472,375.566
1,450,1.565,0.477,94.995,1.575,0.468,379.498
1,500,1.579,0.463,95.015,1.567,0.475,375.130
1,550,1.554,0.488,95.054,1.567,0.474,380.669
2,600,1.563,0.479,85.039,1.567,0.474,375.542
2,650,1.570,0.471,94.925,1.564,0.476,376.313
2,700,1.564,0.478,95.030,1.572,0.469,376.045
2,750,1.564,0.473,94.845,1.566,0.474,375.275
2,800,1.563,0.480,95.057,1.565,0.478,379.166
2,850,1.563,0.477,95.014,1.557,0.483,377.062
2,900,1.546,0.495,95.008,1.509,0.531,378.946
2,950,1.532,0.508,95.045,1.467,0.572,377.403
2,1000,1.521,0.519,95.116,1.477,0.564,378.041
2,1050,1.510,0.531,95.073,1.468,0.572,377.955
2,1100,1.506,0.534,95.026,1.470,0.570,376.017
3,1150,1.500,0.540,91.966,1.445,0.596,377.098
3,1200,1.496,0.544,94.954,1.493,0.548,377.372
3,1250,1.515,0.525,95.032,1.472,0.570,376.865
3,1300,1.495,0.545,95.080,1.434,0.606,374.986
3,1350,1.496,0.544,95.012,1.425,0.615,375.760
3,1400,1.496,0.545,94.997,1.466,0.575,376.301
3,1450,1.492,0.548,95.002,1.423,0.618,378.537
3,1500,1.485,0.556,95.041,1.445,0.597,378.568
3,1550,1.490,0.551,95.043,1.479,0.564,378.262
3,1600,1.488,0.553,94.905,1.425,0.615,375.884
3,1650,1.487,0.553,95.070,1.420,0.621,374.068
4,1700,1.485,0.556,92.457,1.435,0.607,376.777
4,1750,1.471,0.570,95.013,1.483,0.559,377.456
4,1800,1.472,0.569,95.174,1.448,0.593,375.128
4,1850,1.497,0.543,95.039,1.416,0.625,378.570
4,1900,1.458,0.583,94.967,1.405,0.637,378.247
4,1950,1.474,0.567,95.044,1.413,0.628,378.172
4,2000,1.478,0.563,95.024,1.423,0.617,375.317
4,2050,1.470,0.571,95.061,1.421,0.620,379.378
4,2100,1.464,0.576,94.953,1.396,0.646,376.711
4,2150,1.461,0.581,95.016,1.417,0.624,376.540
4,2200,1.450,0.592,94.831,1.401,0.640,377.200
5,2250,1.460,0.581,92.659,1.415,0.626,374.480
5,2300,1.448,0.594,95.110,1.396,0.645,375.582
5,2350,1.470,0.571,95.060,1.417,0.624,375.375
5,2400,1.458,0.583,94.871,1.406,0.635,378.340
5,2450,1.455,0.586,95.068,1.400,0.641,379.875
5,2500,1.467,0.573,94.898,1.378,0.662,375.889
5,2550,1.445,0.596,94.836,1.396,0.645,376.351
5,2600,1.443,0.598,95.067,1.413,0.628,378.150
5,2650,1.465,0.576,94.917,1.402,0.639,377.001
5,2700,1.454,0.587,94.978,1.392,0.650,376.851
5,2750,1.447,0.595,95.038,1.383,0.659,373.525
6,2800,1.459,0.582,92.876,1.404,0.637,377.256
6,2850,1.434,0.607,95.072,1.394,0.647,376.914
6,2900,1.453,0.588,94.947,1.377,0.665,378.295
6,2950,1.453,0.588,95.076,1.391,0.650,376.397
6,3000,1.428,0.613,95.054,1.381,0.660,375.801
6,3050,1.444,0.597,95.009,1.390,0.650,377.040
6,3100,1.450,0.591,95.059,1.375,0.666,376.337
6,3150,1.444,0.598,95.086,1.432,0.608,374.213
6,3200,1.427,0.614,95.003,1.384,0.657,377.855
6,3250,1.437,0.604,94.867,1.371,0.670,375.640
6,3300,1.443,0.598,95.027,1.420,0.621,377.457
7,3350,1.443,0.599,92.418,1.384,0.657,376.444
7,3400,1.444,0.597,94.998,1.389,0.652,378.943
7,3450,1.445,0.596,95.032,1.385,0.656,376.350
7,3500,1.419,0.622,94.865,1.388,0.653,381.488
7,3550,1.426,0.615,95.031,1.373,0.668,377.614
7,3600,1.424,0.618,94.943,1.368,0.673,373.402
7,3650,1.440,0.601,94.961,1.367,0.675,375.699
7,3700,1.432,0.609,95.002,1.368,0.673,375.864
7,3750,1.415,0.627,94.988,1.374,0.667,378.369
7,3800,1.439,0.601,94.969,1.371,0.671,377.895
7,3850,1.416,0.626,94.956,1.383,0.658,377.432
8,3900,1.433,0.608,91.915,1.376,0.665,374.591
8,3950,1.417,0.624,94.957,1.361,0.680,378.467
8,4000,1.422,0.620,94.982,1.373,0.669,375.840
8,4050,1.420,0.622,94.928,1.378,0.663,377.755
8,4100,1.415,0.626,95.050,1.394,0.648,377.080
8,4150,1.454,0.587,94.886,1.389,0.651,377.701
8,4200,1.429,0.612,94.753,1.368,0.673,377.723
8,4250,1.415,0.627,95.041,1.362,0.679,376.685
8,4300,1.429,0.612,94.860,1.360,0.682,377.059
8,4350,1.426,0.615,94.984,1.366,0.676,372.967
8,4400,1.427,0.615,94.956,1.366,0.676,376.800
9,4450,1.430,0.611,91.789,1.378,0.663,377.379
9,4500,1.428,0.614,95.026,1.386,0.656,375.918
9,4550,1.421,0.621,94.977,1.385,0.657,377.475
9,4600,1.423,0.618,94.946,1.376,0.666,376.412
9,4650,1.409,0.633,95.100,1.356,0.686,379.290
9,4700,1.425,0.617,94.957,1.357,0.684,376.822
9,4750,1.420,0.622,95.031,1.364,0.678,379.599
9,4800,1.404,0.638,95.008,1.378,0.663,376.135
9,4850,1.413,0.628,95.118,1.377,0.664,378.462
9,4900,1.424,0.618,94.971,1.389,0.653,378.774
9,4950,1.409,0.632,95.049,1.386,0.655,378.235
10,5000,1.418,0.623,91.320,1.371,0.669,371.858
