epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,50,0.658,0.633,40.505,29.626,0.654,0.636,87.279,136.939
1,100,0.596,0.677,40.892,29.346,0.485,0.761,90.435,132.162
1,150,0.453,0.789,41.165,29.151,0.445,0.805,91.182,131.079
1,200,0.425,0.803,41.139,29.17,0.396,0.82,90.778,131.662
1,250,0.381,0.831,41.095,29.2,0.372,0.835,90.843,131.567
1,300,0.355,0.844,41.014,29.258,0.344,0.846,90.972,131.381
1,350,0.331,0.854,41.154,29.159,0.321,0.858,91.102,131.194
1,400,0.339,0.85,41.023,29.252,0.328,0.855,90.892,131.496
1,450,0.322,0.86,41.15,29.161,0.324,0.857,91.01,131.326
1,500,0.311,0.866,41.229,29.106,0.3,0.872,91.231,131.008
1,550,0.313,0.863,41.132,29.174,0.295,0.873,90.925,131.449
1,600,0.295,0.873,41.236,29.101,0.293,0.876,91.306,130.9
1,650,0.29,0.878,41.369,29.007,0.284,0.88,91.516,130.601
1,700,0.282,0.88,41.276,29.073,0.293,0.875,91.519,130.596
1,750,0.274,0.883,41.321,29.041,0.273,0.885,91.411,130.751
1,800,0.287,0.879,41.288,29.064,0.272,0.885,91.499,130.624
1,850,0.268,0.888,41.248,29.092,0.261,0.891,91.486,130.644
1,900,0.269,0.888,41.348,29.022,0.271,0.885,91.623,130.448
1,950,0.272,0.886,41.217,29.114,0.25,0.896,91.586,130.5
1,1000,0.242,0.9,41.413,28.976,0.253,0.895,91.433,130.719
1,1050,0.255,0.895,41.293,29.061,0.271,0.885,91.744,130.276
1,1100,0.274,0.886,41.347,29.023,0.243,0.9,91.391,130.778
1,1150,0.257,0.894,41.311,29.048,0.248,0.898,91.095,131.204
2,1200,0.236,0.903,41.431,28.964,0.236,0.904,91.07,131.24
2,1250,0.252,0.895,41.214,29.117,0.249,0.899,91.048,131.271
2,1300,0.24,0.903,41.198,29.127,0.26,0.895,90.747,131.707
2,1350,0.253,0.896,41.037,29.242,0.262,0.893,90.789,131.646
2,1400,0.232,0.905,40.943,29.309,0.255,0.899,90.865,131.536
2,1450,0.234,0.904,40.964,29.294,0.237,0.903,91.048,131.272
2,1500,0.232,0.902,41.182,29.139,0.222,0.911,91.204,131.047
2,1550,0.226,0.907,41.138,29.17,0.22,0.911,91.316,130.886
2,1600,0.239,0.904,41.253,29.089,0.236,0.904,91.309,130.896
2,1650,0.242,0.901,41.165,29.151,0.234,0.905,91.273,130.948
2,1700,0.232,0.906,41.363,29.011,0.23,0.907,91.368,130.812
2,1750,0.228,0.908,41.165,29.151,0.227,0.908,91.237,130.999
2,1800,0.224,0.91,41.368,29.008,0.226,0.907,91.399,130.767
2,1850,0.224,0.909,41.343,29.025,0.217,0.913,91.48,130.651
2,1900,0.216,0.913,41.283,29.068,0.216,0.913,91.383,130.791
2,1950,0.208,0.915,41.374,29.004,0.207,0.917,91.307,130.9
2,2000,0.212,0.913,41.332,29.033,0.236,0.904,91.366,130.815
2,2050,0.205,0.919,41.438,28.959,0.223,0.911,91.435,130.716
2,2100,0.222,0.91,41.212,29.118,0.222,0.911,91.248,130.984
2,2150,0.218,0.911,41.169,29.148,0.213,0.915,90.952,131.41
2,2200,0.22,0.911,41.151,29.161,0.223,0.91,90.811,131.614
2,2250,0.215,0.914,41.219,29.113,0.202,0.919,91.059,131.255
2,2300,0.218,0.913,40.936,29.314,0.21,0.916,90.867,131.532
3,2350,0.207,0.918,41.183,29.138,0.216,0.913,90.825,131.594
3,2400,0.193,0.922,41.163,29.152,0.199,0.92,91.057,131.259
3,2450,0.207,0.918,41.124,29.18,0.207,0.917,91.163,131.106
3,2500,0.206,0.917,41.17,29.148,0.201,0.919,91.244,130.989
3,2550,0.209,0.917,41.141,29.168,0.222,0.91,91.235,131.002
3,2600,0.217,0.912,41.146,29.164,0.22,0.911,91.009,131.328
3,2650,0.216,0.913,41.212,29.118,0.202,0.919,91.299,130.91
3,2700,0.197,0.92,41.171,29.147,0.202,0.919,91.536,130.572
3,2750,0.193,0.923,41.122,29.181,0.218,0.913,91.415,130.745
3,2800,0.194,0.921,41.197,29.129,0.221,0.91,91.396,130.772
3,2850,0.204,0.917,41.141,29.168,0.228,0.906,91.413,130.747
3,2900,0.206,0.916,41.201,29.125,0.206,0.917,91.356,130.829
3,2950,0.193,0.923,41.16,29.155,0.194,0.923,91.307,130.899
3,3000,0.214,0.914,41.239,29.098,0.2,0.921,91.377,130.799
3,3050,0.195,0.922,41.204,29.124,0.205,0.918,91.307,130.899
3,3100,0.193,0.923,41.125,29.179,0.191,0.925,91.216,131.03
3,3150,0.192,0.922,41.014,29.258,0.185,0.927,90.973,131.379
3,3200,0.193,0.922,41.039,29.241,0.196,0.922,90.962,131.395
3,3250,0.2,0.92,41.16,29.154,0.193,0.924,91.049,131.27
3,3300,0.194,0.922,41.067,29.221,0.19,0.925,90.792,131.642
