epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.480,0.804,119.983,0.551,0.660,630.284
1,100,0.358,0.872,166.723,0.344,0.877,639.642
1,150,0.319,0.882,166.347,0.316,0.874,634.935
1,200,0.283,0.898,166.640,0.275,0.902,635.722
1,250,0.265,0.901,164.894,0.285,0.882,640.877
1,300,0.250,0.903,165.063,0.247,0.910,634.058
1,350,0.228,0.914,166.539,0.237,0.914,637.468
1,400,0.210,0.920,165.310,0.226,0.914,641.555
1,450,0.206,0.919,164.603,0.219,0.914,635.375
1,500,0.194,0.925,165.312,0.213,0.920,631.435
1,550,0.189,0.925,166.288,0.219,0.914,634.904
1,600,0.198,0.922,165.765,0.226,0.909,637.857
1,650,0.181,0.928,165.997,0.205,0.922,639.910
1,700,0.180,0.929,165.979,0.213,0.913,640.945
1,750,0.175,0.931,166.571,0.195,0.921,637.736
1,800,0.183,0.927,165.883,0.202,0.918,639.362
1,850,0.177,0.930,165.612,0.199,0.919,642.212
1,900,0.168,0.933,165.426,0.188,0.927,638.532
1,950,0.162,0.936,165.960,0.181,0.929,636.495
1,1000,0.165,0.935,165.836,0.198,0.921,636.472
1,1050,0.156,0.939,166.151,0.197,0.918,641.652
2,1100,0.161,0.937,144.364,0.181,0.931,638.387
2,1150,0.143,0.944,166.266,0.227,0.906,645.483
2,1200,0.155,0.939,165.623,0.179,0.928,643.005
2,1250,0.149,0.941,165.724,0.170,0.932,639.259
2,1300,0.148,0.941,166.001,0.172,0.933,641.310
2,1350,0.149,0.942,166.375,0.175,0.931,637.216
2,1400,0.156,0.939,166.698,0.174,0.930,634.674
2,1450,0.142,0.944,165.800,0.172,0.933,639.809
2,1500,0.157,0.940,165.882,0.178,0.928,640.275
2,1550,0.138,0.946,165.292,0.175,0.929,636.768
2,1600,0.149,0.941,166.401,0.170,0.932,638.861
2,1650,0.141,0.945,166.024,0.166,0.935,640.133
2,1700,0.153,0.940,165.686,0.167,0.933,640.053
2,1750,0.142,0.945,166.260,0.170,0.931,640.647
2,1800,0.140,0.946,165.733,0.164,0.936,638.386
2,1850,0.150,0.941,165.265,0.174,0.938,641.514
2,1900,0.138,0.946,166.390,0.181,0.926,640.414
2,1950,0.137,0.946,165.496,0.163,0.936,638.389
2,2000,0.130,0.949,165.401,0.162,0.936,637.600
2,2050,0.135,0.947,166.430,0.155,0.938,636.633
2,2100,0.133,0.948,165.412,0.167,0.933,639.271
2,2150,0.132,0.948,164.962,0.169,0.934,645.613
3,2200,0.141,0.946,157.540,0.170,0.933,639.749
3,2250,0.135,0.948,166.289,0.163,0.935,635.463
3,2300,0.134,0.948,165.411,0.163,0.936,634.421
3,2350,0.124,0.951,165.679,0.162,0.934,633.212
3,2400,0.127,0.950,165.914,0.161,0.937,638.826
3,2450,0.126,0.950,165.942,0.160,0.937,637.576
3,2500,0.130,0.949,166.349,0.155,0.940,639.501
3,2550,0.127,0.951,166.079,0.165,0.935,637.551
3,2600,0.128,0.950,166.033,0.155,0.939,635.984
3,2650,0.123,0.952,165.410,0.166,0.936,636.999
3,2700,0.132,0.949,166.309,0.187,0.922,634.681
3,2750,0.121,0.953,166.142,0.159,0.935,640.150
3,2800,0.128,0.950,166.115,0.158,0.939,638.720
3,2850,0.123,0.953,165.608,0.146,0.942,634.806
