epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.664,0.520,116.926,1.615,0.446,503.142
1,100,1.544,0.578,164.918,1.472,0.606,559.755
1,150,1.470,0.605,165.501,1.400,0.668,594.496
1,200,1.437,0.620,164.503,1.381,0.672,607.366
1,250,1.419,0.632,165.539,1.388,0.659,593.000
1,300,1.420,0.627,164.900,1.364,0.682,600.315
1,350,1.409,0.637,165.597,1.403,0.640,595.102
1,400,1.397,0.647,165.660,1.348,0.697,564.257
1,450,1.382,0.661,165.516,1.370,0.674,600.427
1,500,1.391,0.652,165.354,1.371,0.672,598.006
1,550,1.386,0.657,165.571,1.360,0.682,601.664
2,600,1.385,0.657,149.450,1.344,0.698,599.521
2,650,1.370,0.672,164.762,1.334,0.708,586.906
2,700,1.352,0.690,165.050,1.327,0.715,578.627
2,750,1.358,0.683,164.901,1.337,0.705,591.498
2,800,1.352,0.690,164.912,1.364,0.677,587.340
2,850,1.350,0.692,164.521,1.327,0.714,592.902
2,900,1.342,0.699,165.107,1.333,0.708,608.735
2,950,1.344,0.697,164.605,1.323,0.718,576.545
2,1000,1.341,0.700,164.328,1.331,0.710,565.646
2,1050,1.334,0.708,165.370,1.318,0.723,580.201
2,1100,1.330,0.712,165.198,1.305,0.736,591.749
3,1150,1.342,0.698,155.610,1.312,0.728,589.924
3,1200,1.325,0.716,165.158,1.308,0.732,574.158
3,1250,1.321,0.720,164.538,1.305,0.734,541.068
3,1300,1.319,0.722,165.206,1.295,0.748,573.511
3,1350,1.340,0.703,164.187,1.302,0.743,599.681
3,1400,1.323,0.720,164.728,1.288,0.755,573.491
3,1450,1.321,0.722,164.624,1.313,0.730,574.744
3,1500,1.322,0.720,165.238,1.305,0.737,578.992
3,1550,1.305,0.737,165.005,1.283,0.759,602.609
3,1600,1.307,0.735,163.931,1.286,0.757,608.664
3,1650,1.298,0.744,165.374,1.285,0.757,528.441
4,1700,1.316,0.726,154.307,1.300,0.742,551.192
4,1750,1.296,0.746,164.589,1.264,0.778,585.840
4,1800,1.299,0.743,164.798,1.288,0.753,572.125
4,1850,1.315,0.727,164.101,1.272,0.770,588.567
4,1900,1.300,0.742,164.560,1.282,0.760,592.165
4,1950,1.298,0.743,164.616,1.269,0.773,589.322
4,2000,1.292,0.750,164.683,1.267,0.775,585.910
4,2050,1.291,0.751,164.567,1.269,0.772,520.847
4,2100,1.293,0.749,164.321,1.267,0.775,546.774
4,2150,1.302,0.739,164.672,1.270,0.772,602.708
4,2200,1.290,0.751,165.062,1.284,0.758,562.180
5,2250,1.292,0.750,156.369,1.264,0.779,593.250
