epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.656,0.539,117.395,1.658,0.367,538.390
1,100,1.517,0.613,164.117,1.404,0.684,545.722
1,150,1.449,0.627,164.783,1.379,0.685,588.326
1,200,1.417,0.641,164.506,1.368,0.685,594.052
1,250,1.402,0.649,164.698,1.345,0.703,605.026
1,300,1.423,0.624,164.378,1.337,0.711,592.593
1,350,1.394,0.652,165.204,1.342,0.703,595.949
1,400,1.387,0.657,165.382,1.342,0.702,604.639
1,450,1.371,0.673,164.679,1.325,0.718,553.583
1,500,1.373,0.669,164.059,1.329,0.713,540.118
1,550,1.372,0.669,165.698,1.317,0.725,614.518
2,600,1.377,0.665,147.493,1.308,0.733,617.767
2,650,1.363,0.680,165.680,1.308,0.741,610.984
2,700,1.343,0.702,165.697,1.304,0.743,565.969
2,750,1.350,0.693,165.184,1.307,0.737,592.251
2,800,1.349,0.694,165.487,1.288,0.756,604.437
2,850,1.338,0.704,165.301,1.293,0.750,576.103
2,900,1.327,0.716,165.658,1.299,0.743,593.730
2,950,1.337,0.706,164.988,1.290,0.752,567.155
2,1000,1.327,0.715,165.621,1.298,0.744,578.041
2,1050,1.329,0.713,165.810,1.315,0.727,604.847
2,1100,1.320,0.722,165.191,1.287,0.756,593.158
3,1150,1.331,0.711,153.975,1.272,0.770,527.727
3,1200,1.323,0.719,165.186,1.281,0.761,558.152
3,1250,1.308,0.735,165.171,1.286,0.756,591.797
3,1300,1.319,0.723,165.164,1.293,0.749,595.602
3,1350,1.334,0.708,165.239,1.288,0.755,601.692
3,1400,1.314,0.728,165.220,1.293,0.749,607.780
3,1450,1.315,0.727,165.510,1.269,0.774,595.825
3,1500,1.309,0.733,163.784,1.277,0.765,603.329
3,1550,1.307,0.735,165.476,1.274,0.768,539.988
3,1600,1.305,0.737,164.280,1.254,0.788,550.486
3,1650,1.290,0.752,165.090,1.278,0.763,535.385
4,1700,1.325,0.716,156.492,1.272,0.770,588.323
4,1750,1.312,0.730,164.680,1.279,0.763,602.239
4,1800,1.302,0.739,164.981,1.275,0.767,594.677
4,1850,1.317,0.725,164.935,1.271,0.771,582.487
4,1900,1.301,0.741,165.199,1.256,0.786,591.741
4,1950,1.298,0.744,164.761,1.265,0.777,522.486
4,2000,1.291,0.751,165.012,1.256,0.786,562.526
4,2050,1.291,0.751,164.834,1.269,0.773,573.398
4,2100,1.297,0.744,164.967,1.258,0.784,603.030
4,2150,1.302,0.740,165.267,1.265,0.777,596.273
4,2200,1.282,0.760,164.879,1.263,0.779,540.590
5,2250,1.299,0.742,156.316,1.259,0.783,574.656
5,2300,1.299,0.743,164.745,1.274,0.768,565.434
5,2350,1.288,0.754,165.696,1.264,0.778,610.814
5,2400,1.295,0.747,164.854,1.289,0.753,555.352
5,2450,1.286,0.756,165.529,1.256,0.786,597.691
5,2500,1.290,0.752,165.358,1.254,0.788,600.053
5,2550,1.285,0.757,165.063,1.260,0.782,571.731
5,2600,1.288,0.754,165.423,1.245,0.797,532.169
5,2650,1.280,0.761,165.249,1.257,0.785,552.841
5,2700,1.276,0.766,165.088,1.259,0.783,595.149
5,2750,1.277,0.765,165.337,1.260,0.782,573.786
6,2800,1.277,0.765,155.727,1.276,0.766,575.174
6,2850,1.282,0.760,165.368,1.308,0.734,598.935
6,2900,1.283,0.759,164.900,1.248,0.793,590.909
6,2950,1.269,0.773,165.425,1.254,0.788,621.635
6,3000,1.267,0.775,164.739,1.268,0.774,536.133
6,3050,1.276,0.766,165.089,1.243,0.799,552.439
6,3100,1.273,0.769,165.682,1.255,0.788,548.949
6,3150,1.283,0.759,165.220,1.244,0.799,567.976
6,3200,1.280,0.762,165.149,1.241,0.801,552.316
6,3250,1.282,0.760,165.317,1.247,0.796,576.757
6,3300,1.268,0.774,165.346,1.281,0.761,608.454
7,3350,1.289,0.753,157.211,1.243,0.799,580.345
7,3400,1.266,0.776,164.972,1.244,0.798,551.853
7,3450,1.268,0.774,164.438,1.252,0.790,548.797
7,3500,1.276,0.766,164.393,1.241,0.801,599.621
7,3550,1.269,0.773,164.606,1.248,0.794,589.568
7,3600,1.262,0.780,164.995,1.247,0.795,591.151
7,3650,1.264,0.778,165.461,1.236,0.806,540.044
7,3700,1.270,0.772,164.603,1.252,0.790,528.241
7,3750,1.279,0.763,165.269,1.238,0.804,586.424
7,3800,1.271,0.771,164.737,1.247,0.795,556.310
7,3850,1.254,0.788,164.142,1.239,0.803,569.986
8,3900,1.259,0.784,154.730,1.237,0.805,575.095
8,3950,1.267,0.775,165.385,1.270,0.772,578.188
8,4000,1.260,0.782,164.620,1.269,0.773,590.466
8,4050,1.259,0.784,165.430,1.245,0.797,541.384
8,4100,1.257,0.785,164.660,1.252,0.790,553.798
8,4150,1.252,0.790,164.833,1.235,0.808,584.465
8,4200,1.252,0.790,165.524,1.238,0.804,610.469
8,4250,1.273,0.769,165.478,1.250,0.792,552.094
8,4300,1.258,0.783,165.254,1.241,0.801,580.324
8,4350,1.263,0.778,165.387,1.242,0.800,608.695
8,4400,1.266,0.776,165.260,1.237,0.805,595.584
9,4450,1.276,0.766,155.339,1.241,0.801,598.984
9,4500,1.251,0.791,164.743,1.250,0.792,551.358
9,4550,1.254,0.788,164.191,1.241,0.800,532.688
9,4600,1.250,0.792,165.145,1.231,0.812,604.909
9,4650,1.250,0.792,164.362,1.238,0.804,565.392
9,4700,1.248,0.794,165.127,1.238,0.804,588.830
9,4750,1.253,0.789,165.267,1.242,0.800,587.372
9,4800,1.247,0.795,164.396,1.242,0.800,592.524
9,4850,1.259,0.783,165.453,1.240,0.802,546.527
9,4900,1.246,0.796,164.857,1.234,0.808,540.755
9,4950,1.251,0.791,164.918,1.235,0.807,581.202
10,5000,1.263,0.779,154.558,1.240,0.802,617.396
