epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,1.592,0.686,104.546,1.622,0.489,256.176
4,100,1.386,0.777,144.491,1.362,0.739,327.750
5,150,1.291,0.799,154.863,1.307,0.762,331.240
7,200,1.248,0.817,146.893,1.292,0.766,338.367
8,250,1.240,0.815,156.527,1.293,0.757,323.896
10,300,1.222,0.829,147.129,1.283,0.764,334.409
11,350,1.214,0.835,153.933,1.267,0.780,329.301
13,400,1.209,0.838,145.712,1.272,0.773,308.486
15,450,1.196,0.851,148.607,1.272,0.773,311.079
16,500,1.190,0.856,152.601,1.268,0.776,320.714
18,550,1.181,0.865,144.767,1.276,0.768,340.811
19,600,1.176,0.869,155.530,1.276,0.767,343.889
21,650,1.167,0.878,146.932,1.265,0.779,291.255
22,700,1.164,0.881,154.862,1.252,0.791,307.118
24,750,1.156,0.888,144.464,1.257,0.786,318.772
25,800,1.151,0.893,156.164,1.263,0.780,346.226
27,850,1.145,0.899,146.849,1.264,0.778,331.150
29,900,1.143,0.902,147.045,1.258,0.785,318.492
30,950,1.143,0.901,154.536,1.265,0.777,312.130
32,1000,1.138,0.906,145.951,1.271,0.771,336.812
33,1050,1.130,0.914,156.392,1.262,0.780,354.471
35,1100,1.125,0.919,147.499,1.259,0.783,296.167
36,1150,1.121,0.923,155.068,1.259,0.783,341.981
38,1200,1.120,0.924,145.919,1.262,0.780,315.394
40,1250,1.115,0.929,145.908,1.256,0.786,313.452
41,1300,1.113,0.931,155.411,1.258,0.784,315.090
43,1350,1.118,0.926,147.150,1.273,0.769,336.401
44,1400,1.115,0.929,154.755,1.259,0.783,350.693
46,1450,1.112,0.932,144.924,1.272,0.770,297.673
47,1500,1.107,0.937,155.748,1.264,0.778,314.012
49,1550,1.105,0.939,145.806,1.266,0.776,336.507
50,1600,1.102,0.942,156.301,1.262,0.780,334.867
52,1650,1.101,0.943,143.554,1.267,0.776,334.853
54,1700,1.098,0.945,147.159,1.260,0.782,300.091
55,1750,1.098,0.945,154.451,1.264,0.778,324.627
57,1800,1.101,0.942,146.841,1.271,0.772,327.627
58,1850,1.098,0.945,157.656,1.264,0.778,325.770
60,1900,1.096,0.948,145.595,1.263,0.780,298.481
61,1950,1.093,0.951,156.084,1.265,0.777,345.367
63,2000,1.092,0.951,145.172,1.259,0.784,316.838
65,2050,1.090,0.954,144.785,1.260,0.783,355.256
66,2100,1.090,0.954,156.859,1.259,0.783,354.049
68,2150,1.088,0.955,147.541,1.264,0.778,307.267
69,2200,1.087,0.957,155.579,1.260,0.782,324.616
71,2250,1.088,0.956,148.160,1.269,0.773,324.863
72,2300,1.087,0.957,156.864,1.255,0.787,310.273
74,2350,1.088,0.956,146.255,1.260,0.782,326.810
75,2400,1.085,0.959,156.341,1.263,0.779,315.710
77,2450,1.083,0.961,144.271,1.259,0.784,318.405
79,2500,1.091,0.953,145.264,1.266,0.776,332.643
80,2550,1.088,0.955,154.195,1.260,0.783,354.669
82,2600,1.085,0.959,146.096,1.260,0.783,305.995
83,2650,1.083,0.961,155.738,1.261,0.781,371.591
85,2700,1.081,0.962,147.063,1.257,0.785,296.024
86,2750,1.080,0.964,154.642,1.262,0.781,294.853
88,2800,1.079,0.964,144.032,1.256,0.786,285.704
90,2850,1.081,0.963,146.878,1.263,0.780,302.757
91,2900,1.081,0.963,154.946,1.261,0.781,327.078
93,2950,1.078,0.966,146.930,1.263,0.779,323.601
94,3000,1.079,0.965,155.586,1.261,0.781,355.619
96,3050,1.080,0.964,143.784,1.263,0.780,328.261
97,3100,1.082,0.962,155.646,1.260,0.783,314.480
99,3150,1.079,0.965,146.285,1.257,0.785,315.426
100,3200,1.078,0.966,155.401,1.262,0.781,339.342
102,3250,1.075,0.969,145.794,1.261,0.782,312.594
104,3300,1.083,0.960,146.901,1.260,0.783,305.748
105,3350,1.080,0.963,156.173,1.263,0.780,318.368
107,3400,1.077,0.966,144.492,1.263,0.780,325.294
108,3450,1.076,0.968,155.894,1.256,0.787,320.536
110,3500,1.075,0.969,143.941,1.259,0.784,321.711
111,3550,1.075,0.969,155.317,1.260,0.783,322.435
113,3600,1.074,0.970,143.999,1.258,0.785,339.742
115,3650,1.077,0.967,146.239,1.260,0.782,344.550
116,3700,1.076,0.968,156.209,1.260,0.783,322.436
118,3750,1.075,0.968,144.628,1.261,0.781,318.646
119,3800,1.074,0.970,155.939,1.258,0.785,345.613
121,3850,1.072,0.972,145.699,1.258,0.784,358.764
122,3900,1.073,0.971,155.800,1.267,0.776,327.884
124,3950,1.073,0.971,147.419,1.256,0.787,348.057
125,4000,1.072,0.972,155.912,1.260,0.782,331.588
127,4050,1.072,0.972,141.565,1.253,0.790,309.909
129,4100,1.071,0.972,146.020,1.260,0.782,338.412
130,4150,1.070,0.973,155.267,1.257,0.785,304.829
132,4200,1.071,0.973,147.652,1.257,0.786,338.489
133,4250,1.071,0.972,154.126,1.262,0.781,331.256
135,4300,1.071,0.972,145.316,1.257,0.786,320.503
136,4350,1.071,0.973,153.922,1.256,0.787,325.506
138,4400,1.073,0.971,142.471,1.259,0.784,374.911
140,4450,1.076,0.967,144.169,1.261,0.782,314.310
141,4500,1.085,0.958,149.856,1.265,0.778,339.389
143,4550,1.081,0.962,146.159,1.276,0.767,333.374
144,4600,1.077,0.967,155.799,1.258,0.784,348.332
146,4650,1.071,0.972,145.625,1.264,0.779,318.545
147,4700,1.075,0.969,156.386,1.264,0.779,354.680
149,4750,1.068,0.976,141.256,1.256,0.787,294.512
150,4800,1.066,0.978,157.577,1.260,0.782,338.738
152,4850,1.065,0.979,146.203,1.258,0.784,327.398
154,4900,1.072,0.972,144.783,1.259,0.784,302.085
155,4950,1.068,0.975,154.850,1.259,0.783,314.615
157,5000,1.064,0.979,143.673,1.263,0.780,317.834
