epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.379,0.846,32.07,74.837,0.317,0.875,31.561,252.465
1,200,0.258,0.899,29.934,80.176,0.23,0.91,31.742,251.027
1,300,0.22,0.913,30.081,79.785,0.219,0.915,32.322,246.52
1,400,0.213,0.917,30.402,78.942,0.213,0.92,32.397,245.946
1,500,0.201,0.921,30.54,78.587,0.186,0.928,32.445,245.589
1,600,0.19,0.926,30.504,78.677,0.191,0.924,32.453,245.521
1,700,0.178,0.931,30.614,78.396,0.179,0.929,32.437,245.647
1,800,0.19,0.925,30.575,78.494,0.177,0.931,32.537,244.887
1,900,0.177,0.93,30.711,78.147,0.198,0.922,32.557,244.739
2,1000,0.18,0.93,30.739,78.077,0.178,0.93,32.523,244.993
2,1100,0.167,0.935,30.501,78.686,0.187,0.928,32.435,245.663
2,1200,0.171,0.932,30.63,78.356,0.167,0.934,32.469,245.401
2,1300,0.169,0.934,30.535,78.598,0.181,0.928,32.521,245.009
2,1400,0.16,0.938,30.708,78.155,0.163,0.937,32.489,245.249
2,1500,0.16,0.939,30.667,78.259,0.161,0.937,32.712,243.578
2,1600,0.157,0.939,30.639,78.33,0.164,0.934,32.572,244.626
2,1700,0.159,0.938,30.726,78.11,0.157,0.939,32.63,244.193
2,1800,0.157,0.938,30.777,77.981,0.151,0.941,32.743,243.353
2,1900,0.151,0.942,30.748,78.055,0.154,0.94,32.652,244.024
3,2000,0.157,0.939,31.013,77.388,0.149,0.942,32.764,243.193
3,2100,0.144,0.944,30.733,78.091,0.148,0.943,32.86,242.485
3,2200,0.151,0.94,30.789,77.951,0.148,0.943,32.704,243.643
3,2300,0.146,0.944,30.815,77.884,0.15,0.943,32.655,244.009
3,2400,0.144,0.945,30.773,77.99,0.144,0.944,32.708,243.607
3,2500,0.139,0.946,30.71,78.15,0.141,0.945,32.711,243.585
3,2600,0.139,0.947,30.798,77.927,0.14,0.946,32.79,243.005
3,2700,0.144,0.944,30.745,78.061,0.171,0.933,32.872,242.395
3,2800,0.142,0.945,30.729,78.102,0.144,0.944,32.631,244.183
3,2900,0.143,0.944,30.86,77.772,0.141,0.945,32.751,243.29
4,3000,0.137,0.948,30.903,77.662,0.14,0.946,32.67,243.897
4,3100,0.127,0.951,30.867,77.754,0.145,0.944,32.82,242.781
4,3200,0.132,0.949,30.942,77.564,0.136,0.947,32.699,243.68
4,3300,0.142,0.945,30.916,77.63,0.136,0.947,32.754,243.271
4,3400,0.129,0.95,30.85,77.796,0.133,0.948,32.826,242.734
