epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,50,0.452,0.818,15.824,75.835,0.548,0.753,45.648,261.83
1,100,0.369,0.837,14.168,84.698,0.324,0.844,46.116,259.171
1,150,0.283,0.884,14.456,83.008,0.301,0.876,46.892,254.881
1,200,0.267,0.888,14.433,83.145,0.251,0.901,47.01,254.245
1,250,0.257,0.897,14.597,82.209,0.258,0.9,47.22,253.112
1,300,0.236,0.909,14.535,82.56,0.226,0.911,47.056,253.994
1,350,0.223,0.911,14.661,81.852,0.217,0.914,47.233,253.043
1,400,0.218,0.915,14.565,82.387,0.241,0.904,47.309,252.635
1,450,0.221,0.912,14.583,82.286,0.207,0.919,47.475,251.752
1,500,0.209,0.917,14.715,81.55,0.222,0.915,47.335,252.496
1,550,0.198,0.924,14.621,82.076,0.209,0.915,47.433,251.978
1,600,0.22,0.914,14.682,81.735,0.216,0.919,47.368,252.324
1,650,0.198,0.924,14.768,81.255,0.191,0.927,47.489,251.681
1,700,0.204,0.919,14.675,81.772,0.193,0.924,47.342,252.462
1,750,0.202,0.921,14.805,81.051,0.192,0.928,47.503,251.607
1,800,0.184,0.929,14.691,81.683,0.181,0.93,47.626,250.953
1,850,0.194,0.924,14.715,81.552,0.183,0.93,47.564,251.281
1,900,0.194,0.924,14.68,81.743,0.179,0.93,47.701,250.56
1,950,0.187,0.928,14.755,81.329,0.215,0.918,47.529,251.469
1,1000,0.187,0.927,14.68,81.743,0.184,0.927,47.594,251.122
1,1050,0.185,0.93,14.684,81.72,0.195,0.927,47.575,251.222
1,1100,0.181,0.929,14.718,81.532,0.164,0.936,47.557,251.32
1,1150,0.174,0.933,14.777,81.207,0.172,0.933,47.712,250.5
2,1200,0.191,0.927,14.87,80.7,0.185,0.929,47.487,251.688
2,1250,0.179,0.932,14.782,81.182,0.176,0.933,47.5,251.621
2,1300,0.167,0.935,14.701,81.629,0.161,0.937,47.67,250.722
2,1350,0.171,0.934,14.693,81.673,0.16,0.938,47.597,251.108
2,1400,0.162,0.938,14.695,81.662,0.166,0.935,47.593,251.128
2,1450,0.17,0.934,14.761,81.296,0.163,0.937,47.639,250.889
2,1500,0.161,0.938,14.757,81.319,0.178,0.928,47.694,250.598
2,1550,0.163,0.939,14.792,81.127,0.165,0.935,47.835,249.857
2,1600,0.17,0.933,14.687,81.704,0.162,0.939,47.668,250.734
2,1650,0.16,0.939,14.807,81.042,0.156,0.94,47.673,250.706
2,1700,0.175,0.934,14.758,81.31,0.159,0.939,47.701,250.563
2,1750,0.159,0.939,14.792,81.127,0.152,0.942,47.647,250.847
2,1800,0.158,0.94,14.752,81.347,0.186,0.929,47.603,251.075
2,1850,0.156,0.941,14.867,80.718,0.151,0.942,47.691,250.615
2,1900,0.155,0.941,14.645,81.939,0.154,0.94,47.724,250.44
2,1950,0.155,0.941,14.775,81.218,0.158,0.939,47.693,250.603
2,2000,0.145,0.944,14.619,82.083,0.152,0.941,47.476,251.749
2,2050,0.157,0.94,14.647,81.929,0.148,0.942,47.334,252.503
2,2100,0.159,0.939,14.613,82.119,0.153,0.941,47.313,252.617
2,2150,0.154,0.94,14.515,82.675,0.157,0.941,47.252,252.941
2,2200,0.148,0.944,14.501,82.754,0.152,0.941,47.151,253.481
2,2250,0.155,0.942,14.541,82.524,0.144,0.944,47.212,253.154
2,2300,0.154,0.942,14.538,82.544,0.152,0.941,47.123,253.636
3,2350,0.16,0.94,14.715,81.551,0.147,0.943,47.206,253.186
3,2400,0.142,0.946,14.501,82.755,0.157,0.939,47.149,253.496
3,2450,0.141,0.946,14.571,82.354,0.144,0.945,47.12,253.653
3,2500,0.148,0.944,14.628,82.032,0.148,0.944,47.161,253.427
3,2550,0.157,0.941,14.584,82.283,0.14,0.945,47.204,253.197
3,2600,0.145,0.945,14.664,81.832,0.146,0.943,47.379,252.264
3,2650,0.14,0.946,14.545,82.505,0.147,0.943,47.316,252.601
3,2700,0.141,0.947,14.505,82.732,0.159,0.94,47.173,253.367
3,2750,0.147,0.945,14.669,81.805,0.151,0.944,47.305,252.658
3,2800,0.154,0.943,14.468,82.943,0.144,0.943,47.361,252.358
3,2850,0.146,0.946,14.648,81.921,0.139,0.945,47.323,252.562
3,2900,0.144,0.945,14.63,82.024,0.139,0.947,47.323,252.563
3,2950,0.137,0.949,14.662,81.844,0.144,0.945,47.372,252.298
3,3000,0.138,0.948,14.696,81.657,0.135,0.948,47.4,252.15
3,3050,0.128,0.952,14.708,81.587,0.138,0.947,47.474,251.757
3,3100,0.135,0.949,14.602,82.183,0.151,0.942,47.531,251.456
3,3150,0.147,0.944,14.654,81.887,0.145,0.944,47.57,251.248
3,3200,0.142,0.947,14.607,82.15,0.14,0.947,47.59,251.146
3,3250,0.136,0.949,14.751,81.349,0.136,0.947,47.636,250.901
3,3300,0.142,0.947,14.644,81.946,0.135,0.948,47.656,250.799
3,3350,0.144,0.945,14.697,81.652,0.135,0.948,47.563,251.29
3,3400,0.139,0.947,14.73,81.465,0.15,0.944,47.61,251.042
3,3450,0.142,0.946,14.623,82.062,0.135,0.948,47.612,251.03
4,3500,0.13,0.952,14.896,80.558,0.136,0.947,47.638,250.89
4,3550,0.137,0.948,14.627,82.039,0.161,0.938,47.645,250.855
4,3600,0.134,0.949,14.593,82.234,0.142,0.946,47.648,250.839
4,3650,0.133,0.95,14.75,81.357,0.135,0.949,47.448,251.896
4,3700,0.129,0.951,14.763,81.287,0.137,0.947,47.7,250.565
4,3750,0.135,0.95,14.669,81.808,0.13,0.949,47.772,250.189
4,3800,0.129,0.951,14.638,81.978,0.13,0.949,47.534,251.442
4,3850,0.134,0.949,14.769,81.25,0.138,0.947,47.514,251.546
4,3900,0.125,0.953,14.686,81.711,0.132,0.95,47.53,251.463
4,3950,0.143,0.946,14.547,82.493,0.134,0.949,47.526,251.481
4,4000,0.131,0.95,14.582,82.292,0.134,0.948,47.384,252.239
4,4050,0.118,0.956,14.711,81.569,0.142,0.947,47.504,251.599
4,4100,0.133,0.95,14.659,81.861,0.129,0.95,47.431,251.988
4,4150,0.132,0.95,14.646,81.936,0.136,0.947,47.37,252.313
4,4200,0.128,0.952,14.507,82.718,0.129,0.95,47.455,251.862
4,4250,0.136,0.95,14.632,82.013,0.154,0.945,47.424,252.026
4,4300,0.131,0.95,14.561,82.411,0.126,0.952,47.316,252.598
4,4350,0.128,0.952,14.554,82.449,0.128,0.951,47.373,252.296
4,4400,0.13,0.952,14.553,82.457,0.125,0.952,47.384,252.236
4,4450,0.136,0.949,14.622,82.067,0.126,0.952,47.382,252.246
4,4500,0.127,0.953,14.631,82.016,0.127,0.951,47.411,252.092
4,4550,0.125,0.954,14.717,81.538,0.131,0.95,47.361,252.36
4,4600,0.131,0.952,14.676,81.767,0.132,0.95,47.497,251.636
4,4650,0.128,0.952,14.57,82.358,0.13,0.95,47.466,251.802
5,4700,0.125,0.953,14.923,80.412,0.12,0.953,47.419,252.048
5,4750,0.117,0.957,14.626,82.045,0.123,0.953,47.456,251.853
5,4800,0.122,0.954,14.628,82.032,0.123,0.953,47.634,250.914
5,4850,0.112,0.959,14.638,81.98,0.123,0.953,47.516,251.536
5,4900,0.122,0.954,14.631,82.019,0.127,0.952,47.644,250.862
5,4950,0.13,0.952,14.621,82.072,0.132,0.95,47.549,251.363
5,5000,0.115,0.957,14.751,81.35,0.118,0.955,47.538,251.422
