epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.430,0.808,124.532,0.621,0.663,634.375
1,100,0.313,0.891,175.371,0.355,0.882,644.279
1,150,0.284,0.903,174.649,0.307,0.903,641.487
1,200,0.279,0.901,176.568,0.307,0.898,645.873
1,250,0.255,0.913,175.727,0.279,0.910,647.402
1,300,0.239,0.918,175.822,0.287,0.902,649.255
1,350,0.234,0.919,175.541,0.279,0.905,647.291
1,400,0.222,0.922,174.989,0.268,0.908,651.706
1,450,0.219,0.920,174.660,0.248,0.920,644.000
1,500,0.209,0.927,175.067,0.261,0.911,647.507
1,550,0.211,0.923,174.499,0.243,0.917,648.208
1,600,0.197,0.931,174.451,0.236,0.915,641.002
1,650,0.201,0.927,175.220,0.215,0.928,649.327
1,700,0.192,0.931,174.621,0.220,0.924,644.916
1,750,0.181,0.935,175.096,0.203,0.930,645.596
1,800,0.191,0.930,175.664,0.214,0.924,642.168
1,850,0.177,0.936,174.339,0.217,0.923,647.149
1,900,0.174,0.938,174.645,0.198,0.929,649.939
1,950,0.182,0.934,175.090,0.193,0.930,647.623
1,1000,0.169,0.940,174.171,0.200,0.927,649.157
1,1050,0.180,0.932,175.204,0.198,0.928,644.489
2,1100,0.174,0.936,152.780,0.197,0.928,648.197
2,1150,0.158,0.942,174.503,0.195,0.927,646.297
2,1200,0.166,0.938,175.495,0.205,0.922,648.305
2,1250,0.163,0.940,174.950,0.190,0.928,643.494
2,1300,0.152,0.944,176.177,0.180,0.933,646.499
2,1350,0.165,0.938,175.012,0.190,0.930,640.846
2,1400,0.157,0.942,175.520,0.180,0.932,644.334
2,1450,0.147,0.945,175.155,0.178,0.934,644.915
2,1500,0.145,0.945,174.568,0.176,0.934,643.676
2,1550,0.152,0.943,175.124,0.168,0.938,647.865
2,1600,0.145,0.946,175.205,0.166,0.938,645.384
2,1650,0.146,0.945,174.885,0.174,0.933,647.499
2,1700,0.154,0.940,175.113,0.178,0.932,648.972
2,1750,0.150,0.943,174.206,0.181,0.932,642.189
2,1800,0.149,0.944,176.167,0.168,0.935,644.786
2,1850,0.146,0.944,174.888,0.164,0.938,646.362
2,1900,0.142,0.946,174.218,0.165,0.937,640.987
2,1950,0.141,0.947,175.117,0.162,0.937,650.559
2,2000,0.146,0.944,175.115,0.162,0.938,644.213
2,2050,0.134,0.950,175.419,0.189,0.927,647.976
2,2100,0.133,0.951,174.053,0.157,0.940,649.610
2,2150,0.146,0.945,176.110,0.174,0.933,644.368
3,2200,0.139,0.949,162.238,0.163,0.937,645.504
3,2250,0.141,0.947,175.180,0.165,0.937,644.147
3,2300,0.121,0.955,175.769,0.158,0.940,649.326
3,2350,0.129,0.951,175.649,0.160,0.939,647.473
3,2400,0.137,0.948,175.040,0.188,0.927,641.970
3,2450,0.128,0.952,175.124,0.150,0.942,649.405
3,2500,0.129,0.952,173.694,0.157,0.940,645.812
3,2550,0.139,0.948,174.865,0.173,0.933,641.377
3,2600,0.125,0.954,174.978,0.169,0.933,642.344
3,2650,0.133,0.948,175.035,0.169,0.934,645.672
3,2700,0.136,0.948,175.053,0.161,0.937,648.798
3,2750,0.129,0.952,174.381,0.158,0.940,646.837
3,2800,0.123,0.954,174.771,0.152,0.941,641.267
3,2850,0.130,0.951,174.800,0.157,0.939,644.881
3,2900,0.132,0.951,175.132,0.149,0.942,647.181
3,2950,0.130,0.950,175.254,0.152,0.941,638.964
3,3000,0.128,0.951,175.031,0.148,0.943,642.913
3,3050,0.129,0.951,173.445,0.160,0.938,642.773
3,3100,0.129,0.952,175.389,0.155,0.940,642.414
3,3150,0.123,0.954,175.411,0.152,0.941,647.844
3,3200,0.129,0.951,174.528,0.158,0.939,645.471
3,3250,0.120,0.955,174.518,0.151,0.941,644.314
4,3300,0.121,0.955,162.412,0.164,0.936,648.545
4,3350,0.120,0.955,175.833,0.168,0.935,649.414
4,3400,0.131,0.951,174.888,0.153,0.941,643.870
4,3450,0.126,0.952,175.583,0.161,0.937,643.323
4,3500,0.122,0.954,175.415,0.147,0.943,639.263
4,3550,0.116,0.956,175.645,0.144,0.945,644.370
4,3600,0.117,0.956,174.317,0.148,0.943,650.613
4,3650,0.117,0.956,174.302,0.166,0.936,642.837
4,3700,0.118,0.956,175.926,0.147,0.943,648.017
4,3750,0.123,0.954,174.327,0.166,0.934,643.975
4,3800,0.122,0.954,174.433,0.150,0.942,644.891
4,3850,0.121,0.955,175.249,0.147,0.942,647.826
4,3900,0.117,0.956,174.910,0.166,0.935,644.791
4,3950,0.116,0.957,174.567,0.147,0.942,643.963
4,4000,0.114,0.957,175.031,0.142,0.945,646.137
4,4050,0.121,0.954,175.350,0.153,0.940,644.805
4,4100,0.118,0.954,175.402,0.144,0.944,641.853
4,4150,0.114,0.957,175.291,0.147,0.942,645.015
4,4200,0.114,0.957,174.196,0.151,0.942,650.468
4,4250,0.112,0.958,174.773,0.142,0.945,643.046
4,4300,0.114,0.956,174.483,0.160,0.939,646.658
4,4350,0.120,0.956,174.579,0.147,0.943,640.476
5,4400,0.113,0.959,162.808,0.148,0.944,645.535
5,4450,0.111,0.958,174.527,0.152,0.942,647.918
5,4500,0.110,0.960,175.948,0.145,0.945,650.816
5,4550,0.110,0.959,175.164,0.143,0.946,645.054
5,4600,0.115,0.956,174.540,0.142,0.945,647.203
5,4650,0.114,0.956,175.055,0.144,0.944,647.267
5,4700,0.107,0.960,175.893,0.146,0.943,644.784
5,4750,0.104,0.962,175.903,0.141,0.946,650.167
5,4800,0.105,0.961,174.926,0.139,0.947,647.130
5,4850,0.106,0.961,175.133,0.144,0.945,647.772
5,4900,0.109,0.958,174.345,0.142,0.945,645.401
5,4950,0.110,0.958,175.221,0.141,0.945,642.008
5,5000,0.107,0.960,175.485,0.142,0.945,645.332
