epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.637,0.497,123.791,1.721,0.504,554.770
1,100,1.574,0.569,180.964,1.625,0.593,598.494
1,150,1.551,0.579,181.205,1.597,0.611,544.745
1,200,1.519,0.617,181.160,1.570,0.660,577.375
1,250,1.500,0.635,181.016,1.536,0.678,589.209
1,300,1.494,0.630,181.279,1.516,0.685,585.061
1,350,1.478,0.641,181.089,1.506,0.697,551.582
1,400,1.459,0.659,180.341,1.481,0.707,543.884
1,450,1.460,0.649,180.787,1.488,0.685,549.336
1,500,1.439,0.671,181.371,1.470,0.705,570.488
1,550,1.427,0.680,181.307,1.451,0.713,578.119
2,600,1.430,0.670,159.846,1.452,0.709,505.171
2,650,1.414,0.684,180.886,1.440,0.709,521.129
2,700,1.404,0.689,180.944,1.427,0.714,572.376
2,750,1.404,0.685,181.273,1.419,0.710,587.782
2,800,1.380,0.708,180.824,1.394,0.738,543.069
2,850,1.388,0.695,180.668,1.394,0.721,575.186
2,900,1.382,0.697,181.294,1.367,0.748,572.036
2,950,1.369,0.707,180.792,1.368,0.743,561.674
2,1000,1.371,0.704,181.227,1.385,0.714,590.801
2,1050,1.357,0.718,180.499,1.358,0.741,560.776
2,1100,1.358,0.713,180.733,1.366,0.735,553.359
3,1150,1.351,0.717,167.712,1.351,0.742,566.131
3,1200,1.345,0.722,181.200,1.341,0.749,532.814
3,1250,1.340,0.725,180.290,1.353,0.733,561.233
3,1300,1.338,0.726,181.129,1.324,0.761,582.042
3,1350,1.339,0.726,181.189,1.327,0.753,580.901
3,1400,1.333,0.728,181.272,1.330,0.748,578.135
3,1450,1.337,0.723,180.373,1.315,0.760,522.968
3,1500,1.327,0.731,180.897,1.315,0.760,521.355
3,1550,1.328,0.731,180.668,1.311,0.763,562.659
3,1600,1.315,0.741,180.935,1.302,0.768,535.182
3,1650,1.312,0.744,181.147,1.300,0.769,562.385
4,1700,1.324,0.731,170.259,1.291,0.777,605.184
4,1750,1.308,0.747,181.368,1.309,0.757,562.247
4,1800,1.309,0.747,180.934,1.291,0.775,585.161
4,1850,1.306,0.749,180.254,1.303,0.761,532.736
4,1900,1.312,0.742,180.931,1.286,0.778,571.946
4,1950,1.303,0.752,180.862,1.310,0.752,591.273
4,2000,1.316,0.739,181.395,1.295,0.767,564.150
4,2050,1.298,0.757,181.089,1.280,0.782,510.732
4,2100,1.297,0.757,180.948,1.291,0.768,556.948
4,2150,1.295,0.758,180.156,1.278,0.782,566.049
4,2200,1.285,0.768,181.091,1.275,0.785,609.596
5,2250,1.306,0.746,168.491,1.268,0.790,547.614
5,2300,1.287,0.766,180.981,1.276,0.780,547.535
5,2350,1.286,0.766,180.772,1.286,0.769,581.702
5,2400,1.284,0.768,180.848,1.278,0.778,565.228
5,2450,1.296,0.754,181.304,1.268,0.787,561.236
5,2500,1.293,0.758,180.675,1.283,0.771,602.185
5,2550,1.275,0.776,181.135,1.266,0.788,562.349
5,2600,1.297,0.754,181.296,1.265,0.789,576.077
5,2650,1.284,0.766,181.240,1.256,0.797,585.142
5,2700,1.281,0.770,181.114,1.276,0.777,579.451
5,2750,1.294,0.756,180.938,1.262,0.789,591.378
6,2800,1.283,0.767,169.299,1.249,0.802,573.219
6,2850,1.282,0.769,181.397,1.257,0.794,578.125
6,2900,1.272,0.778,181.103,1.278,0.772,539.715
6,2950,1.275,0.773,181.410,1.250,0.801,586.993
6,3000,1.268,0.781,181.386,1.253,0.797,583.113
6,3050,1.271,0.778,181.270,1.255,0.795,585.226
6,3100,1.272,0.777,180.746,1.257,0.792,590.740
6,3150,1.270,0.779,181.285,1.263,0.786,546.118
6,3200,1.269,0.780,180.763,1.252,0.798,560.871
6,3250,1.269,0.780,181.182,1.242,0.807,558.095
6,3300,1.270,0.778,180.387,1.253,0.796,581.786
7,3350,1.277,0.771,168.762,1.250,0.798,561.452
7,3400,1.263,0.784,181.188,1.264,0.784,592.800
7,3450,1.275,0.772,181.102,1.255,0.793,550.404
7,3500,1.267,0.780,180.513,1.247,0.801,525.670
7,3550,1.264,0.784,179.989,1.250,0.798,550.947
7,3600,1.258,0.790,180.930,1.251,0.796,597.183
7,3650,1.268,0.780,180.254,1.243,0.805,566.208
7,3700,1.266,0.781,180.914,1.242,0.805,588.924
7,3750,1.253,0.795,180.791,1.240,0.807,584.006
7,3800,1.258,0.790,181.000,1.251,0.796,603.765
7,3850,1.257,0.791,180.265,1.238,0.809,554.902
8,3900,1.269,0.778,168.975,1.253,0.793,531.854
8,3950,1.264,0.784,180.283,1.237,0.809,571.280
8,4000,1.247,0.801,181.342,1.236,0.810,555.378
8,4050,1.249,0.798,181.060,1.242,0.804,563.443
8,4100,1.254,0.793,180.801,1.242,0.804,569.430
8,4150,1.261,0.787,181.080,1.237,0.809,603.616
8,4200,1.253,0.795,181.012,1.234,0.812,593.214
8,4250,1.248,0.800,180.816,1.249,0.796,550.673
8,4300,1.251,0.796,180.377,1.230,0.815,556.339
8,4350,1.251,0.796,181.130,1.238,0.808,538.094
8,4400,1.253,0.794,180.675,1.249,0.796,566.251
9,4450,1.256,0.791,168.592,1.248,0.797,522.210
