epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.635,0.473,122.106,1.731,0.448,517.134
1,100,1.548,0.608,181.203,1.600,0.637,559.941
1,150,1.533,0.609,180.017,1.563,0.660,582.954
1,200,1.508,0.630,181.383,1.556,0.682,577.685
1,250,1.485,0.649,180.729,1.521,0.681,597.594
1,300,1.484,0.638,181.362,1.507,0.691,540.361
1,350,1.471,0.646,180.853,1.500,0.708,577.136
1,400,1.451,0.665,181.016,1.476,0.718,567.401
1,450,1.450,0.661,181.111,1.472,0.716,547.301
1,500,1.431,0.678,181.614,1.470,0.704,586.463
1,550,1.424,0.681,181.379,1.444,0.724,584.897
2,600,1.429,0.669,156.308,1.452,0.690,594.505
2,650,1.410,0.686,180.963,1.425,0.718,585.336
2,700,1.406,0.687,181.178,1.400,0.744,585.630
2,750,1.400,0.690,181.527,1.389,0.754,572.216
2,800,1.387,0.700,181.105,1.386,0.745,563.712
2,850,1.392,0.690,181.201,1.374,0.757,578.408
2,900,1.372,0.710,181.573,1.359,0.765,570.515
2,950,1.368,0.711,181.471,1.359,0.757,567.006
2,1000,1.374,0.701,181.657,1.350,0.754,554.007
2,1050,1.355,0.720,181.264,1.343,0.762,596.575
2,1100,1.356,0.716,181.593,1.357,0.748,518.234
3,1150,1.357,0.711,164.411,1.348,0.746,542.618
3,1200,1.352,0.715,181.215,1.320,0.770,576.153
3,1250,1.348,0.717,180.775,1.323,0.766,551.244
3,1300,1.338,0.726,181.014,1.319,0.767,549.476
3,1350,1.341,0.723,181.124,1.320,0.760,579.674
3,1400,1.337,0.725,181.059,1.332,0.746,586.533
3,1450,1.335,0.726,181.445,1.306,0.772,599.202
3,1500,1.325,0.734,181.339,1.310,0.767,535.169
3,1550,1.337,0.721,180.533,1.303,0.772,517.830
3,1600,1.309,0.750,181.272,1.299,0.772,560.205
3,1650,1.321,0.734,181.503,1.308,0.761,571.387
4,1700,1.328,0.726,169.352,1.283,0.786,591.617
4,1750,1.311,0.745,181.520,1.305,0.762,581.413
4,1800,1.315,0.740,180.877,1.281,0.786,579.094
4,1850,1.314,0.739,181.007,1.296,0.766,586.315
4,1900,1.315,0.738,181.173,1.278,0.787,526.269
4,1950,1.307,0.744,180.662,1.298,0.765,547.521
4,2000,1.314,0.735,180.866,1.306,0.753,552.799
4,2050,1.300,0.754,181.528,1.278,0.785,569.942
4,2100,1.306,0.747,181.387,1.270,0.790,588.102
4,2150,1.298,0.754,181.609,1.276,0.782,582.061
4,2200,1.290,0.761,181.441,1.275,0.787,585.910
