epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,1.551,0.612,106.519,1.732,0.481,266.393
4,100,1.449,0.767,152.030,1.565,0.737,284.478
5,150,1.407,0.798,161.205,1.536,0.743,288.691
7,200,1.388,0.803,151.489,1.513,0.751,317.296
8,250,1.368,0.810,158.870,1.499,0.746,298.507
10,300,1.349,0.820,150.173,1.473,0.770,346.666
11,350,1.328,0.834,161.530,1.466,0.761,313.748
13,400,1.311,0.843,150.917,1.446,0.765,306.330
15,450,1.298,0.849,148.306,1.431,0.773,321.983
16,500,1.281,0.860,162.172,1.411,0.783,304.895
18,550,1.269,0.866,148.465,1.406,0.773,316.588
19,600,1.249,0.882,158.982,1.385,0.785,316.336
21,650,1.243,0.880,149.638,1.372,0.788,322.288
22,700,1.233,0.884,164.256,1.379,0.763,308.189
24,750,1.223,0.889,150.937,1.364,0.776,317.097
25,800,1.208,0.901,164.870,1.358,0.772,302.749
27,850,1.195,0.909,145.996,1.338,0.787,314.487
29,900,1.183,0.917,149.688,1.339,0.780,324.548
30,950,1.180,0.916,163.908,1.334,0.777,291.711
32,1000,1.175,0.918,148.969,1.325,0.782,333.871
33,1050,1.167,0.923,162.553,1.318,0.785,278.767
35,1100,1.157,0.930,152.677,1.316,0.781,306.252
36,1150,1.154,0.929,159.126,1.309,0.784,281.844
38,1200,1.148,0.933,150.780,1.307,0.783,310.514
40,1250,1.143,0.934,152.900,1.317,0.769,323.523
41,1300,1.140,0.936,161.997,1.299,0.784,301.633
43,1350,1.134,0.940,147.575,1.305,0.774,291.383
44,1400,1.128,0.945,161.423,1.293,0.785,277.295
46,1450,1.129,0.942,146.953,1.296,0.779,276.617
47,1500,1.123,0.947,159.445,1.287,0.787,250.997
49,1550,1.122,0.945,148.718,1.288,0.783,317.276
50,1600,1.117,0.948,162.078,1.281,0.789,287.127
52,1650,1.111,0.952,149.816,1.280,0.788,303.260
54,1700,1.105,0.956,149.971,1.277,0.789,309.880
55,1750,1.104,0.956,161.516,1.281,0.784,284.946
57,1800,1.103,0.955,150.358,1.282,0.782,268.686
58,1850,1.100,0.958,160.491,1.275,0.787,322.648
60,1900,1.103,0.955,146.829,1.280,0.782,325.533
61,1950,1.098,0.958,159.141,1.278,0.783,307.659
63,2000,1.095,0.959,152.080,1.282,0.777,320.240
65,2050,1.092,0.961,147.799,1.279,0.780,272.796
