epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,1.439,0.729,106.815,1.620,0.734,547.530
1,100,0.661,0.835,144.848,0.565,0.838,555.568
1,150,0.441,0.857,145.459,0.425,0.863,559.343
1,200,0.357,0.875,145.822,0.358,0.875,561.320
1,250,0.297,0.893,145.560,0.326,0.887,555.937
1,300,0.290,0.891,146.493,0.305,0.887,556.552
1,350,0.267,0.902,145.706,0.285,0.896,553.410
1,400,0.237,0.910,148.155,0.274,0.901,561.760
1,450,0.225,0.915,146.137,0.258,0.905,558.632
1,500,0.230,0.912,146.650,0.248,0.905,552.784
1,550,0.222,0.915,146.354,0.238,0.907,559.787
1,600,0.212,0.918,146.383,0.224,0.914,555.865
1,650,0.205,0.921,146.303,0.237,0.910,560.588
1,700,0.205,0.920,146.038,0.214,0.916,556.581
1,750,0.192,0.925,146.393,0.220,0.916,558.032
1,800,0.207,0.920,146.735,0.216,0.916,557.492
1,850,0.191,0.925,146.191,0.208,0.918,558.607
1,900,0.181,0.930,146.181,0.216,0.918,554.316
1,950,0.187,0.928,146.185,0.201,0.920,553.750
1,1000,0.183,0.928,146.275,0.200,0.921,556.541
1,1050,0.180,0.930,145.820,0.199,0.923,557.592
2,1100,0.168,0.935,129.019,0.191,0.925,556.166
2,1150,0.167,0.935,145.966,0.192,0.927,556.325
2,1200,0.167,0.935,146.985,0.204,0.921,553.518
2,1250,0.166,0.935,147.144,0.205,0.919,555.927
2,1300,0.166,0.936,146.193,0.197,0.922,557.446
2,1350,0.170,0.935,146.802,0.202,0.920,553.160
2,1400,0.157,0.938,145.672,0.189,0.927,557.941
2,1450,0.161,0.938,146.928,0.184,0.928,552.231
2,1500,0.159,0.938,146.094,0.189,0.925,555.831
2,1550,0.160,0.937,146.478,0.185,0.928,559.079
2,1600,0.159,0.939,146.507,0.176,0.932,555.748
2,1650,0.158,0.939,146.520,0.180,0.930,560.085
2,1700,0.149,0.942,146.123,0.190,0.925,554.841
2,1750,0.149,0.943,146.624,0.197,0.924,559.230
2,1800,0.155,0.940,146.405,0.189,0.927,555.224
2,1850,0.146,0.943,145.977,0.178,0.930,552.952
2,1900,0.147,0.941,146.165,0.175,0.931,554.626
2,1950,0.150,0.941,147.215,0.181,0.929,559.836
2,2000,0.146,0.942,146.650,0.180,0.929,557.640
2,2050,0.153,0.940,146.297,0.180,0.930,553.573
2,2100,0.156,0.939,146.823,0.247,0.906,561.014
2,2150,0.152,0.941,147.130,0.172,0.932,560.497
3,2200,0.143,0.944,137.254,0.177,0.932,556.737
3,2250,0.147,0.945,144.394,0.180,0.928,554.485
3,2300,0.139,0.946,145.836,0.176,0.931,550.458
3,2350,0.131,0.949,146.135,0.171,0.933,561.973
3,2400,0.143,0.943,146.414,0.170,0.934,556.767
3,2450,0.135,0.948,146.268,0.170,0.934,556.373
3,2500,0.137,0.946,146.212,0.172,0.934,561.079
3,2550,0.137,0.946,146.157,0.170,0.932,560.407
3,2600,0.126,0.950,146.392,0.162,0.938,560.605
3,2650,0.128,0.950,146.745,0.164,0.937,556.408
3,2700,0.137,0.946,147.178,0.164,0.936,564.062
3,2750,0.130,0.950,147.071,0.164,0.936,560.590
3,2800,0.132,0.948,145.683,0.161,0.936,552.092
3,2850,0.127,0.951,146.136,0.171,0.933,553.956
3,2900,0.129,0.951,145.369,0.171,0.933,561.111
3,2950,0.135,0.948,145.902,0.178,0.931,556.827
3,3000,0.133,0.948,146.720,0.167,0.934,559.096
3,3050,0.130,0.950,146.510,0.159,0.937,551.493
3,3100,0.130,0.949,147.071,0.165,0.936,557.105
3,3150,0.132,0.949,146.786,0.160,0.938,555.405
3,3200,0.128,0.950,146.754,0.169,0.934,558.472
3,3250,0.133,0.949,146.919,0.166,0.936,553.396
4,3300,0.124,0.952,138.564,0.162,0.938,559.088
4,3350,0.127,0.950,146.814,0.158,0.939,560.655
4,3400,0.127,0.951,146.185,0.159,0.937,556.473
4,3450,0.129,0.951,147.117,0.165,0.935,559.449
4,3500,0.121,0.953,146.237,0.155,0.940,560.075
4,3550,0.116,0.955,146.225,0.167,0.937,559.512
4,3600,0.123,0.953,146.163,0.155,0.940,551.926
4,3650,0.121,0.952,146.693,0.158,0.939,557.338
4,3700,0.132,0.950,146.964,0.161,0.937,559.985
4,3750,0.121,0.953,146.356,0.152,0.941,556.642
4,3800,0.123,0.952,146.224,0.156,0.940,560.895
4,3850,0.119,0.953,146.599,0.151,0.941,552.450
4,3900,0.117,0.954,146.852,0.154,0.941,557.411
4,3950,0.122,0.953,146.471,0.234,0.914,557.389
4,4000,0.115,0.955,146.892,0.158,0.940,554.729
4,4050,0.115,0.955,146.041,0.155,0.940,561.238
4,4100,0.114,0.955,147.456,0.171,0.935,553.251
4,4150,0.119,0.954,146.511,0.185,0.929,561.248
4,4200,0.120,0.953,146.501,0.156,0.939,558.256
4,4250,0.116,0.955,146.546,0.165,0.935,554.130
4,4300,0.119,0.954,146.115,0.158,0.940,554.245
4,4350,0.116,0.954,146.351,0.156,0.939,557.454
5,4400,0.107,0.959,138.151,0.154,0.940,556.518
5,4450,0.109,0.957,146.896,0.172,0.935,556.314
5,4500,0.109,0.959,146.360,0.152,0.943,557.978
5,4550,0.112,0.956,146.588,0.152,0.941,559.515
5,4600,0.111,0.957,146.760,0.149,0.943,556.095
5,4650,0.109,0.958,146.404,0.155,0.941,557.256
5,4700,0.107,0.958,146.784,0.154,0.940,558.284
5,4750,0.109,0.958,146.267,0.147,0.943,555.142
5,4800,0.106,0.958,146.609,0.151,0.942,558.076
5,4850,0.111,0.957,146.115,0.157,0.940,558.077
5,4900,0.113,0.955,146.334,0.150,0.941,557.731
5,4950,0.115,0.956,146.192,0.174,0.934,558.430
5,5000,0.108,0.958,146.585,0.156,0.942,557.175
