epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,1.670,0.360,94.656,1.607,0.442,238.979
4,100,1.404,0.668,129.792,1.379,0.684,290.655
5,150,1.309,0.754,137.796,1.322,0.735,276.562
7,200,1.271,0.785,130.591,1.311,0.742,329.317
8,250,1.259,0.794,139.683,1.306,0.744,277.902
10,300,1.239,0.811,129.749,1.272,0.777,269.055
11,350,1.219,0.830,138.497,1.277,0.771,275.042
13,400,1.207,0.841,130.133,1.271,0.777,281.605
15,450,1.198,0.850,129.665,1.277,0.769,281.414
16,500,1.191,0.856,135.611,1.267,0.780,272.167
18,550,1.179,0.868,130.103,1.269,0.776,296.580
19,600,1.167,0.880,137.184,1.269,0.776,276.849
21,650,1.155,0.892,128.319,1.265,0.780,301.002
22,700,1.154,0.892,140.480,1.265,0.780,289.462
24,750,1.143,0.903,129.520,1.267,0.778,290.879
25,800,1.135,0.911,140.375,1.267,0.777,254.937
27,850,1.129,0.917,130.053,1.269,0.775,285.556
29,900,1.129,0.917,130.470,1.272,0.772,289.553
30,950,1.123,0.923,138.087,1.264,0.780,270.753
32,1000,1.118,0.928,130.586,1.266,0.777,296.971
33,1050,1.113,0.932,140.036,1.275,0.768,283.393
35,1100,1.112,0.933,127.345,1.277,0.767,297.452
36,1150,1.112,0.933,139.485,1.263,0.780,314.029
38,1200,1.110,0.935,128.754,1.264,0.780,308.022
40,1250,1.104,0.941,128.439,1.268,0.775,296.336
41,1300,1.100,0.944,141.231,1.265,0.779,284.012
43,1350,1.100,0.945,128.860,1.262,0.782,283.688
44,1400,1.098,0.946,137.684,1.266,0.777,308.602
46,1450,1.097,0.948,129.980,1.265,0.779,278.200
47,1500,1.095,0.949,139.903,1.275,0.768,278.772
49,1550,1.095,0.949,130.413,1.275,0.768,301.473
50,1600,1.095,0.950,138.796,1.267,0.776,276.570
52,1650,1.098,0.946,129.096,1.276,0.767,296.057
54,1700,1.094,0.951,131.882,1.267,0.776,302.646
55,1750,1.090,0.955,137.473,1.265,0.778,284.865
57,1800,1.087,0.957,128.225,1.267,0.776,299.954
58,1850,1.086,0.959,138.709,1.262,0.781,268.947
60,1900,1.085,0.959,130.517,1.262,0.781,276.224
61,1950,1.084,0.960,138.621,1.260,0.782,275.142
63,2000,1.083,0.961,129.121,1.264,0.779,286.776
65,2050,1.081,0.964,129.157,1.266,0.777,285.200
66,2100,1.080,0.964,137.816,1.262,0.780,289.252
68,2150,1.080,0.965,129.601,1.264,0.779,286.380
69,2200,1.079,0.965,139.186,1.262,0.780,260.512
71,2250,1.079,0.965,127.073,1.260,0.783,288.099
72,2300,1.078,0.967,140.728,1.260,0.783,281.143
74,2350,1.076,0.968,130.765,1.257,0.786,285.331
75,2400,1.076,0.968,140.953,1.262,0.781,269.801
77,2450,1.074,0.970,130.844,1.256,0.787,287.545
79,2500,1.074,0.970,130.842,1.263,0.780,295.452
80,2550,1.074,0.970,139.491,1.259,0.784,255.816
82,2600,1.073,0.971,131.714,1.264,0.778,279.858
83,2650,1.073,0.971,141.077,1.266,0.777,295.481
85,2700,1.074,0.970,131.565,1.258,0.784,311.340
86,2750,1.075,0.969,139.162,1.264,0.779,255.862
88,2800,1.073,0.971,130.382,1.278,0.765,296.190
90,2850,1.071,0.973,130.927,1.257,0.786,329.611
91,2900,1.069,0.975,140.187,1.260,0.783,309.374
93,2950,1.069,0.975,130.923,1.261,0.782,293.176
94,3000,1.068,0.976,139.665,1.260,0.783,268.376
96,3050,1.069,0.975,131.535,1.260,0.782,265.575
97,3100,1.069,0.975,138.929,1.265,0.777,290.470
99,3150,1.069,0.975,129.355,1.270,0.773,262.777
100,3200,1.075,0.969,140.741,1.264,0.779,269.679
102,3250,1.068,0.976,126.627,1.261,0.781,304.915
104,3300,1.066,0.978,129.164,1.264,0.779,304.644
105,3350,1.065,0.979,139.904,1.264,0.779,306.566
107,3400,1.066,0.978,127.176,1.254,0.788,293.489
108,3450,1.065,0.979,138.958,1.264,0.779,254.582
110,3500,1.065,0.979,131.391,1.262,0.780,296.023
111,3550,1.065,0.979,140.420,1.259,0.784,278.433
113,3600,1.065,0.979,129.315,1.268,0.774,268.947
115,3650,1.064,0.980,130.405,1.259,0.783,273.519
116,3700,1.063,0.980,139.768,1.261,0.781,306.304
118,3750,1.071,0.973,129.169,1.280,0.763,302.513
119,3800,1.069,0.975,138.997,1.261,0.781,260.443
121,3850,1.064,0.980,131.545,1.262,0.781,294.555
122,3900,1.063,0.981,137.296,1.259,0.783,277.907
124,3950,1.062,0.982,129.650,1.261,0.782,293.609
125,4000,1.063,0.980,139.083,1.273,0.769,278.883
127,4050,1.065,0.979,132.481,1.263,0.779,292.853
129,4100,1.064,0.980,129.855,1.261,0.782,320.136
130,4150,1.062,0.982,140.598,1.263,0.780,288.563
132,4200,1.062,0.981,134.508,1.262,0.781,310.476
133,4250,1.062,0.982,139.426,1.261,0.782,290.473
135,4300,1.062,0.982,127.599,1.259,0.783,274.168
136,4350,1.061,0.983,136.530,1.261,0.781,262.700
138,4400,1.061,0.983,130.514,1.259,0.784,311.800
140,4450,1.060,0.984,130.935,1.267,0.775,309.583
141,4500,1.060,0.983,140.048,1.257,0.786,301.088
143,4550,1.060,0.984,131.607,1.258,0.784,280.713
144,4600,1.059,0.985,138.601,1.258,0.785,284.533
146,4650,1.061,0.983,127.118,1.260,0.782,294.089
147,4700,1.060,0.983,140.763,1.261,0.782,260.942
149,4750,1.060,0.983,132.548,1.260,0.783,256.064
150,4800,1.060,0.984,139.748,1.262,0.780,277.836
152,4850,1.060,0.983,129.535,1.257,0.786,291.876
154,4900,1.067,0.977,131.911,1.265,0.778,336.306
155,4950,1.064,0.980,139.957,1.261,0.782,309.745
157,5000,1.061,0.983,134.186,1.259,0.783,280.447
