epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.753,0.795,41.309,58.099,0.478,0.84,41.317,192.85
1,200,0.369,0.858,38.64,62.112,0.355,0.852,41.999,189.718
1,300,0.298,0.885,39.41,60.898,0.28,0.894,42.278,188.465
1,400,0.277,0.892,39.526,60.719,0.264,0.894,42.451,187.697
1,500,0.245,0.904,39.626,60.566,0.231,0.91,42.455,187.681
1,600,0.229,0.911,39.678,60.487,0.223,0.912,42.559,187.221
1,700,0.222,0.912,39.606,60.597,0.216,0.913,42.666,186.752
1,800,0.206,0.92,39.569,60.653,0.205,0.92,42.67,186.734
1,900,0.214,0.915,39.848,60.229,0.241,0.905,42.59,187.088
2,1000,0.192,0.925,39.913,60.131,0.185,0.929,42.715,186.541
2,1100,0.19,0.925,39.814,60.28,0.184,0.929,42.655,186.801
2,1200,0.187,0.927,39.65,60.529,0.21,0.914,42.742,186.422
2,1300,0.196,0.923,39.608,60.593,0.176,0.93,42.695,186.627
2,1400,0.181,0.929,39.673,60.495,0.172,0.932,42.63,186.909
2,1500,0.172,0.933,39.818,60.274,0.164,0.935,42.688,186.659
2,1600,0.171,0.933,39.689,60.47,0.172,0.932,42.607,187.013
2,1700,0.174,0.933,39.721,60.421,0.188,0.926,42.688,186.655
2,1800,0.154,0.939,39.719,60.425,0.172,0.934,42.718,186.526
2,1900,0.159,0.939,39.715,60.431,0.157,0.938,42.656,186.797
3,2000,0.152,0.94,39.993,60.01,0.165,0.936,42.712,186.551
3,2100,0.164,0.935,39.712,60.436,0.17,0.934,42.672,186.728
3,2200,0.154,0.94,39.659,60.516,0.157,0.939,42.611,186.995
3,2300,0.16,0.938,39.64,60.545,0.151,0.941,42.541,187.301
3,2400,0.149,0.942,39.604,60.6,0.165,0.937,42.609,187.005
3,2500,0.149,0.942,39.699,60.455,0.155,0.939,42.652,186.816
3,2600,0.149,0.942,39.793,60.312,0.151,0.94,42.572,187.163
3,2700,0.15,0.942,39.659,60.516,0.178,0.934,42.593,187.071
3,2800,0.151,0.94,39.65,60.529,0.162,0.937,42.648,186.832
3,2900,0.149,0.942,39.627,60.565,0.149,0.941,42.619,186.958
4,3000,0.151,0.941,39.883,60.177,0.157,0.938,42.64,186.865
4,3100,0.138,0.946,39.853,60.222,0.139,0.945,43.224,184.342
4,3200,0.14,0.946,40.029,59.957,0.162,0.935,42.882,185.812
4,3300,0.146,0.943,40.023,59.966,0.153,0.94,43.07,185.002
4,3400,0.143,0.945,39.579,60.638,0.138,0.946,42.677,186.705
4,3500,0.136,0.947,39.705,60.446,0.138,0.946,42.653,186.811
4,3600,0.135,0.947,39.694,60.462,0.137,0.947,42.638,186.877
4,3700,0.135,0.947,39.6,60.606,0.135,0.947,43.199,184.449
4,3800,0.131,0.948,39.776,60.339,0.141,0.946,42.522,187.385
4,3900,0.134,0.947,39.845,60.234,0.142,0.944,42.805,186.145
5,4000,0.13,0.949,39.928,60.108,0.147,0.942,42.831,186.032
5,4100,0.132,0.949,39.856,60.218,0.157,0.938,42.705,186.584
5,4200,0.135,0.948,39.888,60.168,0.132,0.949,42.692,186.638
5,4300,0.127,0.951,39.836,60.246,0.126,0.951,42.846,185.97
5,4400,0.12,0.954,39.67,60.499,0.137,0.947,42.91,185.69
5,4500,0.13,0.949,39.781,60.33,0.135,0.948,42.961,185.469
5,4600,0.124,0.952,39.826,60.263,0.128,0.95,42.98,185.389
5,4700,0.119,0.953,39.875,60.188,0.133,0.948,42.824,186.064
5,4800,0.125,0.951,39.823,60.267,0.133,0.949,42.979,185.394
5,4900,0.128,0.951,39.869,60.197,0.13,0.95,43.084,184.94
