epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.550,0.769,96.578,0.582,0.743,490.952
1,100,0.405,0.875,136.749,0.393,0.850,497.550
1,150,0.355,0.898,137.395,0.363,0.865,497.656
1,200,0.332,0.903,137.289,0.335,0.889,497.119
1,250,0.312,0.910,137.163,0.330,0.893,497.748
1,300,0.293,0.916,137.377,0.299,0.907,496.977
1,350,0.273,0.924,136.473,0.304,0.897,497.343
1,400,0.266,0.922,137.559,0.310,0.891,497.680
1,450,0.262,0.920,137.608,0.309,0.900,498.433
1,500,0.248,0.924,137.326,0.312,0.883,497.827
1,550,0.240,0.925,137.628,0.285,0.896,499.891
1,600,0.228,0.929,137.618,0.298,0.890,498.307
1,650,0.229,0.925,137.360,0.237,0.920,500.139
1,700,0.221,0.928,137.560,0.233,0.924,500.955
1,750,0.216,0.928,137.181,0.225,0.922,496.650
1,800,0.211,0.930,137.425,0.303,0.885,499.847
1,850,0.201,0.932,137.362,0.241,0.910,499.242
1,900,0.205,0.929,137.409,0.292,0.886,502.009
1,950,0.200,0.933,136.630,0.216,0.923,495.502
1,1000,0.194,0.934,137.161,0.247,0.910,497.459
1,1050,0.183,0.938,137.519,0.209,0.926,496.979
2,1100,0.188,0.934,120.037,0.323,0.875,499.042
2,1150,0.175,0.939,137.410,0.246,0.904,495.942
2,1200,0.173,0.941,138.144,0.212,0.922,498.449
2,1250,0.178,0.937,137.466,0.319,0.877,497.702
2,1300,0.179,0.937,137.396,0.339,0.866,498.609
2,1350,0.170,0.941,137.413,0.204,0.924,500.530
2,1400,0.172,0.939,137.728,0.221,0.920,500.401
2,1450,0.163,0.942,137.640,0.202,0.924,497.781
2,1500,0.167,0.939,137.744,0.379,0.864,497.463
2,1550,0.154,0.946,136.921,0.173,0.938,502.539
2,1600,0.170,0.937,137.350,0.186,0.931,498.436
2,1650,0.152,0.946,137.251,0.185,0.930,500.216
2,1700,0.153,0.945,137.350,0.259,0.901,499.217
2,1750,0.161,0.942,137.101,0.186,0.930,495.791
2,1800,0.154,0.943,136.970,0.216,0.918,499.743
2,1850,0.150,0.946,137.364,0.197,0.924,501.661
2,1900,0.153,0.944,137.529,0.202,0.923,496.796
