epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.746,0.362,98.396,1.730,0.389,490.217
1,100,1.677,0.552,140.715,1.630,0.594,522.121
1,150,1.643,0.598,140.528,1.611,0.614,506.902
1,200,1.629,0.594,140.683,1.622,0.559,512.112
1,250,1.603,0.620,140.859,1.571,0.625,526.370
1,300,1.584,0.635,141.268,1.569,0.648,507.145
1,350,1.567,0.644,140.711,1.572,0.617,526.118
1,400,1.552,0.650,140.737,1.528,0.654,521.896
1,450,1.544,0.643,140.755,1.529,0.623,524.069
1,500,1.527,0.648,140.937,1.475,0.687,504.401
1,550,1.504,0.671,140.456,1.466,0.709,513.794
2,600,1.490,0.673,120.632,1.492,0.640,527.958
2,650,1.474,0.679,140.277,1.474,0.659,523.424
2,700,1.468,0.676,140.892,1.441,0.701,526.429
2,750,1.453,0.686,140.447,1.432,0.696,522.924
2,800,1.443,0.691,140.304,1.438,0.686,529.350
2,850,1.434,0.693,140.369,1.441,0.683,514.497
2,900,1.435,0.683,140.641,1.436,0.674,516.094
2,950,1.420,0.695,140.832,1.402,0.704,526.946
2,1000,1.416,0.691,140.587,1.399,0.711,515.645
2,1050,1.401,0.705,140.262,1.387,0.713,523.565
2,1100,1.401,0.700,140.643,1.370,0.732,527.760
3,1150,1.397,0.699,132.924,1.386,0.709,526.508
3,1200,1.378,0.717,141.001,1.380,0.712,508.805
3,1250,1.386,0.704,140.660,1.373,0.714,500.492
3,1300,1.355,0.735,140.895,1.362,0.721,523.563
3,1350,1.374,0.713,140.928,1.336,0.745,527.828
3,1400,1.353,0.731,140.878,1.329,0.750,521.268
3,1450,1.360,0.720,140.892,1.358,0.716,519.549
3,1500,1.359,0.719,141.004,1.318,0.763,527.465
3,1550,1.338,0.741,140.854,1.362,0.715,518.075
3,1600,1.352,0.725,140.564,1.411,0.661,518.013
3,1650,1.336,0.739,140.844,1.349,0.723,520.223
4,1700,1.336,0.737,132.983,1.317,0.759,521.226
4,1750,1.332,0.740,140.962,1.329,0.746,515.799
4,1800,1.326,0.744,140.826,1.303,0.769,524.193
4,1850,1.328,0.741,140.847,1.287,0.783,524.970
4,1900,1.320,0.748,140.955,1.361,0.704,521.809
