epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.741,0.377,97.335,1.748,0.366,483.665
1,100,1.664,0.578,140.663,1.612,0.634,516.563
1,150,1.632,0.621,140.478,1.602,0.611,521.317
1,200,1.620,0.610,140.764,1.553,0.681,525.942
1,250,1.602,0.621,140.935,1.568,0.665,525.393
1,300,1.582,0.639,140.483,1.658,0.477,524.561
1,350,1.565,0.652,140.849,1.490,0.709,523.126
1,400,1.549,0.659,140.960,1.569,0.587,500.068
1,450,1.543,0.645,141.033,1.526,0.635,503.449
1,500,1.532,0.646,140.747,1.528,0.610,526.979
1,550,1.512,0.661,140.939,1.488,0.700,528.033
2,600,1.496,0.669,121.157,1.425,0.735,522.599
2,650,1.485,0.668,141.226,1.447,0.704,525.513
2,700,1.487,0.655,140.821,1.439,0.693,517.898
2,750,1.467,0.674,141.137,1.416,0.721,518.504
2,800,1.452,0.684,140.919,1.406,0.728,520.144
2,850,1.438,0.691,141.169,1.475,0.626,520.321
2,900,1.442,0.678,141.194,1.441,0.670,507.154
2,950,1.428,0.690,140.661,1.422,0.686,507.496
2,1000,1.421,0.689,140.634,1.394,0.719,524.314
2,1050,1.413,0.694,141.019,1.470,0.622,527.232
2,1100,1.409,0.694,141.170,1.460,0.629,514.727
3,1150,1.400,0.700,134.560,1.403,0.689,525.498
3,1200,1.387,0.711,141.074,1.391,0.708,525.861
3,1250,1.392,0.703,140.904,1.358,0.741,521.478
3,1300,1.365,0.730,140.753,1.350,0.744,506.920
3,1350,1.391,0.699,140.898,1.329,0.769,507.344
3,1400,1.355,0.737,140.949,1.374,0.712,519.988
3,1450,1.373,0.712,140.633,1.552,0.506,517.375
3,1500,1.366,0.716,140.801,1.345,0.736,525.687
3,1550,1.348,0.733,140.944,1.340,0.736,526.803
3,1600,1.355,0.723,140.856,1.384,0.689,521.473
3,1650,1.342,0.734,140.562,1.303,0.774,515.846
4,1700,1.340,0.734,133.940,1.331,0.740,507.468
4,1750,1.348,0.723,140.987,1.325,0.746,523.901
4,1800,1.332,0.739,140.544,1.288,0.784,522.078
4,1850,1.334,0.735,140.658,1.312,0.756,524.848
4,1900,1.328,0.740,141.067,1.412,0.647,522.009
4,1950,1.330,0.737,140.773,1.316,0.749,524.435
4,2000,1.317,0.748,140.677,1.333,0.730,510.424
4,2050,1.328,0.734,140.728,1.381,0.680,521.126
4,2100,1.326,0.737,140.870,1.277,0.787,527.379
4,2150,1.317,0.744,140.628,1.400,0.661,524.007
4,2200,1.312,0.748,140.705,1.290,0.770,506.930
5,2250,1.316,0.743,135.534,1.318,0.741,502.923
5,2300,1.306,0.754,140.998,1.392,0.663,524.084
5,2350,1.304,0.754,140.460,1.278,0.780,519.814
5,2400,1.305,0.752,140.696,1.417,0.637,520.697
5,2450,1.312,0.743,141.115,1.374,0.680,525.071
5,2500,1.293,0.763,140.885,1.267,0.789,521.851
5,2550,1.308,0.747,140.778,1.310,0.744,498.092
5,2600,1.299,0.756,140.985,1.262,0.792,510.757
5,2650,1.288,0.767,140.707,1.291,0.763,526.540
5,2700,1.297,0.758,140.700,1.267,0.787,524.009
5,2750,1.301,0.754,140.788,1.258,0.797,519.936
6,2800,1.299,0.754,134.301,1.288,0.765,524.757
6,2850,1.297,0.757,140.996,1.276,0.778,521.981
6,2900,1.290,0.763,141.118,1.292,0.759,498.676
6,2950,1.288,0.765,141.092,1.379,0.669,513.930
6,3000,1.284,0.768,140.886,1.263,0.788,523.906
6,3050,1.291,0.761,140.983,1.286,0.764,521.620
6,3100,1.292,0.760,140.710,1.250,0.800,518.313
6,3150,1.287,0.764,141.191,1.363,0.686,522.087
6,3200,1.281,0.770,141.071,1.365,0.683,519.433
6,3250,1.279,0.772,141.055,1.350,0.698,521.989
6,3300,1.281,0.769,140.976,1.266,0.783,523.825
7,3350,1.286,0.764,135.285,1.279,0.770,524.417
7,3400,1.269,0.781,140.773,1.249,0.800,525.405
7,3450,1.266,0.784,140.471,1.248,0.800,514.337
7,3500,1.277,0.772,140.668,1.264,0.784,516.133
7,3550,1.273,0.776,140.577,1.332,0.716,520.545
7,3600,1.267,0.781,140.993,1.294,0.753,522.131
7,3650,1.286,0.763,140.385,1.239,0.810,496.847
7,3700,1.272,0.776,140.852,1.262,0.785,519.577
7,3750,1.269,0.779,140.603,1.267,0.780,531.384
7,3800,1.266,0.782,140.571,1.237,0.810,528.382
7,3850,1.265,0.783,140.604,1.264,0.783,513.441
8,3900,1.266,0.781,132.702,1.263,0.783,502.684
8,3950,1.263,0.784,139.970,1.259,0.787,527.449
8,4000,1.261,0.787,140.400,1.263,0.784,525.243
8,4050,1.272,0.775,140.653,1.250,0.797,522.149
8,4100,1.251,0.796,140.514,1.239,0.807,519.054
8,4150,1.262,0.785,141.030,1.273,0.772,531.079
8,4200,1.255,0.791,140.246,1.248,0.798,503.876
8,4250,1.265,0.782,140.377,1.253,0.793,512.898
8,4300,1.246,0.801,140.930,1.240,0.806,521.873
8,4350,1.254,0.793,140.358,1.265,0.781,526.453
8,4400,1.257,0.788,140.720,1.270,0.775,518.434
9,4450,1.270,0.776,134.578,1.242,0.803,522.631
9,4500,1.253,0.793,140.408,1.230,0.816,527.643
9,4550,1.249,0.797,140.634,1.260,0.785,513.641
9,4600,1.254,0.792,140.390,1.239,0.806,525.041
9,4650,1.249,0.796,140.359,1.258,0.786,520.714
9,4700,1.259,0.786,140.522,1.236,0.808,526.275
9,4750,1.244,0.802,140.422,1.294,0.750,510.620
9,4800,1.240,0.806,140.325,1.239,0.806,523.291
9,4850,1.250,0.795,140.587,1.251,0.793,526.769
9,4900,1.251,0.794,140.944,1.255,0.789,515.511
9,4950,1.250,0.795,140.536,1.306,0.738,520.326
10,5000,1.260,0.785,134.336,1.264,0.780,525.442
