epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,1.723,0.445,84.673,1.706,0.454,204.292
4,100,1.626,0.680,126.886,1.623,0.672,304.225
5,150,1.581,0.784,133.202,1.599,0.678,313.850
7,200,1.554,0.801,125.664,1.570,0.711,295.437
8,250,1.528,0.815,132.360,1.560,0.745,334.092
10,300,1.503,0.826,126.032,1.532,0.746,299.754
11,350,1.478,0.838,133.044,1.508,0.774,306.574
13,400,1.464,0.828,125.647,1.488,0.773,302.041
15,450,1.440,0.843,126.621,1.481,0.762,307.258
16,500,1.415,0.858,133.106,1.450,0.787,278.550
18,550,1.395,0.861,127.388,1.450,0.768,286.292
19,600,1.375,0.867,131.280,1.434,0.768,293.863
21,650,1.359,0.867,126.493,1.407,0.792,309.063
22,700,1.340,0.874,131.258,1.393,0.790,316.734
24,750,1.321,0.884,124.263,1.434,0.715,305.505
25,800,1.306,0.887,132.717,1.389,0.769,306.557
27,850,1.289,0.892,124.448,1.380,0.762,274.091
29,900,1.269,0.903,125.352,1.379,0.755,298.895
30,950,1.252,0.913,133.012,1.355,0.779,309.252
32,1000,1.240,0.917,122.878,1.341,0.784,310.411
33,1050,1.231,0.917,131.998,1.333,0.785,315.067
35,1100,1.216,0.926,125.960,1.317,0.799,288.749
36,1150,1.207,0.931,131.914,1.319,0.792,314.583
38,1200,1.197,0.934,125.011,1.316,0.788,305.304
40,1250,1.182,0.944,127.547,1.306,0.795,316.193
41,1300,1.172,0.949,133.406,1.300,0.796,298.291
43,1350,1.165,0.951,124.181,1.303,0.788,323.926
44,1400,1.156,0.956,132.434,1.297,0.792,316.715
46,1450,1.149,0.957,125.603,1.291,0.795,319.740
47,1500,1.143,0.959,131.751,1.291,0.791,306.691
49,1550,1.139,0.960,124.665,1.279,0.801,319.320
50,1600,1.132,0.963,134.454,1.280,0.798,293.407
52,1650,1.136,0.955,126.195,1.287,0.786,276.935
54,1700,1.143,0.944,125.433,1.311,0.759,321.914
55,1750,1.130,0.955,132.815,1.275,0.797,325.813
57,1800,1.120,0.963,124.545,1.273,0.795,296.437
58,1850,1.113,0.968,133.408,1.268,0.799,307.446
60,1900,1.109,0.970,126.211,1.278,0.787,304.564
61,1950,1.108,0.969,132.842,1.270,0.794,321.061
63,2000,1.105,0.971,128.394,1.268,0.795,312.791
65,2050,1.102,0.972,127.724,1.272,0.790,328.846
66,2100,1.101,0.972,133.712,1.272,0.788,298.049
68,2150,1.096,0.974,125.167,1.262,0.798,318.317
69,2200,1.095,0.975,131.206,1.265,0.794,316.719
71,2250,1.092,0.976,126.092,1.265,0.793,320.759
72,2300,1.090,0.976,130.693,1.264,0.793,279.144
74,2350,1.088,0.978,126.425,1.262,0.795,313.591
75,2400,1.089,0.975,134.768,1.265,0.791,319.081
77,2450,1.096,0.967,125.156,1.261,0.793,315.973
79,2500,1.093,0.969,126.095,1.277,0.777,310.388
80,2550,1.092,0.969,133.131,1.262,0.792,316.746
82,2600,1.089,0.972,124.403,1.262,0.791,291.879
83,2650,1.084,0.976,131.326,1.255,0.798,328.195
85,2700,1.079,0.980,126.151,1.258,0.795,312.115
86,2750,1.081,0.977,132.417,1.277,0.774,304.601
88,2800,1.081,0.977,126.303,1.255,0.796,307.767
90,2850,1.077,0.980,126.518,1.255,0.796,313.741
91,2900,1.076,0.981,129.230,1.255,0.796,283.508
93,2950,1.075,0.981,124.059,1.251,0.799,309.171
94,3000,1.072,0.983,131.759,1.255,0.795,276.815
96,3050,1.071,0.984,126.186,1.252,0.798,312.524
97,3100,1.074,0.981,131.261,1.259,0.790,283.254
99,3150,1.077,0.977,126.048,1.271,0.778,304.840
100,3200,1.076,0.978,134.478,1.253,0.796,306.245
102,3250,1.076,0.977,124.234,1.266,0.782,283.178
104,3300,1.073,0.980,127.680,1.250,0.798,287.375
105,3350,1.070,0.983,132.637,1.250,0.798,316.159
107,3400,1.068,0.984,127.337,1.252,0.796,258.747
108,3450,1.067,0.985,132.664,1.252,0.795,297.064
110,3500,1.068,0.984,125.610,1.251,0.796,293.680
111,3550,1.068,0.984,131.484,1.250,0.798,322.648
113,3600,1.066,0.985,127.588,1.251,0.797,302.314
115,3650,1.065,0.986,126.452,1.252,0.795,321.398
116,3700,1.065,0.985,133.454,1.251,0.796,321.600
118,3750,1.066,0.985,127.566,1.250,0.796,321.528
119,3800,1.065,0.985,133.981,1.249,0.797,331.581
121,3850,1.064,0.986,127.329,1.253,0.794,275.802
122,3900,1.064,0.985,132.575,1.249,0.797,323.483
124,3950,1.063,0.986,125.687,1.248,0.798,301.464
125,4000,1.063,0.986,134.159,1.249,0.797,315.790
127,4050,1.063,0.986,124.494,1.254,0.791,328.057
129,4100,1.062,0.987,124.487,1.248,0.798,318.888
