epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,50,0.497,0.789,23.191,51.743,0.453,0.823,67.733,176.457
1,100,0.365,0.848,21.382,56.121,0.34,0.85,69.218,172.671
1,150,0.294,0.878,22.11,54.274,0.275,0.889,69.786,171.266
1,200,0.271,0.89,22.298,53.817,0.258,0.899,70.237,170.167
1,250,0.254,0.899,22.192,54.074,0.239,0.906,70.516,169.493
1,300,0.256,0.896,22.28,53.861,0.275,0.895,70.507,169.515
1,350,0.261,0.894,22.301,53.809,0.228,0.912,70.604,169.282
1,400,0.233,0.908,22.246,53.943,0.214,0.918,70.545,169.424
1,450,0.23,0.908,22.358,53.673,0.251,0.904,70.516,169.494
1,500,0.234,0.907,22.329,53.743,0.237,0.906,70.688,169.082
1,550,0.231,0.909,22.374,53.633,0.213,0.916,70.77,168.885
1,600,0.219,0.914,22.3,53.812,0.205,0.921,70.726,168.991
1,650,0.213,0.916,22.464,53.419,0.209,0.918,70.499,169.535
1,700,0.214,0.916,22.452,53.446,0.213,0.919,70.413,169.743
1,750,0.202,0.921,22.456,53.439,0.208,0.918,70.64,169.196
1,800,0.198,0.922,22.542,53.234,0.192,0.925,70.714,169.02
1,850,0.202,0.922,22.375,53.63,0.192,0.925,70.648,169.176
1,900,0.199,0.922,22.51,53.309,0.191,0.928,70.635,169.209
1,950,0.192,0.924,22.5,53.334,0.229,0.91,70.662,169.142
1,1000,0.21,0.918,22.518,53.29,0.189,0.925,70.817,168.773
1,1050,0.198,0.922,22.458,53.433,0.194,0.925,70.632,169.214
1,1100,0.172,0.932,22.234,53.972,0.185,0.929,70.596,169.3
1,1150,0.186,0.928,22.351,53.688,0.181,0.931,70.628,169.224
2,1200,0.183,0.93,22.586,53.13,0.174,0.932,70.65,169.173
2,1250,0.17,0.934,22.336,53.726,0.168,0.935,70.654,169.163
2,1300,0.171,0.933,22.386,53.606,0.168,0.935,70.717,169.011
2,1350,0.171,0.933,22.381,53.616,0.177,0.932,70.525,169.473
2,1400,0.173,0.934,22.465,53.418,0.169,0.934,70.727,168.989
2,1450,0.176,0.931,22.196,54.064,0.172,0.934,70.672,169.12
2,1500,0.175,0.933,22.609,53.076,0.163,0.938,70.531,169.457
2,1550,0.17,0.935,22.476,53.39,0.171,0.935,70.566,169.373
2,1600,0.173,0.933,22.457,53.436,0.158,0.939,70.826,168.752
2,1650,0.173,0.933,22.321,53.76,0.166,0.936,70.484,169.57
2,1700,0.17,0.933,22.362,53.663,0.171,0.933,70.732,168.976
2,1750,0.166,0.936,22.37,53.644,0.161,0.938,70.729,168.984
2,1800,0.161,0.938,22.476,53.39,0.158,0.939,70.708,169.034
2,1850,0.165,0.935,22.394,53.586,0.164,0.935,70.839,168.72
2,1900,0.173,0.931,22.364,53.658,0.159,0.939,70.713,169.022
2,1950,0.163,0.937,22.363,53.659,0.155,0.94,70.677,169.108
2,2000,0.161,0.937,22.405,53.559,0.157,0.939,70.867,168.653
2,2050,0.169,0.934,22.285,53.848,0.163,0.937,70.686,169.085
2,2100,0.162,0.938,22.539,53.241,0.154,0.941,70.395,169.785
2,2150,0.162,0.936,22.503,53.326,0.158,0.939,70.282,170.057
2,2200,0.161,0.94,22.563,53.185,0.159,0.938,70.437,169.682
2,2250,0.153,0.941,22.393,53.589,0.158,0.938,70.186,170.291
2,2300,0.143,0.945,22.39,53.595,0.165,0.938,70.321,169.963
3,2350,0.149,0.942,22.432,53.495,0.155,0.94,70.396,169.783
3,2400,0.143,0.945,22.363,53.661,0.15,0.943,70.129,170.43
3,2450,0.15,0.942,22.412,53.543,0.147,0.943,70.241,170.157
3,2500,0.148,0.943,22.196,54.064,0.149,0.944,70.405,169.759
