epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.670,0.620,137.264,0.665,0.603,692.074
1,100,0.583,0.622,200.380,0.552,0.603,710.461
1,150,0.486,0.719,200.205,0.527,0.749,701.008
1,200,0.394,0.830,200.218,0.388,0.833,698.545
1,250,0.358,0.846,199.971,0.393,0.833,697.484
1,300,0.355,0.846,199.732,0.353,0.851,694.716
1,350,0.345,0.852,200.809,0.335,0.859,701.387
1,400,0.322,0.863,198.878,0.354,0.850,696.219
1,450,0.302,0.873,199.303,0.331,0.864,698.455
1,500,0.287,0.882,198.652,0.310,0.866,694.425
1,550,0.283,0.882,199.343,0.308,0.867,700.391
1,600,0.276,0.885,198.916,0.291,0.878,693.446
1,650,0.267,0.892,200.127,0.304,0.878,692.955
1,700,0.261,0.892,198.773,0.280,0.887,698.261
1,750,0.250,0.901,198.663,0.279,0.886,696.766
1,800,0.254,0.897,200.990,0.276,0.887,702.233
1,850,0.260,0.895,200.275,0.259,0.893,695.932
1,900,0.256,0.894,199.886,0.305,0.874,698.135
1,950,0.249,0.900,199.385,0.282,0.885,696.291
1,1000,0.237,0.904,200.243,0.278,0.884,693.527
1,1050,0.239,0.905,200.207,0.251,0.898,696.598
2,1100,0.225,0.910,172.489,0.243,0.902,699.426
2,1150,0.216,0.914,199.907,0.244,0.901,694.451
2,1200,0.232,0.906,199.672,0.243,0.903,696.022
2,1250,0.222,0.910,199.268,0.237,0.904,693.358
2,1300,0.223,0.908,199.268,0.257,0.895,694.676
2,1350,0.213,0.915,199.026,0.254,0.898,699.950
2,1400,0.214,0.915,199.720,0.241,0.901,698.221
2,1450,0.209,0.916,198.900,0.232,0.905,697.142
2,1500,0.210,0.918,200.148,0.236,0.905,697.800
2,1550,0.217,0.912,199.876,0.248,0.898,697.020
2,1600,0.198,0.921,199.227,0.231,0.908,697.938
2,1650,0.197,0.921,200.030,0.224,0.910,695.960
2,1700,0.207,0.918,200.600,0.259,0.892,691.728
2,1750,0.202,0.921,200.098,0.220,0.911,691.565
2,1800,0.194,0.924,199.862,0.216,0.914,690.616
2,1850,0.195,0.923,199.519,0.240,0.905,692.742
2,1900,0.199,0.920,200.425,0.230,0.907,695.204
2,1950,0.203,0.919,198.825,0.222,0.909,692.362
2,2000,0.204,0.919,199.959,0.213,0.914,697.001
2,2050,0.200,0.920,199.063,0.260,0.894,694.129
2,2100,0.200,0.920,200.957,0.209,0.917,694.320
2,2150,0.191,0.924,200.280,0.223,0.912,694.648
3,2200,0.198,0.922,182.983,0.214,0.914,696.848
3,2250,0.183,0.927,199.045,0.211,0.915,693.523
3,2300,0.180,0.928,200.441,0.211,0.917,695.990
3,2350,0.180,0.929,200.436,0.214,0.914,693.606
3,2400,0.191,0.923,199.453,0.202,0.919,693.655
3,2450,0.175,0.930,199.332,0.238,0.908,695.837
3,2500,0.187,0.925,198.939,0.202,0.920,691.240
3,2550,0.174,0.932,200.140,0.200,0.921,696.563
3,2600,0.191,0.923,199.614,0.208,0.917,690.898
3,2650,0.182,0.928,200.239,0.204,0.918,700.789
3,2700,0.175,0.929,199.259,0.232,0.906,691.666
3,2750,0.180,0.929,199.343,0.203,0.919,688.980
3,2800,0.177,0.929,199.042,0.225,0.909,687.317
3,2850,0.178,0.931,200.051,0.214,0.913,697.033
3,2900,0.177,0.930,199.599,0.194,0.923,693.116
3,2950,0.167,0.935,201.295,0.194,0.924,695.858
3,3000,0.173,0.932,199.463,0.215,0.917,688.360
3,3050,0.173,0.930,199.648,0.218,0.913,690.854
3,3100,0.176,0.931,200.066,0.201,0.918,690.804
3,3150,0.163,0.937,199.888,0.197,0.923,687.786
3,3200,0.171,0.933,200.248,0.192,0.924,697.659
3,3250,0.187,0.926,200.303,0.205,0.918,697.226
4,3300,0.163,0.935,182.839,0.193,0.923,696.599
4,3350,0.161,0.937,199.459,0.186,0.926,697.575
4,3400,0.154,0.940,199.687,0.199,0.921,692.773
4,3450,0.157,0.939,199.839,0.199,0.923,691.646
4,3500,0.162,0.937,200.289,0.190,0.925,693.266
4,3550,0.166,0.933,199.580,0.219,0.907,696.066
4,3600,0.162,0.936,199.857,0.186,0.927,693.348
4,3650,0.162,0.936,199.525,0.188,0.926,692.652
4,3700,0.164,0.936,199.345,0.185,0.927,692.133
4,3750,0.166,0.935,199.276,0.202,0.921,696.851
4,3800,0.159,0.937,199.681,0.194,0.923,693.647
4,3850,0.154,0.938,199.726,0.212,0.915,698.492
4,3900,0.163,0.936,199.658,0.187,0.926,692.341
4,3950,0.169,0.935,200.116,0.183,0.927,695.793
4,4000,0.167,0.934,200.344,0.204,0.917,693.309
