epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.666,0.638,61.888,0.654,0.636,74.964
1,100,0.595,0.632,93.070,0.519,0.636,289.903
1,150,0.503,0.626,90.407,0.463,0.644,286.826
1,200,0.425,0.783,93.115,0.382,0.835,286.951
1,250,0.377,0.831,88.057,0.365,0.834,286.207
1,300,0.375,0.831,91.858,0.351,0.838,284.798
1,350,0.355,0.844,92.753,0.353,0.842,284.398
1,400,0.346,0.850,91.330,0.327,0.859,282.870
1,450,0.332,0.857,92.619,0.324,0.865,283.606
1,500,0.318,0.864,94.856,0.307,0.866,283.146
1,550,0.311,0.865,86.221,0.293,0.874,282.909
1,600,0.302,0.870,89.810,0.293,0.877,282.079
1,650,0.293,0.878,90.988,0.289,0.880,284.276
1,700,0.292,0.874,92.849,0.302,0.870,282.477
1,750,0.283,0.881,92.674,0.275,0.886,283.494
1,800,0.280,0.882,92.753,0.273,0.886,282.704
1,850,0.271,0.886,87.307,0.266,0.889,282.369
1,900,0.278,0.882,92.927,0.265,0.891,282.625
1,950,0.264,0.888,92.232,0.282,0.884,281.961
1,1000,0.272,0.884,91.668,0.265,0.890,282.435
1,1050,0.271,0.887,93.184,0.257,0.894,282.171
1,1100,0.252,0.894,91.788,0.250,0.897,283.193
1,1150,0.251,0.896,87.228,0.246,0.899,282.914
2,1200,0.252,0.896,76.593,0.244,0.899,282.345
2,1250,0.247,0.896,94.376,0.252,0.893,282.743
2,1300,0.244,0.899,93.301,0.273,0.890,282.900
2,1350,0.256,0.895,94.343,0.236,0.903,281.953
2,1400,0.238,0.902,93.961,0.235,0.904,282.321
2,1450,0.229,0.908,94.153,0.228,0.909,283.266
2,1500,0.229,0.907,94.069,0.240,0.901,282.009
2,1550,0.237,0.901,93.456,0.222,0.911,282.495
2,1600,0.225,0.910,92.717,0.244,0.897,282.019
2,1650,0.220,0.910,93.205,0.214,0.915,282.244
2,1700,0.225,0.910,94.158,0.217,0.913,282.157
2,1750,0.221,0.912,93.425,0.222,0.911,282.181
2,1800,0.213,0.916,91.622,0.207,0.916,282.632
2,1850,0.214,0.913,93.222,0.218,0.913,282.605
2,1900,0.220,0.912,89.408,0.243,0.898,283.622
2,1950,0.207,0.916,91.336,0.203,0.919,281.961
2,2000,0.227,0.909,93.819,0.206,0.918,281.846
2,2050,0.208,0.915,91.820,0.200,0.919,282.515
2,2100,0.205,0.917,85.313,0.197,0.922,282.529
2,2150,0.205,0.917,89.006,0.200,0.920,282.679
2,2200,0.207,0.918,91.753,0.221,0.912,282.066
2,2250,0.203,0.920,90.445,0.204,0.919,281.944
2,2300,0.209,0.917,89.260,0.194,0.923,282.397
3,2350,0.212,0.915,89.954,0.207,0.919,282.603
3,2400,0.199,0.921,94.298,0.193,0.925,282.864
3,2450,0.193,0.923,94.434,0.207,0.917,282.636
3,2500,0.203,0.919,93.118,0.202,0.920,282.120
3,2550,0.201,0.920,94.780,0.194,0.923,282.303
3,2600,0.192,0.923,93.268,0.186,0.926,282.785
3,2650,0.195,0.922,94.216,0.192,0.923,282.559
3,2700,0.192,0.923,93.623,0.189,0.924,282.556
3,2750,0.184,0.928,93.650,0.179,0.929,282.218
