epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.792,0.294,135.689,1.787,0.362,576.133
1,100,1.763,0.287,206.933,1.680,0.362,552.261
1,150,1.707,0.302,206.829,1.655,0.361,606.951
1,200,1.667,0.300,207.090,1.619,0.399,573.896
1,250,1.634,0.373,206.995,1.691,0.385,611.652
1,300,1.626,0.412,207.020,1.592,0.464,599.907
1,350,1.604,0.456,206.133,1.578,0.472,563.405
1,400,1.569,0.482,205.972,1.565,0.476,546.569
1,450,1.563,0.479,206.416,1.566,0.474,571.362
1,500,1.567,0.473,206.891,1.563,0.472,625.298
1,550,1.552,0.489,207.000,1.568,0.468,583.477
2,600,1.558,0.478,183.478,1.561,0.477,585.712
2,650,1.556,0.487,206.525,1.561,0.475,554.187
2,700,1.553,0.487,205.060,1.561,0.475,564.038
2,750,1.549,0.487,205.955,1.561,0.474,578.417
2,800,1.568,0.478,206.353,1.566,0.473,585.790
2,850,1.573,0.467,206.526,1.560,0.478,574.674
2,900,1.554,0.486,206.419,1.564,0.472,580.575
2,950,1.556,0.487,207.037,1.557,0.483,601.890
2,1000,1.561,0.475,206.131,1.561,0.475,602.591
2,1050,1.565,0.471,206.669,1.556,0.481,570.235
2,1100,1.560,0.477,206.936,1.558,0.477,531.205
3,1150,1.560,0.477,189.009,1.558,0.478,553.201
3,1200,1.547,0.494,206.545,1.559,0.478,577.053
3,1250,1.558,0.479,207.040,1.557,0.479,582.820
3,1300,1.560,0.476,206.565,1.556,0.480,582.728
3,1350,1.560,0.479,206.383,1.560,0.476,599.684
3,1400,1.548,0.488,207.007,1.557,0.478,590.392
3,1450,1.558,0.477,206.640,1.559,0.476,603.575
3,1500,1.556,0.480,207.019,1.564,0.470,578.926
3,1550,1.559,0.474,206.182,1.554,0.481,530.573
3,1600,1.551,0.484,206.619,1.558,0.476,539.299
3,1650,1.553,0.483,206.905,1.554,0.482,573.957
4,1700,1.539,0.502,191.112,1.558,0.478,544.516
4,1750,1.557,0.477,205.823,1.557,0.477,611.804
4,1800,1.568,0.467,205.735,1.553,0.483,603.105
4,1850,1.567,0.465,206.490,1.552,0.483,604.414
4,1900,1.553,0.477,206.657,1.552,0.483,587.231
4,1950,1.546,0.491,206.750,1.560,0.475,521.467
4,2000,1.557,0.479,205.337,1.558,0.475,588.453
4,2050,1.543,0.492,206.418,1.554,0.478,582.767
4,2100,1.557,0.477,207.022,1.556,0.479,600.895
4,2150,1.532,0.499,206.318,1.554,0.480,614.244
4,2200,1.549,0.490,206.439,1.552,0.482,533.577
