epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.792,0.294,136.609,1.787,0.362,543.040
1,100,1.765,0.286,206.667,1.681,0.363,604.670
1,150,1.739,0.302,206.067,1.686,0.362,585.286
1,200,1.713,0.299,206.329,1.665,0.363,601.480
1,250,1.716,0.287,206.672,1.720,0.164,610.144
1,300,1.727,0.241,206.684,1.698,0.302,603.595
1,350,1.717,0.271,206.045,1.685,0.362,569.976
1,400,1.706,0.296,206.597,1.673,0.362,531.809
1,450,1.700,0.303,206.612,1.670,0.362,594.263
1,500,1.702,0.292,206.745,1.681,0.362,541.131
1,550,1.679,0.285,206.674,1.636,0.362,614.803
2,600,1.648,0.332,183.185,1.599,0.441,597.928
2,650,1.622,0.443,206.126,1.643,0.421,605.161
2,700,1.610,0.460,206.454,1.878,0.164,553.984
2,750,1.748,0.283,206.509,1.568,0.456,599.179
2,800,1.597,0.463,206.375,1.514,0.540,556.526
2,850,1.572,0.479,206.162,1.517,0.528,578.196
2,900,1.548,0.498,206.104,1.482,0.563,553.912
2,950,1.541,0.507,206.083,1.484,0.558,555.334
2,1000,1.538,0.505,206.757,1.480,0.563,606.302
2,1050,1.535,0.508,206.828,1.479,0.564,589.325
2,1100,1.535,0.508,206.742,1.508,0.532,618.063
3,1150,1.538,0.505,192.520,1.486,0.557,535.354
3,1200,1.520,0.523,205.422,1.473,0.570,548.223
3,1250,1.537,0.505,206.432,1.483,0.560,593.894
3,1300,1.548,0.494,206.732,1.488,0.555,601.843
3,1350,1.542,0.501,206.090,1.467,0.576,620.236
3,1400,1.532,0.510,206.489,1.475,0.567,588.107
3,1450,1.540,0.499,206.437,1.483,0.559,603.536
3,1500,1.530,0.511,206.976,1.469,0.574,611.900
3,1550,1.523,0.518,205.974,1.440,0.602,581.974
3,1600,1.516,0.528,206.943,1.429,0.612,600.127
3,1650,1.532,0.511,206.516,1.476,0.565,607.088
4,1700,1.496,0.547,190.720,1.420,0.621,585.399
4,1750,1.488,0.554,206.197,1.407,0.635,607.069
4,1800,1.468,0.574,206.459,1.396,0.645,580.628
4,1850,1.474,0.566,206.759,1.448,0.592,595.386
4,1900,1.481,0.559,206.709,1.409,0.632,591.054
4,1950,1.468,0.574,206.068,1.392,0.649,609.504
4,2000,1.459,0.583,206.230,1.403,0.639,612.574
4,2050,1.472,0.569,206.488,1.413,0.629,590.526
4,2100,1.475,0.565,205.920,1.407,0.634,597.906
4,2150,1.460,0.580,205.886,1.396,0.645,609.301
4,2200,1.450,0.591,206.702,1.397,0.644,591.460
5,2250,1.477,0.564,192.691,1.404,0.637,593.838
5,2300,1.474,0.567,206.540,1.407,0.634,606.219
5,2350,1.464,0.574,206.498,1.392,0.650,585.389
5,2400,1.473,0.567,206.635,1.406,0.635,602.879
5,2450,1.473,0.567,206.751,1.393,0.648,596.058
5,2500,1.467,0.572,206.531,1.383,0.659,598.716
5,2550,1.444,0.596,206.055,1.387,0.655,548.148
5,2600,1.444,0.595,205.732,1.398,0.642,580.211
5,2650,1.470,0.568,206.766,1.430,0.610,599.177
5,2700,1.458,0.578,206.980,1.388,0.653,557.735
5,2750,1.448,0.592,206.580,1.386,0.655,619.018
6,2800,1.462,0.575,188.483,1.430,0.610,594.504
6,2850,1.462,0.573,206.721,1.395,0.645,603.038
6,2900,1.455,0.579,206.562,1.398,0.641,581.536
6,2950,1.443,0.595,206.453,1.381,0.659,586.255
6,3000,1.445,0.593,205.956,1.388,0.648,570.508
6,3050,1.446,0.591,206.493,1.386,0.654,562.596
6,3100,1.444,0.591,206.759,1.380,0.652,560.327
6,3150,1.435,0.602,206.575,1.380,0.656,595.111
6,3200,1.444,0.595,206.094,1.410,0.624,600.896
6,3250,1.438,0.602,206.831,1.372,0.666,616.309
6,3300,1.440,0.596,206.304,1.388,0.646,605.343
7,3350,1.446,0.590,193.531,1.396,0.640,612.375
7,3400,1.444,0.595,206.487,1.373,0.667,609.202
7,3450,1.432,0.607,206.630,1.363,0.677,540.376
7,3500,1.414,0.625,206.591,1.360,0.680,555.059
7,3550,1.423,0.617,205.734,1.373,0.665,596.482
7,3600,1.442,0.596,206.833,1.384,0.653,616.892
7,3650,1.410,0.629,205.977,1.366,0.674,559.116
7,3700,1.414,0.626,206.528,1.361,0.680,618.055
7,3750,1.415,0.626,206.663,1.356,0.685,601.444
7,3800,1.403,0.637,206.673,1.384,0.655,627.101
7,3850,1.406,0.634,206.572,1.344,0.697,605.305
8,3900,1.430,0.610,192.570,1.358,0.681,543.099
8,3950,1.418,0.622,205.596,1.346,0.696,549.026
8,4000,1.405,0.635,205.851,1.340,0.701,569.762
8,4050,1.395,0.646,206.817,1.381,0.659,597.213
8,4100,1.403,0.638,206.666,1.375,0.662,594.067
8,4150,1.385,0.656,206.757,1.349,0.692,604.708
8,4200,1.398,0.643,206.573,1.342,0.698,610.973
