epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
2,50,1.792,0.281,123.064,1.788,0.284,261.780
4,100,1.740,0.283,180.183,1.703,0.274,330.915
5,150,1.705,0.308,190.432,1.695,0.371,338.509
7,200,1.632,0.403,178.074,1.566,0.460,343.218
8,250,1.560,0.464,189.414,1.527,0.511,351.107
10,300,1.508,0.578,177.754,1.478,0.584,355.880
11,350,1.476,0.581,191.384,1.551,0.480,341.339
13,400,1.550,0.480,177.068,1.528,0.491,327.487
15,450,1.507,0.549,174.839,1.448,0.625,362.018
16,500,1.405,0.649,189.835,1.411,0.634,330.924
18,550,1.394,0.651,174.927,1.425,0.620,300.836
19,600,1.388,0.655,191.279,1.403,0.640,364.079
21,650,1.373,0.670,177.699,1.401,0.641,349.330
22,700,1.372,0.670,191.546,1.401,0.642,315.725
24,750,1.366,0.676,177.861,1.392,0.650,322.996
25,800,1.366,0.676,196.732,1.391,0.651,352.291
27,850,1.356,0.686,177.906,1.383,0.659,347.415
29,900,1.361,0.681,175.325,1.381,0.660,345.730
30,950,1.366,0.676,191.494,1.401,0.641,336.757
32,1000,1.362,0.680,177.552,1.384,0.658,346.434
33,1050,1.347,0.695,190.910,1.390,0.652,315.384
35,1100,1.357,0.685,171.324,1.379,0.663,319.711
36,1150,1.352,0.690,189.298,1.386,0.656,364.922
38,1200,1.349,0.693,176.472,1.375,0.667,291.615
40,1250,1.342,0.700,174.746,1.372,0.670,333.677
41,1300,1.346,0.696,192.063,1.369,0.673,326.250
43,1350,1.341,0.702,179.448,1.370,0.672,341.896
44,1400,1.346,0.696,189.483,1.376,0.666,349.565
46,1450,1.341,0.701,176.052,1.370,0.672,361.194
47,1500,1.342,0.701,193.634,1.367,0.675,364.900
49,1550,1.337,0.705,176.858,1.369,0.673,344.506
50,1600,1.335,0.707,191.753,1.370,0.672,343.328
52,1650,1.353,0.689,175.421,1.379,0.662,286.551
54,1700,1.342,0.700,177.450,1.366,0.675,286.477
55,1750,1.339,0.703,189.349,1.397,0.645,307.596
57,1800,1.337,0.705,174.892,1.363,0.679,324.135
58,1850,1.337,0.705,190.455,1.356,0.685,349.868
60,1900,1.333,0.709,176.210,1.360,0.682,337.992
61,1950,1.327,0.715,189.514,1.362,0.679,359.770
