epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.589,0.692,26.453,90.727,0.473,0.783,29.094,273.87
1,200,0.422,0.812,25.725,93.296,0.397,0.835,29.15,273.344
1,300,0.359,0.846,25.995,92.325,0.341,0.856,29.824,267.167
1,400,0.329,0.859,26.403,90.9,0.316,0.864,29.951,266.035
1,500,0.311,0.867,26.823,89.475,0.29,0.877,30.217,263.695
1,600,0.297,0.877,26.992,88.915,0.299,0.876,30.482,261.403
1,700,0.281,0.886,26.682,89.948,0.287,0.878,30.458,261.606
1,800,0.263,0.892,26.56,90.36,0.276,0.889,30.196,263.873
1,900,0.253,0.897,26.795,89.57,0.248,0.897,30.265,263.274
2,1000,0.25,0.897,26.984,88.941,0.23,0.906,30.415,261.975
2,1100,0.231,0.907,26.631,90.12,0.23,0.907,30.358,262.464
2,1200,0.232,0.906,26.933,89.11,0.231,0.91,30.453,261.645
2,1300,0.229,0.908,27.265,88.026,0.209,0.918,30.485,261.375
2,1400,0.217,0.913,26.919,89.157,0.213,0.915,30.52,261.078
2,1500,0.207,0.918,26.909,89.188,0.219,0.91,30.555,260.778
2,1600,0.203,0.92,26.796,89.567,0.2,0.921,30.703,259.515
2,1700,0.207,0.919,26.869,89.322,0.199,0.922,30.395,262.148
2,1800,0.188,0.925,26.965,89.005,0.187,0.926,30.45,261.673
2,1900,0.193,0.924,26.628,90.13,0.196,0.923,30.457,261.619
3,2000,0.187,0.926,26.945,89.071,0.186,0.926,30.431,261.835
3,2100,0.186,0.926,26.709,89.858,0.181,0.928,30.5,261.242
3,2200,0.19,0.925,26.663,90.013,0.175,0.933,30.326,262.745
3,2300,0.184,0.927,26.786,89.598,0.189,0.924,30.905,257.819
3,2400,0.18,0.927,26.808,89.527,0.196,0.922,30.463,261.56
3,2500,0.174,0.932,26.948,89.059,0.191,0.924,30.895,257.906
3,2600,0.186,0.927,27.048,88.732,0.179,0.929,30.636,260.082
3,2700,0.177,0.931,27.035,88.775,0.178,0.93,30.546,260.853
3,2800,0.176,0.931,26.67,89.988,0.169,0.934,30.404,262.074
3,2900,0.167,0.933,26.709,89.858,0.18,0.932,30.373,262.341
4,3000,0.161,0.936,27.144,88.417,0.17,0.933,30.426,261.88
4,3100,0.167,0.934,26.847,89.394,0.184,0.928,30.9,257.863
4,3200,0.161,0.937,27.252,88.067,0.168,0.935,30.269,263.241
4,3300,0.161,0.936,26.933,89.111,0.167,0.935,30.251,263.397
4,3400,0.166,0.935,26.78,89.62,0.182,0.929,30.396,262.137
4,3500,0.167,0.934,26.701,89.883,0.158,0.938,30.299,262.983
4,3600,0.165,0.934,26.815,89.502,0.173,0.932,30.309,262.889
4,3700,0.162,0.936,26.709,89.857,0.172,0.931,30.352,262.518
4,3800,0.158,0.937,26.646,90.071,0.159,0.937,30.358,262.465
4,3900,0.163,0.936,27.226,88.15,0.165,0.936,30.331,262.7
5,4000,0.154,0.939,26.901,89.215,0.161,0.936,30.341,262.612
5,4100,0.147,0.943,26.737,89.763,0.167,0.935,30.294,263.018
5,4200,0.152,0.941,26.659,90.024,0.151,0.941,30.342,262.611
5,4300,0.144,0.944,26.665,90.005,0.162,0.936,30.195,263.884
5,4400,0.155,0.939,26.532,90.455,0.153,0.939,30.309,262.889
5,4500,0.156,0.939,26.477,90.645,0.162,0.936,30.178,264.032
5,4600,0.15,0.941,26.715,89.836,0.15,0.94,30.238,263.508
5,4700,0.151,0.94,26.652,90.049,0.153,0.94,30.102,264.697
5,4800,0.152,0.94,26.595,90.242,0.151,0.94,30.126,264.488
5,4900,0.151,0.941,26.425,90.822,0.163,0.937,30.22,263.668
6,5000,0.149,0.942,26.683,89.944,0.148,0.942,29.994,265.651
6,5100,0.142,0.943,26.497,90.575,0.154,0.94,30.117,264.564
6,5200,0.142,0.944,26.514,90.517,0.153,0.94,30.044,265.21
6,5300,0.144,0.944,26.404,90.895,0.155,0.94,30.143,264.344
6,5400,0.142,0.945,26.466,90.681,0.15,0.942,30.143,264.338
6,5500,0.143,0.944,26.603,90.215,0.146,0.943,30.119,264.552
6,5600,0.146,0.943,26.706,89.867,0.149,0.942,30.315,262.84
6,5700,0.146,0.943,26.546,90.41,0.139,0.946,30.28,263.147
