time,checkpoint,type,overall_accuracy,precision,recall,f1-score,jac,kappa
May09_04,FCN8s_iter_10000.pth,segmap,0.8809999999999999,0.62,0.922,0.737,0.589,0.665
May09_07,UNet_iter_10000.pth,segmap,0.9259999999999999,0.742,0.922,0.818,0.698,0.773
May09_13,mtFCNv0-alpha-0.5_iter_10000.pth,segmap,0.947,0.8220000000000001,0.903,0.8590000000000001,0.7559999999999999,0.8270000000000001
May09_13,mtFCNv1-alpha-0.5_iter_10000.pth,segmap,0.9440000000000001,0.816,0.899,0.852,0.747,0.8170000000000001
May09_13,mtFCNv2-alpha-0.5_iter_10000.pth,segmap,0.944,0.8029999999999999,0.922,0.855,0.753,0.821
May09_13,mtFCNv3-alpha-0.5_iter_10000.pth,segmap,0.948,0.82,0.917,0.863,0.765,0.8320000000000001
May09_17,mtFCNv4-alpha-0.5_iter_10000.pth,segmap,0.937,0.778,0.923,0.841,0.731,0.8029999999999999
May09_17,mtFCNv0-bn-leaky-alpha-0.0_iter_10000.pth,segmap,0.9520000000000001,0.845,0.9079999999999999,0.872,0.779,0.843
May09_18,mtFCNv0-bn-leaky-alpha-0.2_iter_10000.pth,segmap,0.954,0.831,0.94,0.8809999999999999,0.789,0.852
May09_18,mtFCNv0-bn-leaky-alpha-0.4_iter_10000.pth,segmap,0.9390000000000001,0.772,0.945,0.848,0.7390000000000001,0.8109999999999999
May09_18,mtFCNv0-bn-leaky-alpha-0.6_iter_10000.pth,segmap,0.943,0.797,0.931,0.8540000000000001,0.753,0.8190000000000001
May09_19,mtFCNv0-bn-leaky-alpha-0.8_iter_10000.pth,segmap,0.9470000000000001,0.802,0.9420000000000001,0.8640000000000001,0.765,0.8320000000000001
May09_19,mtFCNv0-bn-leaky-alpha-1.0_iter_10000.pth,segmap,0.807,0.257,0.028,0.05,0.026,0.015
May09_19,mtFCNv0-bn-alpha-0.5_iter_10000.pth,segmap,0.95,0.838,0.902,0.866,0.77,0.835
May09_20,mtFCNv0-leaky-alpha-0.5_iter_10000.pth,segmap,0.95,0.826,0.919,0.868,0.77,0.838
May09_20,mtFCNv0-bn-leaky-alpha-0.5_iter_10000.pth,segmap,0.9520000000000001,0.857,0.885,0.8690000000000001,0.772,0.84
May09_21,FCN8s_iter_10000.pth,edge,0.8809999999999999,0.62,0.922,0.737,0.589,0.665
May09_22,UNet_iter_10000.pth,edge,0.9259999999999999,0.742,0.922,0.818,0.698,0.773
May09_22,mtFCNv0-alpha-0.5_iter_10000.pth,edge,0.947,0.8220000000000001,0.903,0.8590000000000001,0.7559999999999999,0.8270000000000001
May09_23,mtFCNv1-alpha-0.5_iter_10000.pth,edge,0.9440000000000001,0.816,0.899,0.852,0.747,0.8170000000000001
May09_23,mtFCNv2-alpha-0.5_iter_10000.pth,edge,0.944,0.8029999999999999,0.922,0.855,0.753,0.821
May10_00,mtFCNv3-alpha-0.5_iter_10000.pth,edge,0.948,0.82,0.917,0.863,0.765,0.8320000000000001
May10_00,mtFCNv4-alpha-0.5_iter_10000.pth,edge,0.937,0.778,0.923,0.841,0.731,0.8029999999999999
May10_01,mtFCNv0-bn-leaky-alpha-0.0_iter_10000.pth,edge,0.9520000000000001,0.845,0.9079999999999999,0.872,0.779,0.843
May10_01,mtFCNv0-bn-leaky-alpha-0.2_iter_10000.pth,edge,0.954,0.831,0.94,0.8809999999999999,0.789,0.852
May10_02,mtFCNv0-bn-leaky-alpha-0.4_iter_10000.pth,edge,0.9390000000000001,0.772,0.945,0.848,0.7390000000000001,0.8109999999999999
May10_02,mtFCNv0-bn-leaky-alpha-0.6_iter_10000.pth,edge,0.943,0.797,0.931,0.8540000000000001,0.753,0.8190000000000001
May10_03,mtFCNv0-bn-leaky-alpha-0.8_iter_10000.pth,edge,0.9470000000000001,0.802,0.9420000000000001,0.8640000000000001,0.765,0.8320000000000001
May10_03,mtFCNv0-bn-leaky-alpha-1.0_iter_10000.pth,edge,0.807,0.257,0.028,0.05,0.026,0.015
May10_04,mtFCNv0-bn-alpha-0.5_iter_10000.pth,edge,0.95,0.838,0.902,0.866,0.77,0.835
May10_04,mtFCNv0-leaky-alpha-0.5_iter_10000.pth,edge,0.95,0.826,0.919,0.868,0.77,0.838
May10_04,mtFCNv0-bn-leaky-alpha-0.5_iter_10000.pth,edge,0.9520000000000001,0.857,0.885,0.8690000000000001,0.772,0.84
May23_13,mtFCNv0-ZERO-alpha-0.5_iter_10000.pth,segmap,0.938,0.784,0.92,0.843,0.7340000000000001,0.805
May23_16,SegNet_iter_10000.pth,segmap,0.9359999999999999,0.7759999999999999,0.92,0.838,0.728,0.799
May23_18,mtFCNv0-ZERO-alpha-0.5_iter_10000.pth,segmap,0.944,0.813,0.908,0.854,0.751,0.820
