time,checkpoint,OAcc,Prec,Reca,F1Sc,Kapp,Jacc
Jul_20,FCN32s-3*1*24-NZ32km2_iter_5000.pth,0.916,0.726,0.890,0.798,0.746,0.666
Jul_20,FCN16s-3*1*24-NZ32km2_iter_5000.pth,0.926,0.769,0.870,0.815,0.769,0.690
Jul_20,FCN8s-3*1*24-NZ32km2_iter_5000.pth,0.922,0.747,0.885,0.809,0.760,0.682
Jul_20,UNet-3*1*24-NZ32km2_iter_5000.pth,0.929,0.771,0.894,0.827,0.783,0.707
Jul_20,SegNet-3*1*24-NZ32km2_iter_5000.pth,0.947,0.828,0.914,0.868,0.835,0.769
Jul_20,ResUNet-3*1*24-NZ32km2_iter_5000.pth,0.930,0.762,0.921,0.833,0.789,0.716
Jul_20,MCFCN-3*1*24-NZ32km2_iter_5000.pth,0.954,0.857,0.912,0.883,0.854,0.792
Jul_20,BRNet-3*1*24-NZ32km2_iter_5000.pth,0.940,0.798,0.919,0.853,0.815,0.746
Jul_20,FPN-3*1*24-NZ32km2_iter_5000.pth,0.942,0.814,0.907,0.856,0.820,0.752
Jul_21,FCN32s-3*6*24-Vaihingen_iter_5000.pth,0.758,0.754,0.758,0.750,0.657,0.612
Jul_21,FCN16s-3*6*24-Vaihingen_iter_5000.pth,0.756,0.750,0.756,0.748,0.654,0.609
Jul_21,FCN8s-3*6*24-Vaihingen_iter_5000.pth,0.746,0.741,0.746,0.738,0.640,0.596
Jul_21,UNet-3*6*24-Vaihingen_iter_5000.pth,0.788,0.785,0.788,0.779,0.698,0.650
Jul_21,SegNet-3*6*24-Vaihingen_iter_5000.pth,0.848,0.850,0.848,0.845,0.787,0.738
Jul_21,ResUNet-3*6*24-Vaihingen_iter_5000.pth,0.819,0.824,0.819,0.816,0.745,0.696
Jul_21,MCFCN-3*6*24-Vaihingen_iter_5000.pth,0.839,0.841,0.839,0.836,0.774,0.725
Jul_21,BRNet-3*6*24-Vaihingen_iter_5000.pth,0.829,0.832,0.829,0.826,0.761,0.710
Jul_21,FPN-3*6*24-Vaihingen_iter_5000.pth,0.818,0.810,0.818,0.809,0.737,0.692
