time,checkpoint,segmap,overall_accuracy,precision,recall,f1-score,jac,kappa
May10_04,FCN8s_iter_10000.pth,segmap,0.802,0.42200000000000004,0.74,0.516,0.40399999999999997,0.475
May10_04,UNet_iter_10000.pth,segmap,0.857,0.617,0.7290000000000001,0.6679999999999999,0.5760000000000001,0.644
May10_04,mtFCNv0-alpha-0.5_iter_10000.pth,segmap,0.9,0.677,0.721,0.698,0.62,0.68
May10_04,mtFCNv1-alpha-0.5_iter_10000.pth,segmap,0.88,0.672,0.7040000000000001,0.688,0.604,0.67
May10_04,mtFCNv2-alpha-0.5_iter_10000.pth,segmap,0.857,0.623,0.731,0.672,0.5820000000000001,0.653
May10_04,mtFCNv3-alpha-0.5_iter_10000.pth,segmap,0.88,0.664,0.721,0.691,0.611,0.6759999999999999
May10_05,mtFCNv4-alpha-0.5_iter_10000.pth,segmap,0.853,0.612,0.732,0.6659999999999999,0.573,0.644
May10_05,mtFCNv0-bn-leaky-alpha-0.0_iter_10000.pth,segmap,0.868,0.7070000000000001,0.725,0.716,0.649,0.7040000000000001
May10_05,mtFCNv0-bn-leaky-alpha-0.2_iter_10000.pth,segmap,0.879,0.674,0.7440000000000001,0.7070000000000001,0.634,0.6920000000000001
May10_05,mtFCNv0-bn-leaky-alpha-0.4_iter_10000.pth,segmap,0.867,0.639,0.746,0.688,0.604,0.6679999999999999
May10_05,mtFCNv0-bn-leaky-alpha-0.6_iter_10000.pth,segmap,0.8740000000000001,0.674,0.735,0.703,0.629,0.6890000000000001
May10_05,mtFCNv0-bn-leaky-alpha-0.8_iter_10000.pth,segmap,0.8590000000000001,0.674,0.745,0.7070000000000001,0.635,0.691
May10_05,mtFCNv0-bn-leaky-alpha-1.0_iter_10000.pth,segmap,0.8740000000000001,0.161,0.023,0.038,0.019,0.012
May10_05,mtFCNv0-bn-alpha-0.5_iter_10000.pth,segmap,0.867,0.7020000000000001,0.713,0.708,0.637,0.695
May10_05,mtFCNv0-leaky-alpha-0.5_iter_10000.pth,segmap,0.878,0.6759999999999999,0.731,0.7020000000000001,0.626,0.6859999999999999
May10_05,mtFCNv0-bn-leaky-alpha-0.5_iter_10000.pth,segmap,0.8690000000000001,0.708,0.643,0.6679999999999999,0.584,0.653
May10_05,FCN8s_iter_10000.pth,edge,0.802,0.42200000000000004,0.74,0.516,0.40399999999999997,0.475
May10_05,UNet_iter_10000.pth,edge,0.857,0.617,0.7290000000000001,0.6679999999999999,0.5760000000000001,0.644
May10_05,mtFCNv0-alpha-0.5_iter_10000.pth,edge,0.9,0.677,0.721,0.698,0.62,0.68
May10_05,mtFCNv1-alpha-0.5_iter_10000.pth,edge,0.88,0.672,0.7040000000000001,0.688,0.604,0.67
May10_05,mtFCNv2-alpha-0.5_iter_10000.pth,edge,0.857,0.623,0.731,0.672,0.5820000000000001,0.653
May10_05,mtFCNv3-alpha-0.5_iter_10000.pth,edge,0.88,0.664,0.721,0.691,0.611,0.6759999999999999
May10_05,mtFCNv4-alpha-0.5_iter_10000.pth,edge,0.853,0.612,0.732,0.6659999999999999,0.573,0.644
May10_05,mtFCNv0-bn-leaky-alpha-0.0_iter_10000.pth,edge,0.868,0.7070000000000001,0.725,0.716,0.649,0.7040000000000001
May10_05,mtFCNv0-bn-leaky-alpha-0.2_iter_10000.pth,edge,0.879,0.674,0.7440000000000001,0.7070000000000001,0.634,0.6920000000000001
May10_05,mtFCNv0-bn-leaky-alpha-0.4_iter_10000.pth,edge,0.867,0.639,0.746,0.688,0.604,0.6679999999999999
May10_05,mtFCNv0-bn-leaky-alpha-0.6_iter_10000.pth,edge,0.8740000000000001,0.674,0.735,0.703,0.629,0.6890000000000001
May10_05,mtFCNv0-bn-leaky-alpha-0.8_iter_10000.pth,edge,0.8590000000000001,0.674,0.745,0.7070000000000001,0.635,0.691
May10_05,mtFCNv0-bn-leaky-alpha-1.0_iter_10000.pth,edge,0.8740000000000001,0.161,0.023,0.038,0.019,0.012
May10_05,mtFCNv0-bn-alpha-0.5_iter_10000.pth,edge,0.867,0.7020000000000001,0.713,0.708,0.637,0.695
May10_05,mtFCNv0-leaky-alpha-0.5_iter_10000.pth,edge,0.878,0.6759999999999999,0.731,0.7020000000000001,0.626,0.6859999999999999
May10_05,mtFCNv0-bn-leaky-alpha-0.5_iter_10000.pth,edge,0.869,0.708,0.643,0.668,0.584,0.653
