time,checkpoint,OAcc,Prec,Reca,F1Sc,Kapp,Jacc
Jul_19,FCN32s-3*1*24-NZ32km2_iter_5000.pth,0.916,0.657,0.798,0.706,0.659,0.602
Jul_19,FCN16s-3*1*24-NZ32km2_iter_5000.pth,0.926,0.697,0.779,0.722,0.681,0.623
Jul_19,FCN8s-3*1*24-NZ32km2_iter_5000.pth,0.922,0.676,0.793,0.715,0.672,0.614
Jul_19,UNet-3*1*24-NZ32km2_iter_5000.pth,0.929,0.701,0.800,0.733,0.694,0.640
Jul_19,SegNet-3*1*24-NZ32km2_iter_5000.pth,0.947,0.749,0.821,0.772,0.743,0.696
Jul_19,ResUNet-3*1*24-NZ32km2_iter_5000.pth,0.930,0.690,0.827,0.738,0.700,0.648
Jul_20,MCFCN-3*1*24-NZ32km2_iter_5000.pth,0.954,0.771,0.819,0.784,0.759,0.713
Jul_20,BRNet-3*1*24-NZ32km2_iter_5000.pth,0.940,0.725,0.823,0.757,0.725,0.676
Jul_20,FPN-3*1*24-NZ32km2_iter_5000.pth,0.942,0.741,0.814,0.762,0.730,0.683
Jul_20,FCN32s-3*6*24-Vaihingen_iter_5000.pth,0.760,0.760,0.760,0.751,0.657,0.618
Jul_20,FCN16s-3*6*24-Vaihingen_iter_5000.pth,0.757,0.754,0.757,0.748,0.653,0.615
Jul_20,FCN8s-3*6*24-Vaihingen_iter_5000.pth,0.748,0.745,0.748,0.739,0.640,0.602
Jul_20,UNet-3*6*24-Vaihingen_iter_5000.pth,0.789,0.785,0.789,0.778,0.696,0.655
Jul_20,SegNet-3*6*24-Vaihingen_iter_5000.pth,0.848,0.850,0.848,0.845,0.785,0.740
Jul_20,ResUNet-3*6*24-Vaihingen_iter_5000.pth,0.818,0.824,0.818,0.813,0.740,0.696
Jul_20,MCFCN-3*6*24-Vaihingen_iter_5000.pth,0.838,0.841,0.838,0.834,0.770,0.726
Jul_21,BRNet-3*6*24-Vaihingen_iter_5000.pth,0.829,0.832,0.829,0.825,0.757,0.712
Jul_21,FPN-3*6*24-Vaihingen_iter_5000.pth,0.817,0.809,0.817,0.806,0.732,0.692
