time,checkpoint,OAcc,Prec,Reca,F1Sc,Kapp,Jacc
Jul13_02,FCN32s-3*1*24-NZ32km2_iter_5000,0.922,0.861,0.906,0.88,0.762,0.795
Jul13_06,FCN16s-3*1*24-NZ32km2_iter_5000,0.9109999999999999,0.841,0.9009999999999999,0.865,0.732,0.772
Jul13_09,FCN8s-3*1*24-NZ32km2_iter_5000,0.922,0.8590000000000001,0.908,0.88,0.76,0.794
Jul13_13,UNet-3*1*24-NZ32km2_iter_5000,0.9209999999999999,0.858,0.9059999999999999,0.878,0.757,0.792
Jul13_17,SegNet-3*1*24-NZ32km2_iter_5000,0.947,0.904,0.934,0.918,0.835,0.853
Jul13_20,MCFCN-3*1*24-NZ32km2_iter_5000,0.9470000000000001,0.903,0.9359999999999999,0.917,0.835,0.852
Jul14_00,BRNet-3*1*24-NZ32km2_iter_5000,0.945,0.898,0.935,0.914,0.8290000000000001,0.847
Jul14_03,FPN-3*1*24-NZ32km2_iter_5000,0.9470000000000001,0.902,0.937,0.917,0.835,0.852
Jul14_12,FCN32s-3*6*24-Vaihingen_iter_5000,0.35200000000000004,0.498,0.177,0.256,0.0,0.17600000000000002
Jul14_12,FCN16s-3*6*24-Vaihingen_iter_5000,0.34700000000000003,0.498,0.174,0.254,0.0,0.174
Jul14_12,FCN8s-3*6*24-Vaihingen_iter_5000,0.349,0.498,0.17600000000000002,0.254,0.0,0.175
Jul14_12,UNet-3*6*24-Vaihingen_iter_5000,0.327,0.498,0.16399999999999998,0.24100000000000002,0.0,0.16399999999999998
Jul_14_12,SegNet-3*6*24-Vaihingen_iter_5000,0.332,0.498,0.16699999999999998,0.244,-0.0,0.166
Jul_14_12,MCFCN-3*6*24-Vaihingen_iter_5000,0.336,0.498,0.16899999999999998,0.247,-0.0,0.16899999999999998
Jul_14_12,BRNet-3*6*24-Vaihingen_iter_5000,0.334,0.5429999999999999,0.168,0.246,0.0,0.168
Jul_14_12,FPN-3*6*24-Vaihingen_iter_5000,0.318,0.498,0.16,0.237,-0.0,0.159
Jul_14_13,FCN32s-3*6*24-PotsdamRGB_iter_5000,0.996,0.498,0.5,0.499,0.0,0.498
Jul_14_13,FCN16s-3*6*24-PotsdamRGB_iter_5000,0.456,0.498,0.22899999999999998,0.311,0.0,0.22899999999999998
Jul_14_13,FCN8s-3*6*24-PotsdamRGB_iter_5000,0.414,0.498,0.208,0.29,0.0,0.208
Jul_14_13,UNet-3*6*24-PotsdamRGB_iter_5000,0.39399999999999996,0.498,0.198,0.27899999999999997,-0.0,0.198
Jul_14_14,SegNet-3*6*24-PotsdamRGB_iter_5000,0.412,0.499,0.21,0.28800000000000003,-0.002,0.207
Jul_14_14,MCFCN-3*6*24-PotsdamRGB_iter_5000,0.361,0.5,0.18899999999999997,0.264,-0.0,0.182
Jul_14_14,BRNet-3*6*24-PotsdamRGB_iter_5000,0.3720000000000001,0.499,0.189,0.268,-0.001,0.187
Jul_14_14,FPN-3*6*24-PotsdamRGB_iter_5000,0.38299999999999995,0.498,0.192,0.273,-0.0,0.192
Jul_14_14,FCN32s-3*6*24-PotsdamIRRG_iter_5000,0.403,0.498,0.202,0.281,0.0,0.202
Jul_14_15,FCN16s-3*6*24-PotsdamIRRG_iter_5000,0.375,0.498,0.188,0.268,0.0,0.188
Jul_14_15,FCN8s-3*6*24-PotsdamIRRG_iter_5000,0.394,0.498,0.198,0.276,0.0,0.198
Jul_14_15,UNet-3*6*24-PotsdamIRRG_iter_5000,0.409,0.498,0.205,0.28300000000000003,-0.0,0.205
Jul_14_15,SegNet-3*6*24-PotsdamIRRG_iter_5000,0.385,0.499,0.212,0.276,-0.001,0.194
Jul_14_16,MCFCN-3*6*24-PotsdamIRRG_iter_5000,0.38299999999999995,0.499,0.19899999999999998,0.27399999999999997,-0.001,0.193
Jul_14_16,BRNet-3*6*24-PotsdamIRRG_iter_5000,0.391,0.499,0.201,0.276,-0.002,0.196
Jul_14_16,FPN-3*6*24-PotsdamIRRG_iter_5000,0.39299999999999996,0.499,0.198,0.27699999999999997,-0.001,0.19699999999999998
Jul_18_01,FCN32s-3*6*24-Vaihingen_iter_5000,0.352,0.498,0.177,0.256,0.000,0.176
